project_id,n_cand,n_label,n_label_in_cand
Q11-0004,800,5,4
Q11-0006,800,25,21
Q11-0034,800,24,23
Q11-0003,800,0,0
Q11-0011,800,4,2
Q11-0005,800,0,0
Q11-0026,800,20,6
Q11-0044,800,0,0
Q11-0072,800,2,2
Q11-0090,800,13,11
Q11-0013,800,23,23
Q11-0054,800,9,9
Q11-0055,800,5,5
Q12-0097,800,5,5
Q11-0062,800,6,0
Q12-0107,800,21,17
Q11-0069,800,25,25
Q12-0111,800,2,1
Q11-0061,800,3,2
Q11-0039,800,14,14
Q12-0106,800,16,12
Q11-0076,800,2,0
Q12-0142,800,1,1
Q12-0095,800,2,0
Q12-0157,800,9,9
Q12-0098,800,0,0
Q12-0131,467,8,4
Q12-0141,800,1,1
Q12-0167,800,20,18
Q13-0198,800,17,2
Q12-0110,800,25,17
Q12-0147,800,25,21
Q12-0164,800,25,25
Q12-0186,800,25,22
Q12-0099,800,5,4
Q13-0208,800,25,11
Q12-0120,800,0,0
Q12-0145,800,25,22
Q13-0222,800,2,1
Q12-0130,800,25,24
Q13-0224,800,0,0
Q12-0159,800,13,10
Q13-0205,800,5,5
Q12-0135,800,25,25
Q13-0207,800,0,0
Q13-0282,800,3,0
Q13-0193,800,4,3
Q12-0181,800,0,0
Q13-0214,800,6,5
Q13-0288,800,22,20
Q13-0221,800,1,1
Q13-0256,539,0,0
Q14-0320,800,4,0
Q13-0194,800,0,0
Q13-0212,800,2,2
Q13-0297,800,4,4
Q13-0215,800,11,8
Q13-0213,800,19,18
Q13-0249,800,20,19
Q13-0298,800,25,24
Q14-0329,800,0,0
Q13-0230,800,19,17
Q13-0280,668,0,0
Q13-0244,800,0,0
Q14-0328,800,0,0
Q13-0283,800,5,4
Q13-0248,800,5,5
Q13-0290,800,13,13
Q14-0363,459,25,13
Q13-0250,800,15,15
Q14-0301,800,3,3
Q14-0355,800,21,16
Q14-0303,800,25,25
Q14-0366,800,25,25
Q14-0377,800,5,0
Q13-0295,800,5,5
Q14-0354,800,2,2
Q14-0396,800,11,10
Q13-0300,800,8,7
Q14-0390,800,12,11
Q14-0346,800,9,9
Q14-0416,800,2,0
Q14-0353,800,7,6
Q14-0406,800,0,0
Q15-0447,800,0,0
Q14-0358,800,0,0
Q14-0342,800,0,0
Q14-0407,800,8,8
Q15-0462,800,24,18
Q14-0397,800,24,24
Q14-0337,800,25,24
Q14-0386,800,0,0
Q15-0474,800,0,0
Q14-0371,800,21,20
Q15-0488,800,19,18
Q14-0393,800,1,1
Q15-0448,800,20,20
Q15-0517,800,17,12
Q15-0466,323,5,4
Q15-0485,800,23,22
Q15-0431,800,6,1
Q15-0487,800,25,23
Q14-0401,800,3,3
Q14-0417,800,13,13
Q15-0453,800,8,7
Q15-0498,800,25,25
Q16-0562,800,25,25
Q14-0409,800,25,22
Q15-0481,800,4,4
Q15-0553,800,7,0
Q15-0463,800,0,0
Q15-0516,800,8,8
Q15-0434,800,13,3
Q15-0529,800,1,0
Q16-0585,800,0,0
Q15-0443,800,6,3
Q15-0467,800,0,0
Q15-0512,563,7,7
Q15-0558,800,25,21
Q15-0461,800,0,0
Q16-0623,800,1,1
Q15-0548,800,11,1
Q16-0651,800,34,28
Q15-0504,800,20,19
Q15-0534,800,3,3
Q16-0603,800,17,16
Q16-0657,800,1,1
Q15-0508,800,25,20
Q16-0564,800,4,4
Q16-0666,800,1,1
Q15-0521,800,3,3
Q16-0621,800,4,3
Q16-0683,800,1,1
Q15-0525,800,21,19
Q16-0612,800,0,0
Q16-0665,800,13,12
Q16-0706,800,0,0
Q15-0542,800,10,10
Q16-0641,800,0,0
Q16-0574,800,17,17
Q16-0635,800,7,7
Q17-0725,800,25,25
Q16-0592,800,0,0
Q16-0610,800,4,4
Q16-0667,800,18,17
Q15-0559,800,20,12
Q16-0673,800,3,0
Q17-0735,800,22,22
Q16-0659,800,1,1
Q16-0696,800,21,16
Q17-0754,800,9,9
Q16-0615,800,0,0
Q16-0642,800,3,3
Q16-0704,800,2,2
Q16-0611,800,0,0
Q17-0832,800,25,0
Q16-0646,800,6,6
Q17-0750,800,8,7
Q17-0814,800,21,21
Q16-0663,800,6,6
Q17-0757,800,3,3
Q17-0815,800,3,1
Q17-0866,800,7,5
Q16-0679,800,0,0
Q16-0703,800,0,0
Q17-0753,800,25,19
Q17-0777,800,25,24
Q17-0858,800,11,11
Q16-0670,800,7,6
Q17-0727,800,25,19
Q17-0850,800,12,12
Q16-0708,800,25,24
Q17-0751,800,11,10
Q17-0799,800,24,2
Q17-0844,800,6,5
Q16-0719,800,0,0
Q17-0745,800,8,8
Q17-0854,800,1,1
Q17-0816,800,0,0
Q17-0838,800,0,0
Q16-0720,800,1,0
Q17-0809,800,35,33
Q17-0845,800,2,2
Q18-0960,800,5,5
Q17-0740,800,1,1
Q17-0882,800,25,25
Q17-0810,800,0,0
Q17-0847,800,11,10
Q18-0930,800,0,0
Q17-0765,800,18,16
Q17-0789,800,17,16
Q17-0861,800,4,3
Q17-0896,800,17,17
Q18-0931,800,5,5
Q18-0977,800,12,12
Q17-0892,800,1,1
Q18-0934,800,4,4
Q18-0995,800,21,21
Q17-0804,800,9,9
Q17-0868,800,5,5
Q18-0981,800,1,1
Q17-0812,800,18,16
Q17-0836,800,5,5
Q17-0902,800,14,13
Q18-0971,800,0,0
Q17-0864,800,0,0
Q18-0936,800,4,4
Q18-0996,800,3,3
Q18-1070,800,20,19
Q18-0914,800,0,0
Q18-1074,800,3,3
Q18-0938,800,12,11
Q18-0972,800,11,10
Q18-1069,800,25,24
Q18-0915,800,0,0
Q18-0965,800,28,25
Q18-1012,800,8,8
Q18-1072,800,5,5
Q17-0891,800,18,18
Q18-0978,800,7,7
Q18-1059,800,0,0
Q18-1105,800,0,0
Q18-0912,800,0,0
Q18-1009,800,0,0
Q18-1053,800,2,2
Q19-1139,800,20,12
Q18-0937,800,2,0
Q18-0982,800,13,10
Q18-1043,800,22,22
Q18-1097,800,25,25
Q19-1200,800,22,20
Q18-0969,800,0,0
Q18-1017,800,0,0
Q18-1046,800,13,13
Q18-1112,800,25,23
Q19-1173,800,4,4
Q18-0956,800,7,6
Q18-1005,800,0,0
Q18-1061,800,6,5
Q19-1161,800,3,3
Q19-1201,800,1,1
Q19-1230,800,6,5
Q18-1064,800,5,5
Q19-1157,800,1,1
Q19-1238,800,11,11
Q18-1076,800,5,5
Q19-1180,800,0,0
Q19-1229,800,25,22
Q18-1089,800,0,0
Q18-1127,800,5,5
Q19-1164,800,25,25
Q19-1242,800,1,1
Q18-1018,800,12,11
Q18-1037,800,0,0
Q18-1078,800,0,0
Q19-1163,800,25,25
Q19-1199,800,24,23
Q18-1024,800,7,7
Q18-1116,800,1,1
Q19-1160,800,18,17
Q19-1219,800,2,2
Q19-1306,800,16,15
Q18-1109,800,0,0
Q19-1136,800,2,2
Q19-1177,800,10,9
Q19-1234,800,1,0
Q19-1282,800,2,2
Q18-1077,800,10,9
Q19-1144,800,10,9
Q19-1232,800,0,0
Q19-1276,800,0,0
Q19-1323,800,7,7
Q19-1335,800,8,8
Q19-1133,800,0,0
Q19-1207,800,0,0
Q19-1277,800,16,16
Q20-1381,800,9,9
Q18-1114,800,0,0
Q18-1129,800,4,4
Q19-1218,800,1,1
Q19-1251,800,0,0
Q19-1343,800,0,0
Q20-1428,800,25,22
Q19-1256,800,0,0
Q19-1300,800,0,0
Q19-1354,800,9,9
Q20-1423,800,6,6
Q19-1189,800,0,0
Q19-1283,800,1,1
Q20-1397,800,1,1
Q19-1166,800,0,0
Q19-1226,800,0,0
Q19-1278,800,0,0
Q19-1329,800,6,5
Q19-1365,800,4,4
Q20-1421,800,3,3
Q20-1480,800,6,6
Q19-1224,800,2,2
Q19-1310,800,6,6
Q19-1348,800,0,0
Q20-1401,800,4,4
Q20-1426,800,7,7
Q20-1443,800,6,6
Q19-1239,800,0,0
