name,fid
BRYANT - CASTO 138 KV L,L:5373:5777:138
EARLIMART - JEFFERSON TAP 138 KV,L:5917:6922:138
LA CONNER - FIVE FALLS 138 KV L,L:6014:7931:138
BRIDGEPORT - GRISWALD 138 KV,L:6457:7119:138
DEL BAC - ELGIN 138 KV,L:6605:6625:138
LOGANS FERRY - SS3143 138 KV,L:7286:8269:138
DETROIT - RIDGELEY 345 KV,L:8268:18394:345
TYHEE - CTR 138 KV,L:8572:8582:138
STATION G - CLOVER 345 KV,L:9276:9669:345
GEYSERS TAP 2 - WALTHALL 138 KV,L:9770:10265:138
POSSUM POINT 345 kV/138 kV Autotransformer,X:10277:345:138
HILLTOP 230115KV - SURRY 138 KV #1,L:10295:10305:138
FOURTH PLAIN SUBSTATION - AMOS 345 KV,L:18267:18686:345
SPORN SUBSTATION 345-230 kV Autotransformer,X:18707:345:230
ROCHESTER HYDRO - SONORA 100 KV,L:19202:19214:100
KILLEN 100-1 kV Transformer,X:19540:100:1
DEDEDO - CHICOPEE HYDROELETRIC STATION 230 KV L,L:19681:20177:230
FIRSTENERGY EDGEWATER - BARNES JCT 100 KV L,L:19951:19952:100
KEMMERER - FIRSTENERGY BAY SHORE 230 KV,L:20005:20300:230
PRAIRIE - MOTOROLA 138 KV,L:5364:5775:138
DAM NO. 4 HYDRO STATION - TIMBER SWAMP 138 KV L,L:9030:17923:138
JENNINGS LODGE - AGANA 138 KV,L:9747:10285:138
BUTTS - ALLINGS CROSSING 138 KV L,L:17734:17736:138
GARY WORKS - MOLINO 161 KV,L:2601:2722:161
BLAKESLEE JCT 138/1 kV Transformer Bank,X:2797:138:1
DIAMOND BAR - BAYONNE MUA- LEITNER-POMA WIND TURBINE 138 KV,L:5383:5445:138
NORTHSIDE - NJT MEADOWLANDS RAIL SUBSTAION 138 KV Circuit 2,L:5448:5910:138
24TH & GARDNDALE 161/138 kV Transformer,X:5927:161:138
CONOWINGO - HOLLAND 138 KV Line,L:8643:9104:138
CAYUCOS 138 kV/69 kV TX Unit 1,X:10447:138:69
N RANDOLPH - PAUL SWEET 138 KV,L:17735:17737:138
SOUTHPOINT - CAPSULE 100 KV,L:23484:23494:100
CAYUCOS 138 kV/69 kV Autotransformer,X:10447:138:69
GREENLAND GAP - STEVENSVILLE 345 KV,L:18691:18697:345
SOUTHPAC - BRIDGEHAMPTON 100 KV,L:19265:19267:100
HAWTHORNE OCB ELECTRIC - N YUMA 100 KV,L:23041:23284:100
JOLLYVILLE - E HAGERSTOWN 138 KV,L:9019:9021:138
FLUVANNA P.S - LOUISA GENERATION FACILITY 345 KV,L:9631:9643:345
CONCORD - MT. HARRIS 230 KV,L:22022:22024:230
EDDYSTONE - BUCKS CRK 138 KV,L:7099:7140:138
MCMICHEN - MT. HARRIS 230 KV,L:22024:22035:230
CRIST ROAD - BIPORT 100 KV,L:23314:23481:100
PAPER - TECUMSEH RD 138 KV,L:5367:5865:138
LIBERTY ELECTRIC POWER PLANT - GRISWALD 138 KV,L:6463:7119:138
PLYMOUTH MEETING - BARBADOES 138 KV,L:6758:6782:138
NEXEN TAP - MILLER REDWOOD 138 KV,L:9724:9725:138
EARLIMART SUBSTATION - NEW HOGAN 138 KV,L:5917:6911:138
HIGHLANDS - BEVERLY 138 KV,L:6445:6460:138
YUKON - SEVIERVILLE 138 KV,L:7276:8228:138
NORFORK 500 kV/345 kV XFMR,X:8275:500:345
YADKIN - WHEELABRATOR PORTSMOUTH 138 KV,L:9757:9759:138
RANCHO MISSION VIEJO - FERMI 100 KV Line 1,L:21631:21682:100
WESTROCK SOUTHEAST LLC - CASON LNE 345 KV line,L:9069:18127:345
JIM BRANCH - LOUISA GENERATION FACILITY 138 KV,L:9643:9653:138
PERSON - MECKLENBURG POWER STATION 345 KV,L:9650:11146:345
LOMA VISTA - CEDAR HILL 100 KV,L:18839:18862:100
BELLE GLADE - CASTALIA 100 KV,L:20072:20124:100
HERMANAS DAVILA 1705 - GUADALUPE GENERATING 138 KV L,L:9168:9440:138
ALLINGS CROSSING - ERIN 138 KV,L:17663:17736:138
W BELLAIRE 138 kV/1 kV Transformer,X:18750:138:1
ENDAKO CUST SUBSTATION - LOS OSITOS 230 KV Line,L:23171:23263:230
MOTOROLA - W ORANGE 138 KV,L:5364:5404:138
SODA SPRINGS POWER PLANT - HICROSS 138 KV,L:6260:6299:138
WALLENPAUPACK 500-345 kV Transformer,X:7171:500:345
YOST BRIDGE - N STRASBURG SUBSTATION 138 KV,L:8741:8760:138
WESTPORT - WHEELABRATOR BALTIMORE REFUSE 138 KV Line,L:8468:9058:138
NORTH RANDOLPH - CAMPO FRESCO 2 138 KV,L:17737:17739:138
MAALAEA - FARRAGUT 230 KV line,L:24592:24600:230
WESTROCK SOUTHEAST LLC - RIDGELEY 345 KV,L:9069:18394:345
FOURTH PLAIN - MILROY 345 KV,L:18267:18338:345
SOUTHPAC - SUNRISE POWER 100 KV Line,L:19234:19265:100
TOKIO - JOSE 138 KV,L:5833:5846:138
N LAKE - PLAQUEMINE COGENERATION PLANT 138 KV,L:6047:6055:138
RIVERPLACE - HIGH RIDGE 138 KV,L:8810:8813:138
KEMMERER - DANIEL SIDING 230 KV,L:19998:20005:230
OPP - CICO 138 KV Ckt 2,L:16915:16916:138
FAYETTEVILLE S - SAN BRUNO SUBSTATION 100 KV,L:18790:19215:100
MILLHOPPER - TURQUOISE 138 KV,L:18226:18236:138
BADGER CREEK SUBSTATION - CHIPETA LAKE 138 KV,L:8744:8747:138
GILBOA - ORMOD 138 KV,L:9831:9835:138
THURMONT - CALEDONIA SWITCHING YARD 138 KV,L:8736:9066:138
CAPE CANAVERAL - HUNTERSTOWN POWER PLANT 138 KV,L:6022:6023:138
DEL BAC - BRADLEY LAKE 138 KV line,L:6605:6632:138
TIMBERWOLF SUBSTATION - EAST LONGMEADOW 138 KV,L:9141:9149:138
JET - BELLEVILLE 138 KV,L:5354:5366:138
BAYAMON SUBSTATION - KANSAS 138 KV L,L:9762:9764:138
PULPGEN - FIVE FALLS 138 KV L,L:6013:6014:138
BORREGO - BADGER CREEK SUBSTATION 138 KV,L:8747:8863:138
HINTON AP - BETSY LAYNE 138 KV,L:18544:18550:138
CAMANCHE DAM - UNIVERSITY PARK N 100 KV Ckt 2,L:23006:23505:100
CEDAR GROVE - YAUCO PLAZA 138 KV,L:5358:5374:138
GOLD RIV - SWITCH SUBSTATION 138 KV,L:6231:6817:138
LOCUSST - INTERNATIONAL PAPER VICKSBURG MILL 138 KV,L:17673:17676:138
CALAVERAS 345 - OTTEN 138 KV,L:10147:10148:138
VASCO - CAJALCO 100 KV,L:19470:19472:100
E DUNKIRK - W ADAMSVILLE 138 KV,L:17627:17770:138
CADIZ - AMO 230 KV,L:24065:24612:230
TANNERS LAKE - HARROWGATE 138 KV Line,L:9780:9781:138
DPC ARGYLE SUBSTATION - ODESSA 100 KV #2,L:19206:19208:100
W RECEIVING - CASKY 138 KV L,L:6012:7068:138
WILLMAR - DELL CITY 138 KV Line,L:5933:8340:138
BRIGHTON - ACKLEY 138 KV L,L:8807:8832:138
FAYETTEVILLE S - GIBSONIA SUBSTATION 100 KV,L:19215:19221:100
KEENEY - MET CENTER 138 KV,L:8317:8328:138
CTR - EAST TOWSON 138 KV,L:8582:8586:138
