date,facility_name,upgrade
2011-01-01,Closter Substation - Ss3145 161 kV Cir. 1,baseline reliability upgrade
2011-01-01,Blakeslee Junction - South Vicksburg 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Jordan River - Pseg Linden Generating Station Substation 161 kV #1,baseline reliability upgrade
2011-01-01,Jordan Riv - Pseg Linden Generating Sta 161 kV Circuit 2,baseline reliability upgrade
2011-01-01,Hudson 161 kV/138 kV Transformer T1,baseline reliability upgrade
2011-01-01,Grand Haven Diesel Plant - Closter 161 kV,baseline reliability upgrade
2011-01-01,Closter - Grand Haven Diesel Plant 161 kV Line 2,baseline reliability upgrade
2011-01-01,Meadow Lane Tap - Garfield 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Chauvin - Riverbend 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Riverbend - Chauvin 138 kV,baseline reliability upgrade
2011-01-01,Rec Laprairie - Gloucester 138 kV #1,baseline reliability upgrade
2011-01-01,Federal Square - Amistad 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Federal Square - Amistad 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Clay Street - Federal Square 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Federal Square - Clay St 138 kV,baseline reliability upgrade
2011-01-01,Stanley Terrace - Bethpagepower Plant 138 kV Line 1,baseline reliability upgrade
2011-01-01,Tecumseh Rd - Paper 138 kV Line 1,baseline reliability upgrade
2011-01-01,Pit 7 Tap - W Side 138 kV line,baseline reliability upgrade
2011-01-01,Yauco Plaza - Laurel Ave 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Laurel Ave - Yauco Plaza 138 kV Line 2,baseline reliability upgrade
2011-01-01,Miller St - Ocotillo 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Miller St - Ocotillo Substation 138 kV #2,baseline reliability upgrade
2011-01-01,Marion Drive - Barre City 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Dower - Prairie 138 kV L,baseline reliability upgrade
2011-01-01,Amistad - Steamboat 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Steamboat - Amistad 138 kV Circuit 2,baseline reliability upgrade
2011-01-01,Steamboat - Rinehart 138 kV #1,baseline reliability upgrade
2011-01-01,Steamboat - Port St 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Bethpage Power Plant - Flagstaff 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Diamond Bar Substation - North Avenue 138 kV Line 1,baseline reliability upgrade
2011-01-01,Diamondbar - N Avenue 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Mt Hope - Uvalde Reit 138 kV,baseline reliability upgrade
2011-01-01,Mt Hope - W Side 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Rinehart - Acec Friendship 138 kV #1,baseline reliability upgrade
2011-01-01,N Champaign - Pirkey 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,N Champaign - Pirkey 138 kV #2,baseline reliability upgrade
2011-01-01,Deptford - Thorofare 138 kV,baseline reliability upgrade
2011-01-01,Bowman - Newark Bay Cogeneration Partnership Lp 138 kV,baseline reliability upgrade
2011-01-01,Bowman - Acec Friendship 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Palmer Tc - Yacht Club D.S 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Newark Bay Cogeneration Partnership Lp Substation - Pioneer Substation 138 kV,baseline reliability upgrade
2011-01-01,Newark Bay Cogeneration Partnership Lp - Pioner 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Northside - Harden 138 kV Line 1,baseline reliability upgrade
2011-01-01,Yacht Club D.S - Njt Meadowlands Rail Substaion 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Yacht Club D.S Substation - Njt Meadowlands Rail Substaion 138 kV Circuit 2,baseline reliability upgrade
2011-01-01,Latham - S Vicksburg 138 kV Line 1,baseline reliability upgrade
2011-01-01,Bergen Generating Station - Greers Ferry 138 kV Line 2,baseline reliability upgrade
2011-01-01,Eastridge - Riverbend 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Eastrige - Riverbend 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Roe - St. Johns 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Roe - O'Neil 138 kV Line 1,baseline reliability upgrade
2011-01-01,Hatchet Ridge Wind Substation - Chisago 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Chisago - Hope Creek 138 kV #1,baseline reliability upgrade
2011-01-01,Hatchet Ridge Wind Substation - St. Johns 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Tokio - Schoharie 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Tokio - Jose 138 kV #1,baseline reliability upgrade
2011-01-01,Rubidoux - Jose 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Cordova - Bayway 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Cordova - Bayway 138 kV #2,baseline reliability upgrade
2011-01-01,Grayson - Pathfinder 138 kV Line 1,baseline reliability upgrade
2011-01-01,Tecumeh Rd - Linden Cogen Plant 138 kV Line,baseline reliability upgrade
2011-01-01,Tecumseh Rd - Linden Cogen Plant 138 kV,baseline reliability upgrade
2011-01-01,Bayway - Grayson 138 kV Line 1,baseline reliability upgrade
2011-01-01,Bayway - Grayson 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Dist 1000 Substation 345-138 kV Transformer,baseline reliability upgrade
2011-01-01,Dist 1000 - O'Neil 138 kV,baseline reliability upgrade
2011-01-01,Dist 1000 - Wellman Substation 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Dist 1000 - Wellman 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Daffin Gin - Municipal Light 138 kV Line 1,baseline reliability upgrade
2011-01-01,Alessandro - Ft Bliss 138 kV Line 1,baseline reliability upgrade
2011-01-01,Earlimart - New Hogan 138 kV Line 1,baseline reliability upgrade
2011-01-01,Earlimart - Jefferson Tap 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,24Th & Gardendale 161-138 kV Transformer Bank,baseline reliability upgrade
2011-01-01,Beren Generating Station - Riverbend 138 kV #1,baseline reliability upgrade
2011-01-01,Riverbend - Bergen Generating Station 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Pirky - Benndale 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Pirkey - Benndale 138 kV Cir. 2,baseline reliability upgrade
2011-01-01,Copans 138/14kV Autotransformer T1,baseline reliability upgrade
2011-01-01,Bergen Generating Station 138-22 kV Transformer T1,baseline reliability upgrade
2011-01-01,Rec Laprairie 138/14kV Auto T1,baseline reliability upgrade
2011-01-01,Southwark - Rec Laprairie 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Pulpgen - Five Falls 138 kV #1,baseline reliability upgrade
2011-01-01,Caledonia Switching Yard - Pulpgen 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Five Falls Substation - La Conner 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Hanes - Cove Avenue 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Hanes - Orrtanna 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Cape Canaveral - Rotary Park 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Gibralter Cust Substation - Moser Generating Sta 345 kV Line 1,baseline reliability upgrade
2011-01-01,Plaqueine Cogeneration Plant - N Lae 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Raceland - Plaquemine Cogeneration Plant 138 kV,baseline reliability upgrade
2011-01-01,Quindaro Substation - Joshua Falls 138 kV line,baseline reliability upgrade
2011-01-01,Strawberry Belt - Wescosville 138 kV,baseline reliability upgrade
2011-01-01,Strawberry Belt Substation - Elgin Substation 138 kV #1,baseline reliability upgrade
2011-01-01,Limerick - Woonsocket 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Mjmeuc Generating Sta 1 - Overton 2 Substation 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Mjmeuc Generating Sta 1 - Epsy 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Melrose - Powell 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Ocean Road - George Street 138 kV line,baseline reliability upgrade
2011-01-01,Forest City Light Plant - Horse Heaven 138 kV,baseline reliability upgrade
2011-01-01,Raeland - Elroy 138 kV Line 1,baseline reliability upgrade
2011-01-01,Forest City Light Plant - Powell 138 kV Line 1,baseline reliability upgrade
2011-01-01,Jarrett - Heaton 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Hartman - Jarrett 138 kV,baseline reliability upgrade
2011-01-01,Mona Substation - W Yates Tap 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,West Yates Tap Substation - New Hanover County Wastec 138 kV Line,baseline reliability upgrade
2011-01-01,Panther Crk Energy Facility - Eau Allie 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,El Caminotap - Lake June Pump 138 kV Line,baseline reliability upgrade
2011-01-01,Primm - Joes 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Primm - Woonsocket 138 kV #1,baseline reliability upgrade
2011-01-01,Rio Hondo - Betzwood 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Burgess Biopower - Hobart 138 kV Line 1,baseline reliability upgrade
2011-01-01,Yermo - Susquhanna 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Gloria - Bayshore 138 kV #1,baseline reliability upgrade
2011-01-01,Wabasso - Saville 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Edic - Alcoa Sw Sta 138 kV #1,baseline reliability upgrade
2011-01-01,Johnson Dp - Ross Avenue 138 kV #1,baseline reliability upgrade
2011-01-01,Point Beach Station - Highlands 138 kV,baseline reliability upgrade
2011-01-01,Highlands - Beverly 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Bridgeport - Griswald 138 kV L,baseline reliability upgrade
2011-01-01,Griswald - Liberty Electric Power Plant Substation 138 kV,baseline reliability upgrade
2011-01-01,Laguna Pointe-Franklin - Amfor 138 kV,baseline reliability upgrade
2011-01-01,Swampy Acres - Laguna Pointe-Franklin 138 kV line,baseline reliability upgrade
2011-01-01,Swampy Acres - Kilvet St 138 kV Line 1,baseline reliability upgrade
2011-01-01,Peckville - Ronkonkoma 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Peckville - Archbald Power Sta 138 kV,baseline reliability upgrade
2011-01-01,Ronkonkoma - Church St 138 kV Line,baseline reliability upgrade
2011-01-01,Ronkonkoma - Recay 138 kV Line 1,baseline reliability upgrade
2011-01-01,Kilvert St Substation - Church Street 138 kV Line 1,baseline reliability upgrade
2011-01-01,Sheldon Springs Hydroelectric - Emigration 138 kV #1,baseline reliability upgrade
2011-01-01,Archbald Power Station - Market St 345 kV line,baseline reliability upgrade
2011-01-01,Elgin - Del Bac 138 kV,baseline reliability upgrade
2011-01-01,Kent Substation - Elks 138 kV,baseline reliability upgrade
2011-01-01,Heaton - Jenkintown 138 kV #1,baseline reliability upgrade
2011-01-01,Tarlett - Pinedale 138 kV line,baseline reliability upgrade
2011-01-01,Wakarusa - Tarlett 138 kV,baseline reliability upgrade
2011-01-01,Broadway In - Shellburn 138 kV Line 1,baseline reliability upgrade
2011-01-01,Broadway In - El Porta 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Barbadoes - Okay 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Barbadoes - Plymouth Meeting 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Synata Hugoton - Shady Glen 138 kV Line 1,baseline reliability upgrade
2011-01-01,Elks - Plymouth Meeting 138 kV,baseline reliability upgrade
2011-01-01,Windy Gap - Wakarusa 138 kV #1,baseline reliability upgrade
