plant_id,sub_id,fuel,mw,online_year,retire_year,queue_project_id
1332,3541,ng,458.724,1979,,
1333,3541,ng,458.724,2006,,
1863,5891,nuclear,953.092,1977,,
1864,5891,nuclear,953.092,1963,,
1866,5892,solar,1.63,2010,,
1868,5894,solar,1.793,1999,,
1870,5894,solar,2.282,2001,,
1871,5894,solar,8.148,1976,,
1872,5895,coal,109.449,1974,2019.0,
1873,5896,ng,88.021,1996,,
1874,5896,ng,88.021,1986,,
1875,5896,ng,88.021,1992,,
1880,5899,solar,12.223,1994,,
1882,5899,solar,1.793,1962,,
1885,5899,solar,0.407,1969,,
1887,5899,solar,0.407,1995,,
1888,5899,solar,0.407,1960,,
1889,5900,solar,8.148,1980,,
1890,5901,ng,41.729,2001,,
1891,5901,ng,41.729,1967,,
1896,5904,solar,4.237,1992,,
1897,5904,solar,4.074,1992,,
1906,5906,solar,5.052,1988,,
1907,5906,solar,7.008,1990,,
1910,5908,ng,36.676,2006,,
1911,5908,ng,36.676,2002,,
1912,5908,ng,36.676,1973,,
1913,5908,ng,36.676,1980,,
1918,5910,ng,109.57,1987,,
1919,5910,ng,109.57,1962,,
1920,5910,ng,109.57,1977,,
1921,5910,ng,109.57,1992,,
1922,5910,ng,109.57,1971,,
1923,5910,ng,109.57,1975,,
1925,5911,solar,3.096,1989,,
1927,5912,dfo,9.103,1995,,
1929,5914,dfo,0.436,1962,,
1930,5914,dfo,0.436,2006,2013.0,
1932,5915,dfo,25.087,1998,2015.0,
1933,5915,dfo,0.261,1981,2015.0,
1934,5916,solar,6.682,1965,,
1935,5916,solar,2.119,1978,,
1936,5917,ng,77.372,1996,,
1937,5918,solar,1.63,2009,,
1938,5918,solar,2.282,1989,,
1939,5918,solar,5.704,1989,,
1940,5919,solar,4.889,1996,,
1941,5919,solar,26.075,1985,,
1942,5920,solar,12.874,1986,,
1943,5920,solar,4.889,1997,,
1944,5920,solar,3.259,1994,,
1945,5921,nuclear,1051.416,1983,,
1947,5922,solar,2.119,1968,,
1948,5922,solar,0.815,1985,,
1949,5922,solar,0.815,1992,,
1950,5922,solar,0.815,1991,,
1951,5922,solar,0.815,2001,,
1952,5922,solar,0.489,1994,,
1953,5922,solar,0.489,1997,,
1954,5922,solar,0.489,1995,,
1956,5923,solar,1.956,2004,,
1959,5923,solar,6.193,1962,,
1960,5924,nuclear,448.035,2000,,
1961,5925,ng,28.906,2006,,
1962,5925,ng,28.906,2005,,
1963,5925,ng,28.906,1976,,
1964,5925,ng,28.906,1976,,
1965,5925,ng,28.906,1980,,
1966,5925,ng,28.906,1971,,
1968,5926,solar,13.037,1961,,
1970,5926,solar,1.63,2002,,
1971,5927,dfo,11.542,1966,,
1972,5927,dfo,11.542,1995,2014.0,
1973,5927,dfo,11.542,1960,2025.0,
1974,5927,dfo,11.542,2006,2013.0,
1976,5928,solar,2.933,1965,,
1977,5928,solar,3.422,2000,,
1979,5929,solar,0.815,2010,,
1980,5929,solar,0.815,1997,,
1981,5929,solar,0.815,2000,,
1983,5929,solar,16.46,1976,,
1984,5930,ng,208.1,1978,,
1985,5930,ng,208.1,1973,,
1986,5931,ng,223.075,1964,,
1987,5931,ng,223.075,1987,,
1988,5931,ng,223.075,1982,,
1989,5931,ng,223.075,1987,,
1990,5932,solar,2.445,1961,,
1991,5932,solar,3.341,1983,,
1992,5932,solar,3.341,1984,,
1993,5933,ng,73.08,1981,,
1994,5933,ng,73.08,1961,,
1995,5934,ng,50.346,2009,,
1996,5934,ng,50.346,1978,,
1997,5934,ng,50.346,2004,,
1998,5935,solar,1.956,1990,,
1999,5935,solar,2.445,1963,,
2000,5935,solar,4.074,1998,,
2001,5936,dfo,5.88,1993,,
2002,5937,solar,10.267,1994,,
2003,5938,solar,1.63,1983,,
2004,5938,solar,1.63,1978,,
2005,5938,solar,1.63,2005,,
