datetime,constraint_name,shadow_price,flow_mw
2016-01-19 08:00:00,BRYANT - CASTO 138 KV L,0.94,262.5
2016-01-19 08:00:00,EARLIMART - JEFFERSON TAP 138 KV,2.17,193.9
2016-01-19 08:00:00,LA CONNER - FIVE FALLS 138 KV L,26.75,241.1
2016-01-19 08:00:00,BRIDGEPORT - GRISWALD 138 KV,6.38,237.3
2016-01-19 08:00:00,DEL BAC - ELGIN 138 KV,147.42,164.7
2016-01-19 08:00:00,LOGANS FERRY - SS3143 138 KV,10.43,250.5
2016-01-19 08:00:00,DETROIT - RIDGELEY 345 KV,6.56,1287.3
2016-01-19 08:00:00,TYHEE - CTR 138 KV,5.59,238.9
2016-01-19 08:00:00,STATION G - CLOVER 345 KV,13.53,1432.2
2016-01-19 08:00:00,GEYSERS TAP 2 - WALTHALL 138 KV,3.82,235.8
2016-01-19 08:00:00,POSSUM POINT 345 kV/138 kV Autotransformer,3.5,206.3
2016-01-19 08:00:00,HILLTOP 230115KV - SURRY 138 KV #1,12.36,285.3
2016-01-19 08:00:00,FOURTH PLAIN SUBSTATION - AMOS 345 KV,16.4,1131.0
2016-01-19 08:00:00,SPORN SUBSTATION 345-230 kV Autotransformer,10.21,387.7
2016-01-19 08:00:00,ROCHESTER HYDRO - SONORA 100 KV,38.0,148.3
2016-01-19 08:00:00,KILLEN 100-1 kV Transformer,148.6,191.3
2016-01-19 08:00:00,DEDEDO - CHICOPEE HYDROELETRIC STATION 230 KV L,14.4,489.2
2016-01-19 08:00:00,FIRSTENERGY EDGEWATER - BARNES JCT 100 KV L,86.15,136.1
2016-01-19 08:00:00,KEMMERER - FIRSTENERGY BAY SHORE 230 KV,2.36,505.0
2016-02-13 19:00:00,PRAIRIE - MOTOROLA 138 KV,0.65,216.7
2016-02-13 19:00:00,BRYANT - CASTO 138 KV L,1.37,262.4
2016-02-13 19:00:00,EARLIMART - JEFFERSON TAP 138 KV,8.68,193.9
2016-02-13 19:00:00,LA CONNER - FIVE FALLS 138 KV L,74.52,241.1
2016-02-13 19:00:00,DEL BAC - ELGIN 138 KV,138.26,164.7
2016-02-13 19:00:00,LOGANS FERRY - SS3143 138 KV,8.67,250.5
2016-02-13 19:00:00,TYHEE - CTR 138 KV,4.13,238.9
2016-02-13 19:00:00,DAM NO. 4 HYDRO STATION - TIMBER SWAMP 138 KV L,9.69,218.7
2016-02-13 19:00:00,STATION G - CLOVER 345 KV,13.54,1432.2
2016-02-13 19:00:00,JENNINGS LODGE - AGANA 138 KV,0.7,233.6
2016-02-13 19:00:00,GEYSERS TAP 2 - WALTHALL 138 KV,1.29,235.8
2016-02-13 19:00:00,POSSUM POINT 345 kV/138 kV Autotransformer,2.73,206.3
2016-02-13 19:00:00,BUTTS - ALLINGS CROSSING 138 KV L,910.83,224.8
2016-02-13 19:00:00,FOURTH PLAIN SUBSTATION - AMOS 345 KV,14.89,1131.0
2016-02-13 19:00:00,FIRSTENERGY EDGEWATER - BARNES JCT 100 KV L,24.99,136.1
2016-02-13 19:00:00,KEMMERER - FIRSTENERGY BAY SHORE 230 KV,2.44,505.0
2016-03-03 19:00:00,GARY WORKS - MOLINO 161 KV,266.05,220.3
2016-03-03 19:00:00,BLAKESLEE JCT 138/1 kV Transformer Bank,265.72,101.4
2016-03-03 19:00:00,DIAMOND BAR - BAYONNE MUA- LEITNER-POMA WIND TURBINE 138 KV,4.24,211.3
2016-03-03 19:00:00,NORTHSIDE - NJT MEADOWLANDS RAIL SUBSTAION 138 KV Circuit 2,2.15,270.1
2016-03-03 19:00:00,24TH & GARDNDALE 161/138 kV Transformer,2000.0,142.2
2016-03-03 19:00:00,LA CONNER - FIVE FALLS 138 KV L,75.65,241.1
2016-03-03 19:00:00,LOGANS FERRY - SS3143 138 KV,5.45,250.5
2016-03-03 19:00:00,TYHEE - CTR 138 KV,7.87,238.9
2016-03-03 19:00:00,CONOWINGO - HOLLAND 138 KV Line,13.89,245.9
2016-03-03 19:00:00,STATION G - CLOVER 345 KV,7.15,1432.2
2016-03-03 19:00:00,JENNINGS LODGE - AGANA 138 KV,5.02,233.6
2016-03-03 19:00:00,GEYSERS TAP 2 - WALTHALL 138 KV,10.16,235.8
2016-03-03 19:00:00,POSSUM POINT 345 kV/138 kV Autotransformer,9.1,206.4
2016-03-03 19:00:00,CAYUCOS 138 kV/69 kV TX Unit 1,239.97,102.3
2016-03-03 19:00:00,N RANDOLPH - PAUL SWEET 138 KV,762.88,260.5
2016-03-03 19:00:00,FOURTH PLAIN SUBSTATION - AMOS 345 KV,9.73,1131.0
2016-03-03 19:00:00,KILLEN 100-1 kV Transformer,27.96,191.3
2016-03-03 19:00:00,SOUTHPOINT - CAPSULE 100 KV,6.17,109.7
2016-04-06 08:00:00,GARY WORKS - MOLINO 161 KV,382.62,220.3
2016-04-06 08:00:00,BLAKESLEE JCT 138/1 kV Transformer Bank,327.9,101.3
2016-04-06 08:00:00,DIAMOND BAR - BAYONNE MUA- LEITNER-POMA WIND TURBINE 138 KV,0.74,211.3
