facility_name,start,end,reason
Mooe St - Urich Tap Substation 138 kV Line 1,2016-01-19 08:00:00,2016-02-02 08:00:00,planned
Van Buren - Abilene Maple St 138 kV #1,2016-01-17 08:00:00,2016-01-28 08:00:00,planned
119Th Street - Kleen 138 kV Cir. 1,2016-01-12 08:00:00,2016-01-31 08:00:00,planned
Tucannon River - Plant Avenue 138 kV,2016-01-17 08:00:00,2016-01-26 08:00:00,planned
Gaucho - Cagnon Rd 100 kV Line 1,2016-01-18 08:00:00,2016-01-19 08:00:00,planned
Bowes - Glenns Ferry 100 kV Cir. 1,2016-01-16 08:00:00,2016-01-20 08:00:00,planned
Austin - 7Th St 138 kV Circuit 2,2016-01-13 08:00:00,2016-01-29 08:00:00,planned
Strahan - Adair Substation 138 kV Cir. 1,2016-01-17 08:00:00,2016-01-18 08:00:00,planned
Graphic Packaging - Dow St Chrles Operations 100 kV Ckt 1,2016-01-14 08:00:00,2016-01-31 08:00:00,planned
Bulan - Hazard 138 kV Ckt 1,2016-01-18 08:00:00,2016-02-04 08:00:00,planned
N Park - Sugarcreek 100 kV,2016-01-19 08:00:00,2016-01-21 08:00:00,planned
Lucas - Iona 100 kV #1,2016-01-11 08:00:00,2016-01-14 08:00:00,planned
Tahoe City - Main St Substation 138 kV Line 1,2016-01-11 08:00:00,2016-01-12 08:00:00,planned
Golden Vly Substation - Alum Ridge 100 kV Circuit 1,2016-01-13 08:00:00,2016-01-20 08:00:00,planned
Mcewen Substation - Stephentown 100 kV Circuit 1,2016-01-18 08:00:00,2016-01-20 08:00:00,planned
Camuy 7601 - Western Digital 138 kV Circuit 1,2016-01-10 08:00:00,2016-01-27 08:00:00,planned
Michigamme Falls Hy - Scanlon 138 kV #1,2016-01-16 08:00:00,2016-01-27 08:00:00,planned
Dixon Tap - Hamilton Pa 138 kV Circuit 1,2016-01-18 08:00:00,2016-01-25 08:00:00,planned
Rhode Island State Energy Ctr - Waldwick 138 kV Line 1,2016-01-19 08:00:00,2016-02-04 08:00:00,planned
Morganville - Polson 100 kV Line 1,2016-01-11 08:00:00,2016-01-18 08:00:00,planned
Benndale - Pirkey Substation 138 kV #2,2016-01-15 08:00:00,2016-02-04 08:00:00,planned
Mtu - Garrott 138 kV Cir. 1,2016-01-13 08:00:00,2016-01-26 08:00:00,planned
Sulphur Springs - Bengies 138 kV Circuit 1,2016-01-10 08:00:00,2016-01-17 08:00:00,planned
Rittenhouse - Sun City 138 kV,2016-01-15 08:00:00,2016-01-25 08:00:00,planned
Akron - Overlook 100 kV Circuit 1,2016-01-17 08:00:00,2016-02-06 08:00:00,planned
Lockport - Putts Bridge 100 kV Cir. 1,2016-01-12 08:00:00,2016-01-24 08:00:00,planned
Northern Steel Casing Substation - Philip Morris 138 kV Line 1,2016-01-19 08:00:00,2016-01-26 08:00:00,planned
Rodeo - Sepluveda 100 kV Circuit 1,2016-01-11 08:00:00,2016-01-31 08:00:00,planned
Foreman North - Belridge 1A 100 kV Cir. 1,2016-01-13 08:00:00,2016-01-20 08:00:00,planned
Beardsley Tap Substation - Jamestown 138 kV,2016-01-11 08:00:00,2016-01-23 08:00:00,planned
Cahullia - Canas Tc 100 kV,2016-01-14 08:00:00,2016-01-21 08:00:00,planned
Lake Geneva - Eastlake Sta 100 kV,2016-01-15 08:00:00,2016-01-16 08:00:00,planned
Clarendon - Radnor Heights 138 kV Cir. 1,2016-01-17 08:00:00,2016-01-29 08:00:00,planned
Norris City N - 4602 Coamo 138 kV Ckt 1,2016-01-16 08:00:00,2016-01-27 08:00:00,planned
Fourth Branch Hydroelectric Facility - 30Th Ave 100 kV #1,2016-01-17 08:00:00,2016-02-01 08:00:00,planned
Mohave Electric - Nasa 138 kV,2016-01-16 08:00:00,2016-01-28 08:00:00,planned
Sun Prairie Substation - Canreed 100 kV Line 1,2016-01-11 08:00:00,2016-01-14 08:00:00,planned
