project_id,queue_date,poi_sub_id,poi_kv,poi_name,project_type,fuel,mw,state,zone_id,source
Q11-0001,2011-01-01,5339,138.0,Clayburn 138 kV,gen,gas,523.5,New Jersey,9,synthetic
Q11-0002,2011-01-03,19936,100.0,Tewksbury 100 kV,gen,wind,159.3,Ohio,30,synthetic
Q11-0003,2011-01-08,18622,138.0,Glennville 138 kV,gen,wind,212.9,West Virginia,28,synthetic
Q11-0004,2011-01-13,22749,230.0,San Marcos 230 kV,gen,gas,329.0,Indiana,33,synthetic
Q11-0005,2011-01-16,5875,138.0,Shelby 138 kV,gen,solar,49.8,New Jersey,9,synthetic
Q11-0006,2011-01-28,10074,138.0,Royse 138 kV,gen,gas,1119.2,Virginia,15,synthetic
Q11-0007,2011-01-31,5609,138.0,Renaissance Station 138 kV,gen,wind,179.6,New Jersey,9,synthetic
Q11-0008,2011-02-08,22965,230.0,Lower Granite 230 kV,gen,wind,180.0,Illinois,34,synthetic
Q11-0009,2011-02-09,9621,138.0,Rosholt Cwec 138 kV,gen,gas,286.1,Virginia,14,synthetic
Q11-0010,2011-02-09,9230,138.0,Santa Maria Cogen 138 kV,gen,other,181.3,Virginia,14,synthetic
Q11-0011,2011-02-14,9793,138.0,Baraga Vlg 138 kV,gen,solar,141.4,Virginia,15,synthetic
Q11-0012,2011-02-14,9778,138.0,Barlow 138 kV,gen,wind,327.6,Virginia,15,synthetic
Q11-0013,2011-02-24,7282,138.0,Pinkerton 138 kV,load,load,217.7,Pennsylvania,11,synthetic
Q11-0014,2011-03-03,18805,100.0,Hamilton Hydro 100 kV,gen,solar,157.5,Ohio,29,synthetic
Q11-0015,2011-03-09,17178,138.0,Nelson Cable 138 kV,gen,gas,543.8,Kentucky,27,synthetic
Q11-0016,2011-03-09,10644,138.0,Dooley 138 kV,gen,gas,565.8,North Carolina,16,synthetic
Q11-0017,2011-03-15,21664,230.0,Palisades 230 kV,gen,solar,51.2,Michigan,32,synthetic
Q11-0018,2011-03-15,22868,100.0,Wommack 100 kV,gen,gas,364.5,Illinois,34,synthetic
Q11-0019,2011-03-21,10268,138.0,Sharpe 138 kV,gen,gas,372.4,Virginia,15,synthetic
Q11-0020,2011-03-24,17772,138.0,Rhinelander Paper 138 kV,gen,wind,67.3,Kentucky,27,synthetic
Q11-0021,2011-03-25,10259,138.0,Four Rivers 138 kV,gen,solar,54.7,Virginia,15,synthetic
Q11-0022,2011-03-28,5912,138.0,O'Neil 138 kV,gen,solar,85.8,New Jersey,9,synthetic
Q11-0023,2011-03-29,10214,138.0,Macho Springs 138 kV,gen,gas,326.1,Virginia,15,synthetic
Q11-0024,2011-04-06,7716,138.0,Celery 138 kV,load,load,197.4,Pennsylvania,11,synthetic
Q11-0025,2011-04-11,10187,138.0,Ni River Dp 138 kV,gen,wind,183.3,Virginia,15,synthetic
Q11-0026,2011-04-14,22965,100.0,Lower Granite 100 kV,battery,storage,158.3,Illinois,34,synthetic
Q11-0027,2011-04-19,10132,138.0,Gosport 138 kV,gen,gas,95.7,Virginia,15,synthetic
Q11-0028,2011-04-20,18211,138.0,Feagan'S Mill 138 kV,gen,gas,57.8,West Virginia,28,synthetic
Q11-0029,2011-04-20,7937,138.0,Texas Eastern 138 kV,gen,gas,169.4,Pennsylvania,11,synthetic
Q11-0030,2011-04-23,9397,138.0,West Winchester 138 kV,gen,solar,171.8,Virginia,14,synthetic
Q11-0031,2011-04-25,5945,500.0,Bl England Station 500 kV,gen,gas,302.3,New Jersey,9,synthetic
Q11-0032,2011-04-28,18477,138.0,Dresden Drive 138 kV,load,load,357.2,West Virginia,28,synthetic
Q11-0033,2011-04-29,7506,138.0,Oxford Dam 138 kV,gen,solar,98.7,Pennsylvania,11,synthetic
Q11-0034,2011-05-02,5303,138.0,Sparwood 138 kV,gen,gas,1500.0,New Jersey,9,synthetic
Q11-0035,2011-05-13,22400,100.0,Pendleton 100 kV,gen,wind,209.5,Indiana,33,synthetic
Q11-0036,2011-05-15,7238,138.0,Diamond Hill 138 kV,load,load,193.4,Pennsylvania,11,synthetic
Q11-0037,2011-05-17,9542,138.0,Roanoke 138 kV,gen,solar,491.3,Virginia,14,synthetic
Q11-0038,2011-05-21,9740,138.0,National City 138 kV,gen,gas,966.1,Virginia,15,synthetic
Q11-0039,2011-05-29,22595,100.0,Grandview Ave 100 kV,gen,gas,514.7,Indiana,33,synthetic
Q11-0040,2011-06-11,8239,138.0,Drexel 138 kV,gen,wind,198.2,Pennsylvania,11,synthetic
Q11-0041,2011-06-12,23508,230.0,Dresden Generating Station 230 kV,gen,gas,513.3,Illinois,34,synthetic
Q11-0042,2011-06-19,23316,100.0,Clearlake 100 kV,gen,other,38.8,Illinois,34,synthetic
Q11-0043,2011-06-20,10643,138.0,Filer 138 kV,gen,solar,122.3,North Carolina,16,synthetic
Q11-0044,2011-06-30,20143,100.0,Greenidge Generation Llc 100 kV,gen,other,6.1,Ohio,30,synthetic
Q11-0045,2011-07-20,18401,138.0,Gate Ii 138 kV,gen,other,213.6,West Virginia,28,synthetic
Q11-0046,2011-07-21,7086,138.0,Invermere 138 kV,gen,solar,383.2,Pennsylvania,10,synthetic
Q11-0047,2011-07-23,6547,138.0,Underwood 138 kV,gen,wind,107.0,Pennsylvania,10,synthetic
Q11-0048,2011-07-24,22765,500.0,Mount Holly 500 kV,gen,gas,844.0,Indiana,33,synthetic
Q11-0049,2011-07-29,7330,138.0,West -Station 138 kV,gen,wind,124.8,Pennsylvania,11,synthetic
Q11-0050,2011-07-29,7512,138.0,Kenedy 138 kV,gen,solar,41.0,Pennsylvania,11,synthetic
Q11-0051,2011-08-07,22495,100.0,Elyslan 100 kV,gen,gas,373.3,Indiana,33,synthetic
Q11-0052,2011-08-10,10222,138.0,Fayette Plant 2 138 kV,gen,other,97.9,Virginia,15,synthetic
Q11-0053,2011-08-15,9141,138.0,East Longmeadow 138 kV,gen,gas,744.1,Virginia,14,synthetic
Q11-0054,2011-08-15,9532,138.0,Starkey 138 kV,load,load,220.0,Virginia,14,synthetic
Q11-0055,2011-08-19,18759,100.0,Pisgah 100 kV,load,load,76.5,Ohio,29,synthetic
Q11-0056,2011-08-19,8878,138.0,Searsburg 138 kV,gen,gas,1130.5,Maryland,13,synthetic
Q11-0057,2011-08-24,9312,138.0,Tarkio 138 kV,gen,wind,288.7,Virginia,14,synthetic
Q11-0058,2011-08-27,7014,138.0,North Alvin 138 kV,gen,solar,59.2,Pennsylvania,10,synthetic
Q11-0059,2011-08-30,22096,100.0,Juno Beach 100 kV,battery,storage,64.6,Indiana,33,synthetic
Q11-0060,2011-09-04,8534,138.0,St Bonifacius 138 kV,gen,gas,114.3,Maryland,13,synthetic
Q11-0061,2011-09-06,19642,100.0,West Salem 100 kV,battery,storage,74.5,Ohio,30,synthetic
Q11-0062,2011-09-12,9386,138.0,International Paper Livermore Hydro 138 kV,gen,solar,49.7,Virginia,14,synthetic
Q11-0063,2011-09-13,22749,230.0,San Marcos 230 kV,gen,solar,184.2,Indiana,33,synthetic
Q11-0064,2011-09-17,22035,230.0,Mcmichen 230 kV,gen,wind,132.8,Indiana,33,synthetic
Q11-0065,2011-09-18,22821,100.0,Pateros 100 kV,load,load,183.2,Illinois,34,synthetic
Q11-0066,2011-09-22,22035,500.0,Mcmichen 500 kV,load,load,672.7,Indiana,33,synthetic
Q11-0067,2011-09-26,21975,100.0,Noble 100 kV,gen,wind,181.9,Indiana,33,synthetic
Q11-0068,2011-10-05,7416,138.0,Federalgen Tap 138 kV,gen,solar,102.5,Pennsylvania,11,synthetic
Q11-0069,2011-10-08,9301,345.0,Woodchuck Hill 345 kV,gen,gas,591.2,Virginia,14,synthetic
Q11-0070,2011-10-09,7181,138.0,Coronet 138 kV,gen,gas,1057.6,Pennsylvania,11,synthetic
Q11-0071,2011-10-09,22965,230.0,Lower Granite 230 kV,gen,solar,220.0,Illinois,34,synthetic
Q11-0072,2011-10-18,16190,138.0,Key Largo 138 kV,load,load,42.1,Tennessee,26,synthetic
Q11-0073,2011-10-19,9219,138.0,Reusens 138 kV,gen,solar,106.0,Virginia,14,synthetic
Q11-0074,2011-10-30,23115,100.0,Floral Park 100 kV,gen,gas,929.5,Illinois,34,synthetic
Q11-0075,2011-11-09,19587,500.0,Inyokern 500 kV,gen,solar,292.4,Ohio,29,synthetic
Q11-0076,2011-11-10,21397,100.0,Salinas 100 kV,gen,solar,112.2,Michigan,32,synthetic
Q11-0077,2011-11-16,10346,138.0,East Garden City 138 kV,load,load,390.2,North Carolina,16,synthetic
Q11-0078,2011-11-19,9660,138.0,Radford Army Ammunition Plant 138 kV,load,load,173.2,Virginia,14,synthetic
Q11-0079,2011-11-19,7211,138.0,Crescent 138 kV,gen,gas,267.8,Pennsylvania,11,synthetic
Q11-0080,2011-11-27,9909,138.0,Rio Piedras Heights83 1345 138 kV,load,load,109.9,Virginia,15,synthetic
Q11-0081,2011-11-28,9476,138.0,Cottage Grove 138 kV,gen,gas,786.0,Virginia,14,synthetic
Q11-0082,2011-11-29,18048,138.0,Beardsley 138 kV,load,load,534.7,West Virginia,28,synthetic
Q11-0083,2011-12-01,19222,100.0,Deerfield 5 100 kV,gen,wind,206.8,Ohio,29,synthetic
Q11-0084,2011-12-05,19575,100.0,Woodsdale 100 kV,gen,solar,43.0,Ohio,29,synthetic
Q11-0085,2011-12-06,16483,138.0,East Millinocket Mill 138 kV,gen,wind,111.2,Tennessee,26,synthetic
Q11-0086,2011-12-07,22868,100.0,Wommack 100 kV,gen,solar,88.0,Illinois,34,synthetic
Q11-0087,2011-12-08,21760,100.0,Lake Preston 100 kV,gen,solar,72.2,Indiana,33,synthetic
Q11-0088,2011-12-16,16972,138.0,Cartersville 138 kV,gen,other,291.4,Kentucky,27,synthetic
Q11-0089,2011-12-22,10244,138.0,Evansville Muni 138 kV,gen,other,60.3,Virginia,15,synthetic
Q11-0090,2011-12-29,9435,138.0,Champaign Oak Street 138 kV,gen,solar,79.6,Virginia,14,synthetic
Q12-0091,2012-01-06,20038,100.0,Petro Lewis 100 kV,gen,other,71.2,Ohio,30,synthetic
Q12-0092,2012-01-10,5301,138.0,Strahan 138 kV,gen,wind,285.7,New Jersey,9,synthetic
Q12-0093,2012-01-11,23449,230.0,Joliet 29 230 kV,gen,gas,210.9,Illinois,34,synthetic
Q12-0094,2012-01-16,7233,138.0,Thayer 138 kV,gen,solar,89.1,Pennsylvania,11,synthetic
Q12-0095,2012-01-21,17044,138.0,Llano Estacado 138 kV,gen,gas,130.8,Kentucky,27,synthetic
Q12-0096,2012-01-24,17298,138.0,Bay Hill 138 kV,gen,other,189.8,Kentucky,27,synthetic
Q12-0097,2012-01-29,17901,138.0,Oreg 3 Inc 138 kV,gen,wind,179.3,West Virginia,28,synthetic
Q12-0098,2012-01-31,7586,138.0,Mac Heights 138 kV,load,load,178.9,Pennsylvania,11,synthetic
Q12-0099,2012-01-31,9179,138.0,Nm Potash 1 138 kV,gen,solar,76.4,Virginia,14,synthetic
Q12-0100,2012-02-04,23508,100.0,Dresden Generating Station 100 kV,gen,gas,74.7,Illinois,34,synthetic
Q12-0101,2012-02-05,10250,138.0,Kingston Station 138 kV,gen,solar,114.8,Virginia,15,synthetic
Q12-0102,2012-02-06,7123,138.0,Foster Wheeler Mt Carmel Cogen 138 kV,gen,gas,228.3,Pennsylvania,10,synthetic
Q12-0103,2012-02-10,7217,138.0,Jerusalem 138 kV,gen,other,61.9,Pennsylvania,11,synthetic
Q12-0104,2012-02-15,6484,138.0,South Monroe 138 kV,gen,gas,229.3,Pennsylvania,10,synthetic
Q12-0105,2012-02-19,22225,100.0,West Hill 100 kV,gen,gas,1001.5,Indiana,33,synthetic
Q12-0106,2012-02-22,9728,138.0,Lawrenceville 138 kV,gen,wind,173.6,Virginia,15,synthetic
Q12-0107,2012-02-28,19154,230.0,Sierra Pacific Industries Bfp 230 kV,gen,gas,1500.0,Ohio,29,synthetic
Q12-0108,2012-03-03,9693,138.0,Wethersfield 138 kV,load,load,171.0,Virginia,15,synthetic
Q12-0109,2012-03-05,9294,138.0,Rainey 138 kV,gen,solar,143.8,Virginia,14,synthetic
Q12-0110,2012-03-08,17238,138.0,Phoenix 138 kV,gen,gas,398.4,Kentucky,27,synthetic
Q12-0111,2012-03-09,7352,138.0,Canyonlands 138 kV,gen,solar,71.6,Pennsylvania,11,synthetic
Q12-0112,2012-03-11,5563,138.0,Jamestown 138 kV,battery,storage,327.6,New Jersey,9,synthetic
Q12-0113,2012-03-18,5767,138.0,Wine Creek Station 138 kV,gen,wind,247.6,New Jersey,9,synthetic
Q12-0114,2012-03-18,19569,230.0,Wingate 230 kV,load,load,102.4,Ohio,29,synthetic
Q12-0115,2012-03-25,7819,345.0,Boulevard 345 kV,gen,wind,276.5,Pennsylvania,11,synthetic
Q12-0116,2012-04-01,18005,138.0,Covanta Delaware Valley 138 kV,gen,gas,116.0,West Virginia,28,synthetic
Q12-0117,2012-04-16,9644,138.0,Airport Rd 1 138 kV,gen,solar,141.4,Virginia,14,synthetic
Q12-0118,2012-04-17,23227,230.0,Mason Creek 230 kV,gen,solar,505.6,Illinois,34,synthetic
Q12-0119,2012-04-22,23328,230.0,Hinsons Crossroads 230 kV,gen,wind,80.0,Illinois,34,synthetic
Q12-0120,2012-04-23,24027,230.0,Tsawassen Beach Terminal 230 kV,gen,solar,330.2,Illinois,35,synthetic
Q12-0121,2012-05-01,22035,500.0,Mcmichen 500 kV,gen,gas,1500.0,Indiana,33,synthetic
Q12-0122,2012-05-05,9312,138.0,Tarkio 138 kV,gen,wind,90.0,Virginia,14,synthetic
Q12-0123,2012-05-05,8997,138.0,Scottsdale 138 kV,gen,gas,97.5,Maryland,13,synthetic
Q12-0124,2012-05-19,9192,138.0,W.A. Parish 138 kV,gen,gas,505.0,Virginia,14,synthetic
Q12-0125,2012-05-29,8981,138.0,Columbus West 138 kV,gen,gas,181.0,Maryland,13,synthetic
Q12-0126,2012-05-29,23304,230.0,Tate & Lyle Decatur Plant Cogen 230 kV,gen,wind,114.9,Illinois,34,synthetic
Q12-0127,2012-05-31,18855,100.0,La Joie 100 kV,gen,gas,211.3,Ohio,29,synthetic
Q12-0128,2012-05-31,5299,138.0,Gulfway 138 kV,gen,gas,211.1,New Jersey,9,synthetic
Q12-0129,2012-06-01,18377,345.0,New Hope Ap 345 kV,gen,gas,562.0,West Virginia,28,synthetic
Q12-0130,2012-06-04,22018,100.0,Yahuecas 8203 100 kV,gen,wind,105.3,Indiana,33,synthetic
Q12-0131,2012-06-10,24042,100.0,Hudson Avenue 100 kV,gen,wind,84.2,Illinois,35,synthetic
Q12-0132,2012-06-11,6311,138.0,Grays River 138 kV,gen,solar,77.4,Pennsylvania,10,synthetic
Q12-0133,2012-06-16,9633,138.0,Kean Mtn And Grassy Creek 138 kV,gen,solar,204.7,Virginia,14,synthetic
Q12-0134,2012-06-20,8605,138.0,Hillsboro 138 kV,load,load,140.0,Maryland,13,synthetic
Q12-0135,2012-06-26,7500,138.0,Jackson 138 kV,gen,gas,751.0,Pennsylvania,11,synthetic
Q12-0136,2012-06-26,10068,138.0,Usaa 1 138 kV,gen,gas,1014.5,Virginia,15,synthetic
Q12-0137,2012-06-29,8818,138.0,East 138 kV,gen,wind,169.5,Maryland,13,synthetic
Q12-0138,2012-07-03,7979,345.0,Kingsley 345 kV,gen,gas,1347.7,Pennsylvania,11,synthetic
Q12-0139,2012-07-06,24032,100.0,Fresh Meadows 100 kV,gen,wind,60.0,Illinois,35,synthetic
Q12-0140,2012-07-07,22207,100.0,Greensboro 100 kV,gen,wind,58.1,Indiana,33,synthetic
Q12-0141,2012-07-11,22551,100.0,Central Bluff 100 kV,load,load,49.2,Indiana,33,synthetic
Q12-0142,2012-07-11,7784,138.0,Cortland 138 kV,gen,other,37.2,Pennsylvania,11,synthetic
Q12-0143,2012-07-12,7114,500.0,Montour Station 500 kV,gen,gas,576.6,Pennsylvania,10,synthetic
Q12-0144,2012-07-19,24600,230.0,Farragut 230 kV,gen,solar,117.1,Illinois,35,synthetic
Q12-0145,2012-07-24,9633,345.0,Kean Mtn And Grassy Creek 345 kV,gen,gas,334.5,Virginia,14,synthetic
Q12-0146,2012-07-24,21719,230.0,Caliente 230 kV,gen,gas,541.0,Michigan,32,synthetic
Q12-0147,2012-07-29,22035,230.0,Mcmichen 230 kV,gen,wind,199.1,Indiana,33,synthetic
Q12-0148,2012-08-07,19422,100.0,Santa Rose Geothermal 100 kV,gen,solar,57.0,Ohio,29,synthetic
Q12-0149,2012-08-07,22999,100.0,Sim Gideon 100 kV,load,load,560.8,Illinois,34,synthetic
Q12-0150,2012-08-12,7868,138.0,South Agawam 138 kV,gen,gas,248.8,Pennsylvania,11,synthetic
Q12-0151,2012-08-12,23413,100.0,Fall Creek 100 kV,gen,gas,969.9,Illinois,34,synthetic
Q12-0152,2012-08-20,7113,138.0,Jenkins 138 kV,battery,storage,53.9,Pennsylvania,10,synthetic
Q12-0153,2012-09-01,17857,138.0,Cooper 138 kV,gen,wind,397.7,Kentucky,27,synthetic
Q12-0154,2012-09-23,9255,138.0,Beebee Island Hydro Plant 138 kV,gen,other,135.8,Virginia,14,synthetic
Q12-0155,2012-09-23,22024,230.0,Mt. Harris 230 kV,gen,gas,407.6,Indiana,33,synthetic
Q12-0156,2012-09-24,7500,138.0,Jackson 138 kV,gen,wind,246.0,Pennsylvania,11,synthetic
Q12-0157,2012-09-29,10964,69.0,Selma 69 kV,load,load,406.5,North Carolina,16,synthetic
Q12-0158,2012-09-30,22749,230.0,San Marcos 230 kV,gen,solar,333.6,Indiana,33,synthetic
Q12-0159,2012-09-30,9900,138.0,Bridge 138 kV,gen,gas,406.9,Virginia,15,synthetic
Q12-0160,2012-09-30,5309,138.0,Station G Atwater 138 kV,gen,solar,82.0,New Jersey,9,synthetic
Q12-0161,2012-09-30,7619,138.0,Whitehall 138 kV,gen,wind,256.6,Pennsylvania,11,synthetic
Q12-0162,2012-10-01,19400,100.0,South Cannon Falls 100 kV,gen,wind,137.2,Ohio,29,synthetic
Q12-0163,2012-10-18,6780,138.0,Elks 138 kV,battery,storage,186.0,Pennsylvania,10,synthetic
Q12-0164,2012-10-19,9637,345.0,Franks 345 kV,load,load,557.6,Virginia,14,synthetic
Q12-0165,2012-10-22,18690,138.0,Winfield 138 kV,gen,wind,370.6,West Virginia,28,synthetic
Q12-0166,2012-10-23,8108,138.0,Wold 138 kV,gen,gas,389.5,Pennsylvania,11,synthetic
Q12-0167,2012-10-26,18616,138.0,Washington Parish Energy Center 138 kV,gen,gas,1195.2,West Virginia,28,synthetic
Q12-0168,2012-10-27,9420,138.0,Coopers Corner 138 kV,gen,wind,95.3,Virginia,14,synthetic
Q12-0169,2012-10-27,20041,100.0,Boardman 100 kV,gen,solar,119.6,Ohio,30,synthetic
Q12-0170,2012-11-07,18732,100.0,North Haven 100 kV,gen,solar,201.0,Ohio,29,synthetic
Q12-0171,2012-11-09,7429,138.0,Cooley 138 kV,gen,gas,164.8,Pennsylvania,11,synthetic
Q12-0172,2012-11-09,19527,230.0,Sayville 230 kV,gen,wind,233.8,Ohio,29,synthetic
Q12-0173,2012-11-14,10011,138.0,Dyer Creek 138 kV,load,load,115.9,Virginia,15,synthetic
Q12-0174,2012-11-18,9778,138.0,Barlow 138 kV,gen,gas,132.6,Virginia,15,synthetic
Q12-0175,2012-11-20,23151,100.0,Penryn 100 kV,gen,gas,240.0,Illinois,34,synthetic
Q12-0176,2012-11-25,17012,345.0,Mansfield 345 kV,gen,gas,1258.7,Kentucky,27,synthetic
Q12-0177,2012-11-28,18759,100.0,Pisgah 100 kV,gen,other,8.7,Ohio,29,synthetic
Q12-0178,2012-11-29,23304,100.0,Tate & Lyle Decatur Plant Cogen 100 kV,gen,solar,36.8,Illinois,34,synthetic
Q12-0179,2012-11-30,9816,345.0,Anasco 6101 345 kV,gen,gas,555.7,Virginia,15,synthetic
Q12-0180,2012-12-03,22967,100.0,Rock Tavern 2 100 kV,gen,gas,291.6,Illinois,34,synthetic
Q12-0181,2012-12-03,23449,230.0,Joliet 29 230 kV,gen,wind,152.7,Illinois,34,synthetic
Q12-0182,2012-12-03,10218,138.0,Davis 138 kV,load,load,339.7,Virginia,15,synthetic
Q12-0183,2012-12-04,8931,138.0,Metzerott Road 138 kV,gen,gas,1212.5,Maryland,13,synthetic
Q12-0184,2012-12-04,10357,69.0,Indeck Olean Energy Center 69 kV,gen,wind,78.8,North Carolina,16,synthetic
Q12-0185,2012-12-07,22749,500.0,San Marcos 500 kV,gen,gas,1153.6,Indiana,33,synthetic
Q12-0186,2012-12-16,17759,138.0,Tom Watkins 138 kV,gen,solar,114.5,Kentucky,27,synthetic
Q12-0187,2012-12-16,9502,138.0,Pardeville 138 kV,gen,other,9.0,Virginia,14,synthetic
Q12-0188,2012-12-18,19865,230.0,Trigen St. Louis 230 kV,gen,gas,608.3,Ohio,30,synthetic
Q12-0189,2012-12-25,10279,138.0,North Anna 138 kV,gen,other,15.8,Virginia,15,synthetic
Q12-0190,2012-12-30,9965,138.0,South Glens Falls Hydroelectric 138 kV,gen,wind,215.6,Virginia,15,synthetic
Q13-0191,2013-01-02,20169,230.0,Simon Street 230 kV,gen,gas,767.6,Ohio,30,synthetic
Q13-0192,2013-01-04,9633,345.0,Kean Mtn And Grassy Creek 345 kV,gen,solar,112.9,Virginia,14,synthetic
Q13-0193,2013-01-10,18320,138.0,Glendale Heights 138 kV,gen,solar,63.9,West Virginia,28,synthetic
Q13-0194,2013-01-11,18756,100.0,Overlake 100 kV,gen,solar,89.1,Ohio,29,synthetic
Q13-0195,2013-01-14,7385,138.0,Telegraph 138 kV,gen,solar,674.2,Pennsylvania,11,synthetic
Q13-0196,2013-01-15,9716,138.0,Oliver Street 138 kV,gen,wind,113.3,Virginia,15,synthetic
Q13-0197,2013-01-17,7348,138.0,Spillway 138 kV,gen,wind,284.2,Pennsylvania,11,synthetic
Q13-0198,2013-01-20,18926,100.0,Central Florida 100 kV,gen,gas,127.2,Ohio,29,synthetic
Q13-0199,2013-02-03,23327,100.0,Geismar 100 kV,gen,solar,96.0,Illinois,34,synthetic
Q13-0200,2013-02-04,5943,138.0,Hutchinson Plant 2 138 kV,gen,wind,291.6,New Jersey,9,synthetic
Q13-0201,2013-02-04,18593,138.0,Ellington 138 kV,gen,gas,408.2,West Virginia,28,synthetic
Q13-0202,2013-02-05,9861,138.0,Shawnigan Lake 138 kV,battery,storage,74.3,Virginia,15,synthetic
Q13-0203,2013-02-12,8764,138.0,Monocacy 138 kV,gen,solar,106.3,Maryland,13,synthetic
Q13-0204,2013-02-13,9633,345.0,Kean Mtn And Grassy Creek 345 kV,gen,solar,256.8,Virginia,14,synthetic
Q13-0205,2013-02-15,22751,100.0,Castle Hills 100 kV,gen,solar,47.7,Indiana,33,synthetic
Q13-0206,2013-02-15,5208,138.0,Haskill 138 kV,gen,solar,103.1,New Jersey,9,synthetic
Q13-0207,2013-02-18,5930,345.0,Tulare 345 kV,gen,wind,170.6,New Jersey,9,synthetic
Q13-0208,2013-02-23,21800,100.0,Robison Park 2 100 kV,gen,solar,60.5,Indiana,33,synthetic
Q13-0209,2013-02-25,9571,138.0,Midpoint 138 kV,battery,storage,70.0,Virginia,14,synthetic
Q13-0210,2013-03-01,19526,100.0,Devola 100 kV,gen,wind,199.9,Ohio,29,synthetic
Q13-0211,2013-03-02,9806,138.0,Carver 138 kV,gen,gas,305.2,Virginia,15,synthetic
Q13-0212,2013-03-03,18327,138.0,Barataria 138 kV,gen,gas,164.1,West Virginia,28,synthetic
Q13-0213,2013-03-06,10696,138.0,Ghost Ranch 138 kV,load,load,91.5,North Carolina,16,synthetic
Q13-0214,2013-03-06,10240,138.0,Burris Pit 138 kV,gen,solar,354.2,Virginia,15,synthetic
Q13-0215,2013-03-06,6687,138.0,Elimsport 138 kV,gen,solar,66.7,Pennsylvania,10,synthetic
Q13-0216,2013-03-13,22014,100.0,Station A St. John 100 kV,load,load,31.3,Indiana,33,synthetic
Q13-0217,2013-03-18,22495,100.0,Elyslan 100 kV,gen,other,19.4,Indiana,33,synthetic
Q13-0218,2013-03-21,7964,138.0,Sifton 138 kV,gen,solar,491.0,Pennsylvania,11,synthetic
Q13-0219,2013-03-26,6614,138.0,North Bloomfield 138 kV,gen,wind,95.6,Pennsylvania,10,synthetic
