project_id,date,status
Q11-0001,2011-01-01,queued
Q11-0002,2011-01-03,queued
Q11-0003,2011-01-08,queued
Q11-0004,2011-01-13,queued
Q11-0005,2011-01-16,queued
Q11-0006,2011-01-28,queued
Q11-0007,2011-01-31,queued
Q11-0008,2011-02-08,queued
Q11-0009,2011-02-09,queued
Q11-0010,2011-02-09,queued
Q11-0011,2011-02-14,queued
Q11-0012,2011-02-14,queued
Q11-0013,2011-02-24,queued
Q11-0014,2011-03-03,queued
Q11-0015,2011-03-09,queued
Q11-0016,2011-03-09,queued
Q11-0017,2011-03-15,queued
Q11-0018,2011-03-15,queued
Q11-0019,2011-03-21,queued
Q11-0020,2011-03-24,queued
Q11-0021,2011-03-25,queued
Q11-0022,2011-03-28,queued
Q11-0023,2011-03-29,queued
Q11-0024,2011-04-06,queued
Q11-0025,2011-04-11,queued
Q11-0026,2011-04-14,queued
Q11-0027,2011-04-19,queued
Q11-0028,2011-04-20,queued
Q11-0029,2011-04-20,queued
Q11-0030,2011-04-23,queued
Q11-0031,2011-04-25,queued
Q11-0032,2011-04-28,queued
Q11-0033,2011-04-29,queued
Q11-0034,2011-05-02,queued
Q11-0035,2011-05-13,queued
Q11-0036,2011-05-15,queued
Q11-0037,2011-05-17,queued
Q11-0038,2011-05-21,queued
Q11-0039,2011-05-29,queued
Q11-0040,2011-06-11,queued
Q11-0041,2011-06-12,queued
Q11-0042,2011-06-19,queued
Q11-0043,2011-06-20,queued
Q11-0044,2011-06-30,queued
Q11-0045,2011-07-20,queued
Q11-0046,2011-07-21,queued
Q11-0047,2011-07-23,queued
Q11-0048,2011-07-24,queued
Q11-0049,2011-07-29,queued
Q11-0050,2011-07-29,queued
Q11-0029,2011-08-07,withdrawn
Q11-0051,2011-08-07,queued
Q11-0052,2011-08-10,queued
Q11-0053,2011-08-15,queued
Q11-0054,2011-08-15,queued
Q11-0055,2011-08-19,queued
Q11-0056,2011-08-19,queued
Q11-0057,2011-08-24,queued
Q11-0058,2011-08-27,queued
Q11-0059,2011-08-30,queued
Q11-0060,2011-09-04,queued
Q11-0061,2011-09-06,queued
Q11-0062,2011-09-12,queued
Q11-0063,2011-09-13,queued
Q11-0064,2011-09-17,queued
Q11-0065,2011-09-18,queued
Q11-0066,2011-09-22,queued
Q11-0067,2011-09-26,queued
Q11-0068,2011-10-05,queued
Q11-0069,2011-10-08,queued
Q11-0070,2011-10-09,queued
Q11-0071,2011-10-09,queued
Q11-0072,2011-10-18,queued
Q11-0073,2011-10-19,queued
Q11-0074,2011-10-30,queued
Q11-0075,2011-11-09,queued
Q11-0076,2011-11-10,queued
Q11-0077,2011-11-16,queued
Q11-0078,2011-11-19,queued
Q11-0079,2011-11-19,queued
Q11-0080,2011-11-27,queued
Q11-0023,2011-11-28,withdrawn
Q11-0081,2011-11-28,queued
Q11-0082,2011-11-29,queued
Q11-0083,2011-12-01,queued
Q11-0084,2011-12-05,queued
Q11-0085,2011-12-06,queued
Q11-0086,2011-12-07,queued
Q11-0087,2011-12-08,queued
Q11-0088,2011-12-16,queued
Q11-0089,2011-12-22,queued
Q11-0090,2011-12-29,queued
Q12-0091,2012-01-06,queued
Q12-0092,2012-01-10,queued
Q12-0093,2012-01-11,queued
Q12-0094,2012-01-16,queued
Q12-0095,2012-01-21,queued
Q12-0096,2012-01-24,queued
Q12-0097,2012-01-29,queued
Q12-0098,2012-01-31,queued
Q12-0099,2012-01-31,queued
Q12-0100,2012-02-04,queued
