project_id,study_type,publication_date,template,pdf_path
Q11-0004,system_impact,2011-12-02,C,data/studies/pdf/q110004_imp.pdf
Q11-0001,system_impact,2012-01-25,B,data/studies/pdf/q110001_imp.pdf
Q11-0014,system_impact,2012-02-03,B,data/studies/pdf/q110014_imp.pdf
Q11-0018,system_impact,2012-02-26,B,data/studies/pdf/q110018_imp.pdf
Q11-0006,system_impact,2012-05-03,A,data/studies/pdf/q110006_imp.pdf
Q11-0017,system_impact,2012-05-30,C,data/studies/pdf/q110017_imp.pdf
Q11-0036,system_impact,2012-05-27,C,data/studies/pdf/q110036_imp.pdf
Q11-0030,system_impact,2012-06-25,A,data/studies/pdf/q110030_imp.pdf
Q11-0034,system_impact,2012-06-28,C,data/studies/pdf/q110034_imp.pdf
Q11-0019,system_impact,2012-07-26,C,data/studies/pdf/q110019_imp.pdf
Q11-0024,system_impact,2012-07-28,B,data/studies/pdf/q110024_imp.pdf
Q11-0052,system_impact,2012-07-31,C,data/studies/pdf/q110052_imp.pdf
Q11-0003,system_impact,2012-08-24,B,data/studies/pdf/q110003_imp.pdf
Q11-0016,system_impact,2012-08-21,B,data/studies/pdf/q110016_imp.pdf
Q11-0070,system_impact,2012-08-24,C,data/studies/pdf/q110070_imp.pdf
Q11-0010,system_impact,2012-09-16,C,data/studies/pdf/q110010_imp.pdf
Q11-0011,system_impact,2012-10-02,A,data/studies/pdf/q110011_imp.pdf
Q11-0033,system_impact,2012-10-02,B,data/studies/pdf/q110033_imp.pdf
Q11-0037,system_impact,2012-10-02,A,data/studies/pdf/q110037_imp.pdf
Q11-0046,system_impact,2012-09-23,B,data/studies/pdf/q110046_imp.pdf
Q11-0005,system_impact,2012-10-17,B,data/studies/pdf/q110005_imp.pdf
Q11-0009,system_impact,2012-10-28,C,data/studies/pdf/q110009_imp.pdf
Q11-0012,system_impact,2012-10-23,B,data/studies/pdf/q110012_imp.pdf
Q11-0020,system_impact,2012-10-27,C,data/studies/pdf/q110020_imp.pdf
Q11-0026,system_impact,2012-10-16,B,data/studies/pdf/q110026_imp.pdf
Q11-0035,system_impact,2012-10-30,B,data/studies/pdf/q110035_imp.pdf
Q11-0038,system_impact,2012-10-17,C,data/studies/pdf/q110038_imp.pdf
Q11-0042,system_impact,2012-10-20,B,data/studies/pdf/q110042_imp.pdf
Q11-0044,system_impact,2012-10-15,B,data/studies/pdf/q110044_imp.pdf
Q11-0082,system_impact,2012-10-22,C,data/studies/pdf/q110082_imp.pdf
Q11-0056,system_impact,2012-12-04,B,data/studies/pdf/q110056_imp.pdf
Q11-0066,system_impact,2012-11-16,C,data/studies/pdf/q110066_imp.pdf
Q11-0072,system_impact,2012-11-28,C,data/studies/pdf/q110072_imp.pdf
Q11-0073,system_impact,2012-11-18,B,data/studies/pdf/q110073_imp.pdf
Q11-0077,system_impact,2012-11-17,A,data/studies/pdf/q110077_imp.pdf
Q11-0085,system_impact,2012-11-18,B,data/studies/pdf/q110085_imp.pdf
Q11-0090,system_impact,2012-11-18,C,data/studies/pdf/q110090_imp.pdf
Q12-0096,system_impact,2012-11-30,C,data/studies/pdf/q120096_imp.pdf
Q11-0002,system_impact,2012-12-15,A,data/studies/pdf/q110002_imp.pdf
Q11-0007,system_impact,2012-12-23,C,data/studies/pdf/q110007_imp.pdf
Q11-0013,system_impact,2012-12-19,B,data/studies/pdf/q110013_imp.pdf
Q11-0015,system_impact,2012-12-19,B,data/studies/pdf/q110015_imp.pdf
Q11-0031,system_impact,2012-12-26,C,data/studies/pdf/q110031_imp.pdf
Q11-0043,system_impact,2012-12-24,B,data/studies/pdf/q110043_imp.pdf
Q11-0054,system_impact,2012-12-22,B,data/studies/pdf/q110054_imp.pdf
Q11-0021,system_impact,2013-02-02,C,data/studies/pdf/q110021_imp.pdf
Q11-0045,system_impact,2013-01-28,B,data/studies/pdf/q110045_imp.pdf
