fid,kind,sub_a,sub_b,kv,length_km,n_circuits
L:10221:12073:138,L,10221,12073.0,138,2.240907278970083,1
L:10221:12147:138,L,10221,12147.0,138,2.022746197912045,1
L:10221:12466:138,L,10221,12466.0,138,5.8228268077569485,1
L:10221:42807:138,L,10221,42807.0,138,0.9908652605266403,1
L:10546:33389:161,L,10546,33389.0,161,2.649231089614916,1
L:10549:33379:161,L,10549,33379.0,161,14.45806112474594,1
L:10549:37378:161,L,10549,37378.0,161,7.1342715522543445,1
L:10550:10551:161,L,10550,10551.0,161,0.3309226798688945,1
L:10550:46851:161,L,10550,46851.0,161,2.6099619985182825,1
L:10552:33429:161,L,10552,33429.0,161,56.250818308876276,1
L:10552:33793:161,L,10552,33793.0,161,22.80223145217452,1
L:1063:20138:138,L,1063,20138.0,138,2.4306570748252914,2
L:1063:4577:138,L,1063,4577.0,138,1.2707401425851264,1
L:1063:4579:69,L,1063,4579.0,69,3.5480564397745833,1
L:1063:4580:138,L,1063,4580.0,138,3.6956749368882407,1
L:10875:34349:161,L,10875,34349.0,161,33.732630892483,1
L:10876:32532:69,L,10876,32532.0,69,2.791063949621584,1
L:10887:10888:161,L,10887,10888.0,161,8.643511651421539,1
L:10887:34670:161,L,10887,34670.0,161,5.639641436404049,1
L:10896:10922:161,L,10896,10922.0,161,7.7166229226147,1
L:10896:34670:161,L,10896,34670.0,161,17.325232022903567,1
L:10896:39408:161,L,10896,39408.0,161,0.24049931346444448,1
L:10898:44913:161,L,10898,44913.0,161,4.998275148684494,1
L:10899:34336:161,L,10899,34336.0,161,4.850146543033133,1
L:10900:10901:69,L,10900,10901.0,69,1.0162431463144472,1
L:10900:39753:69,L,10900,39753.0,69,4.885112676821081,1
L:10900:39754:69,L,10900,39754.0,69,1.1835086900505,1
L:10900:47729:69,L,10900,47729.0,69,3.761664630672203,1
L:10901:39754:69,L,10901,39754.0,69,0.9962418402462262,1
L:10901:47736:69,L,10901,47736.0,69,3.147217072536228,1
L:10902:39759:161,L,10902,39759.0,161,0.1215882037279989,2
L:10902:39796:161,L,10902,39796.0,161,2.334271971114947,1
L:10922:39407:161,L,10922,39407.0,161,7.181267197476348,1
L:10931:34659:69,L,10931,34659.0,69,0.37871751020072575,1
L:10931:52335:69,L,10931,52335.0,69,6.5977488232623696,1
L:10933:34338:161,L,10933,34338.0,161,4.115193573698476,2
L:10933:34348:161,L,10933,34348.0,161,11.939324769305001,1
L:10947:33410:161,L,10947,33410.0,161,2.649825561867622,1
L:10947:40189:161,L,10947,40189.0,161,1.5162099133988574,1
L:10955:10956:161,L,10955,10956.0,161,8.260588589825202,1
L:10955:52304:161,L,10955,52304.0,161,3.9255615654237697,1
L:10956:55100:161,L,10956,55100.0,161,2.939664045416162,1
L:10957:55100:161,L,10957,55100.0,161,0.7879001892657671,1
L:10983:10984:69,L,10983,10984.0,69,10.261522479845713,1
L:10983:34564:161,L,10983,34564.0,161,17.70479125856407,1
L:10983:34630:161,L,10983,34630.0,161,26.23754606466514,1
L:10983:39790:161,L,10983,39790.0,161,18.404491003022148,1
