project_id,queue_date,poi_name,poi_sub_id,poi_kv,poi_match_score,mw,fuel,state,transmission_owner,status_now,project_type
A01,1997-04-01,South Lebanon 230 KV,13611.0,230.0,88.88888888888889,720.0,gas,PA,ME,In Service,gen
A02,1997-04-01,Oak Hall 138 kV (Oil CT),33196.0,138.0,100.0,315.0,other,VA,DPL,In Service,gen
A03,1997-04-01,Linden 230 kV or 138 kV,19239.0,230.0,100.0,120.0,gas,NJ,PSEG,In Service,gen
A04,1997-04-01,Linden 230 kV or 138 kV,19239.0,230.0,100.0,1186.0,gas,NJ,PPL,In Service,gen
A05,1997-04-01,Bergen,19042.0,138.0,100.0,500.0,gas,NJ,PSEG,In Service,gen
A06,1997-04-01,Kearny,26616.0,138.0,100.0,800.0,gas,NJ,PSEG,Withdrawn,gen
A07,1997-05-01,Dickerson 120 MW,12884.0,138.0,86.875,120.0,gas,MD,PEPCO,Withdrawn,gen
A08,1997-06-01,Susquehanna 230 kV,31753.0,230.0,100.0,1140.0,other,PA,PPL,In Service,gen
A09,1997-06-01,Susquehanna 230 kV,31753.0,230.0,100.0,1140.0,other,PA,PPL,In Service,gen
A10,1997-06-02,Glory 115 kV,13305.0,115.0,100.0,6.0,other,PA,PENELEC,In Service,gen
A11,1997-07-30,Harwood 230 kV,13294.0,230.0,100.0,356.0,gas,PA,PPL,In Service,gen
A12,1997-08-20,Martins Creek 230 kV,13453.0,230.0,100.0,600.0,gas,PA,PPL,In Service,gen
A13,1997-11-26,Mickleton 230 kV,29925.0,230.0,100.0,803.0,gas,NJ,AEC,Withdrawn,gen
A14,1998-01-01,Sewaren,18978.0,138.0,100.0,500.0,gas,NJ,PSEG,Withdrawn,gen
A15,1998-01-20,Sayreville 230 kV,26541.0,230.0,100.0,765.0,gas,NJ,JCPL,In Service,gen
A16,1998-03-03,Eagle Point 230 kV,29934.0,230.0,100.0,800.0,gas,NJ,PECO,Withdrawn,gen
A17,1998-05-08,Linden 230 kV,19239.0,230.0,100.0,1100.0,gas,NJ,PSEG,Withdrawn,gen
A18,1998-05-11,North Temple 230 kV,13620.0,230.0,100.0,557.0,gas,PA,ME,In Service,gen
A19,1998-05-15,Eddystone 230 kV,29593.0,230.0,100.0,521.0,gas,PA,PECO,In Service,gen
A20,1998-07-09,Juniata 500 kV,32834.0,500.0,100.0,485.0,gas,PA,PPL,Withdrawn,gen
A21,1998-08-17,Chichester 230 kV,13264.0,230.0,100.0,725.0,gas,PA,PECO,In Service,gen
A22,1998-08-20,Hudson 230 kV,26633.0,230.0,82.0,750.0,gas,NJ,PSEG,Withdrawn,gen
A23,1998-10-13,New Castle 138 kV,14171.0,138.0,100.0,257.0,gas,DE,DPL,Withdrawn,gen
A24,1998-10-28,South River 230 kV,14142.0,230.0,66.66666666666667,725.0,gas,NJ,JCPL,Withdrawn,gen
A25,1998-10-30,Hosensack 500 kV,29585.0,500.0,100.0,1000.0,gas,PA,PPL,Withdrawn,gen
A26,1998-11-02,Linden,19239.0,138.0,100.0,180.0,gas,NJ,PSEG,In Service,gen
A27,1998-11-04,Passyunk 230 kV,29584.0,230.0,100.0,615.0,gas,PA,PECO,Withdrawn,gen
A28,1998-11-04,Dover,34641.0,138.0,100.0,100.0,gas,DE,DPL,In Service,gen
A29,1998-11-18,Colora Tap,31826.0,138.0,88.0,465.0,gas,MD,DPL,In Service,gen
A30,1998-12-03,Colora Tap,31826.0,138.0,88.0,465.0,gas,MD,DPL,In Service,gen
A31,1998-12-22,Peckville/Varden 69 kV,31783.0,69.0,92.0,46.0,gas,PA,PPL,In Service,gen
A32,1999-01-12,Montour #1,13418.0,138.0,93.33333333333333,759.0,other,PA,PPL,In Service,gen
A33,1999-01-12,Montour #2,13418.0,138.0,93.33333333333333,14.0,other,PA,PPL,In Service,gen
A34,1999-01-12,Brunner 230 kV,32623.0,230.0,85.0,749.0,other,PA,PPL,In Service,gen
A35,1999-01-13,North Bangor 34.5 kV,16040.0,34.5,65.75,10.0,gas,PA,ME,In Service,gen
A36,1999-01-27,Hunterstown 500 kV,13298.0,500.0,92.0,830.0,gas,PA,ME,In Service,gen
A37,1999-01-27,Sayreville 230 kV,26541.0,230.0,100.0,749.0,gas,NJ,JCPL,Withdrawn,gen
A38,1999-01-27,Erie West 345 kV,31407.0,345.0,100.0,765.0,gas,PA,PENELEC,Withdrawn,gen
