project_id,date,status
A01,1997-04-01,queued
A02,1997-04-01,queued
A03,1997-04-01,queued
A04,1997-04-01,queued
A05,1997-04-01,queued
A06,1997-04-01,queued
A07,1997-05-01,queued
A08,1997-06-01,queued
A09,1997-06-01,queued
A10,1997-06-02,queued
A11,1997-07-30,queued
A12,1997-08-20,queued
A13,1997-11-26,queued
A14,1998-01-01,queued
A15,1998-01-20,queued
A16,1998-03-03,queued
A17,1998-05-08,queued
A18,1998-05-11,queued
A19,1998-05-15,queued
A20,1998-07-09,queued
A21,1998-08-17,queued
A22,1998-08-20,queued
A23,1998-10-13,queued
A24,1998-10-28,queued
A25,1998-10-30,queued
A26,1998-11-02,queued
A27,1998-11-04,queued
A28,1998-11-04,queued
A29,1998-11-18,queued
A30,1998-12-03,queued
A31,1998-12-22,queued
A59_W00,1999-01-01,queued
B12_W01,1999-01-01,queued
B12_W02,1999-01-01,queued
B18_W03,1999-01-01,queued
A32,1999-01-12,queued
A33,1999-01-12,queued
A34,1999-01-12,queued
A35,1999-01-13,queued
A36,1999-01-27,queued
A37,1999-01-27,queued
A38,1999-01-27,queued
A39,1999-01-27,queued
A40,1999-01-27,queued
A41,1999-01-27,queued
A42,1999-01-27,queued
A43,1999-01-27,queued
A44,1999-01-27,queued
A45,1999-01-27,queued
A46,1999-01-27,queued
A48,1999-02-03,queued
A49,1999-02-03,queued
A50,1999-02-03,queued
A51,1999-02-03,queued
A52,1999-02-03,queued
A53,1999-02-03,queued
A54,1999-02-09,queued
A55,1999-02-22,queued
A56,1999-03-08,queued
A57,1999-03-08,queued
A58,1999-03-29,queued
A61,1999-03-30,queued
A59,1999-04-01,queued
A60,1999-04-08,queued
B01,1999-04-29,queued
A47,1999-04-30,queued
B02,1999-04-30,queued
B03,1999-04-30,queued
B04,1999-04-30,queued
B05,1999-04-30,queued
B06,1999-05-10,queued
B07,1999-05-10,queued
B08,1999-06-09,queued
B09A,1999-06-10,queued
B09b,1999-06-10,queued
B10,1999-06-10,queued
B12,1999-06-14,queued
A24,1999-06-26,withdrawn
B13,1999-07-02,queued
B14,1999-07-06,queued
B15,1999-07-12,queued
B16,1999-07-12,queued
B17,1999-07-17,queued
A20,1999-07-18,withdrawn
A23,1999-07-23,withdrawn
B18,1999-07-23,queued
B19,1999-07-30,queued
B20,1999-08-07,queued
B21,1999-08-09,queued
B22,1999-08-11,queued
A56,1999-08-17,withdrawn
B23,1999-08-21,queued
B23_W04,1999-08-26,queued
A58,1999-08-28,withdrawn
A46,1999-08-30,withdrawn
A47,1999-08-30,withdrawn
B24,1999-09-07,queued
A37,1999-09-08,withdrawn
A49,1999-09-10,withdrawn
B25,1999-09-20,queued
B26,1999-09-20,queued
A40,1999-10-12,withdrawn
A44,1999-10-22,withdrawn
