project_id,publication_date,pdf_path,study_type
AB2-019,2020-02-05,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2019_imp.pdf,system_impact
AB2-032,2017-04-11,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2032_imp.pdf,system_impact
AB2-041,2018-04-30,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2041_imp.pdf,system_impact
AB2-049,2017-03-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2049_imp.pdf,system_impact
AB2-057,2016-11-15,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2057_imp.pdf,system_impact
AB2-062,2017-06-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2062_imp.pdf,system_impact
AB2-074,2017-05-05,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2074_imp.pdf,system_impact
AB2-077,2017-06-02,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2077_imp.pdf,system_impact
AB2-091,2017-04-19,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2091_imp.pdf,system_impact
AB2-103,2018-02-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2103_imp.pdf,system_impact
AB2-122,2017-03-29,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2122_imp.pdf,system_impact
AB2-125,2017-05-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2125_imp.pdf,system_impact
AB2-136,2021-02-20,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2136_imp.pdf,system_impact
AB2-140,2017-06-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2140_imp.pdf,system_impact
AB2-147,2017-06-09,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2147_imp.pdf,system_impact
AB2-158,2017-05-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2158_imp.pdf,system_impact
