ProjectID,Cycle,State,Status,ProjectType,TransmissionOwner,Zone,MFO,MW_Energy,MW_Capacity,CapacityOrEnergy,Fuel,FuelPrimary,InServiceYear,TransmissionType
AH1-563,TC2,IL,Active,Generation Interconnection,ComEd,COMED,1206.0,150.0,150.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AH1-570,TC2,KY,Active,Generation Interconnection,EKPC,EKPC,25.0,25.0,15.6,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-571,TC2,KY,Active,Generation Interconnection,EKPC,EKPC,45.0,20.0,12.5,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-617,TC2,KY,Active,Generation Interconnection,AEP,AEP,200.0,200.0,120.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-721,TC2,KY,Active,Generation Interconnection,EKPC,EKPC,786.0,786.0,758.95,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2030,
AG2-568,TC2,WV,Active,Generation Interconnection,AEP,AEP,80.0,80.0,48.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-447,TC2,DE,Active,Generation Interconnection,DPL,DPL,134.25,20.0,12.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-672,TC2,DE,Active,Generation Interconnection,DPL,DPL,75.0,75.0,48.9,CAPACITY_RESOURCE,Solar,Solar,2028,
AG1-460,TC1,IL,EP,Generation Interconnection,ComEd,COMED,329.0,30.0,12.0,Capacity,Storage,Storage,2030,
AE2-261,TC1,IL,EP,Generation Interconnection,ComEd,COMED,299.0,299.0,179.4,Capacity,Solar,Solar,2030,
AF2-441,TC1,IL,EP,Generation Interconnection,ComEd,COMED,200.0,200.0,80.0,Capacity,Storage,Storage,2030,
AH1-673,TC2,IL,Active,Generation Interconnection,ComEd,COMED,85.0,85.0,85.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AG1-127,TC1,IL,EP,Generation Interconnection,ComEd,COMED,190.0,95.1,57.1,Capacity,Solar,Solar,2028,
AG1-118,TC1,IL,EP,Generation Interconnection,ComEd,COMED,300.0,300.0,180.0,Capacity,Solar,Solar,2030,
AH1-541,TC2,IL,Active,Generation Interconnection,ComEd,COMED,92.4,92.4,27.72,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AG2-524,TC2,IL,Active,Generation Interconnection,ComEd,COMED,110.0,110.0,110.0,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AG2-585,TC2,IL,Active,Generation Interconnection,ComEd,COMED,55.0,55.0,33.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AF2-095,TC1,IL,EP,Generation Interconnection,ComEd,COMED,144.0,144.0,86.4,Capacity,Solar,Solar,2031,
AF2-350,TC1,IL,EP,Generation Interconnection,ComEd,COMED,100.0,100.0,60.0,Capacity,Solar,Solar,2029,
AE2-341,TC1,IL,EP,Generation Interconnection,ComEd,COMED,150.0,150.0,100.6,Capacity,Solar,Solar,2030,
AF1-030,TC1,IL,EP,Generation Interconnection,ComEd,COMED,250.0,100.0,66.9,Capacity,Solar,Solar,2030,
AG2-453,TC2,IL,Active,Generation Interconnection,ComEd,COMED,280.0,280.0,196.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-714,TC2,IL,Active,Generation Interconnection,ComEd,COMED,1360.0,169.0,174.1,CAPACITY_RESOURCE,Nuclear,Nuclear,2029,
AG2-061,TC2,IL,Active,Generation Interconnection,ComEd,COMED,200.0,50.0,20.0,CAPACITY_RESOURCE,Storage,Storage,2028,
AF2-142,TC1,IL,EP,Generation Interconnection,ComEd,COMED,150.0,150.0,90.0,Capacity,Solar,Solar,2029,
AF2-143,TC1,IL,EP,Generation Interconnection,ComEd,COMED,150.0,150.0,90.0,Capacity,Solar,Solar,2029,
AF2-319,TC1,IL,EP,Generation Interconnection,ComEd,COMED,400.0,50.0,20.0,Capacity,Storage,Storage,2029,
AF2-226,TC1,IL,EP,Generation Interconnection,ComEd,COMED,350.0,50.0,20.0,Capacity,Storage,Storage,2029,
AF2-199,TC1,IL,EP,Generation Interconnection,ComEd,COMED,400.0,100.0,60.0,Capacity,Solar,Solar,2031,
AF2-200,TC1,IL,EP,Generation Interconnection,ComEd,COMED,600.0,200.0,120.0,Capacity,Solar,Solar,2031,
AF2-041,TC1,IL,EP,Generation Interconnection,ComEd,COMED,300.0,300.0,180.0,Capacity,Solar,Solar,2031,
AF1-280,TC1,IL,EP,Generation Interconnection,ComEd,COMED,200.0,200.0,0.0,Energy,Solar,Solar,2029,
AH1-718,TC2,IL,Active,Generation Interconnection,ComEd,COMED,391.0,11.0,38.0,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2028,
AG2-660,TC2,IL,Active,Generation Interconnection,ComEd,COMED,600.0,0.0,20.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AH1-044,TC2,IL,Active,Generation Interconnection,ComEd,COMED,800.0,200.0,120.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-150,TC2,IL,Active,Generation Interconnection,ComEd,COMED,1000.0,200.0,120.0,CAPACITY_RESOURCE,Solar,Solar,2029,
