queue,url,status,bytes,last_modified,submitted
AB2-019,https://www.pjm.com/pjmfiles/pub/planning/project-queues/merch-impact-studies/ab2019_imp.pdf,ok,638121,"Wed, 05 Feb 2020 13:19:00 GMT",2016-02-03
AB2-032,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2032_imp.pdf,ok,448812,"Tue, 11 Apr 2017 19:07:07 GMT",2016-02-11
AB2-041,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2041_imp.pdf,ok,1310702,"Mon, 30 Apr 2018 11:55:13 GMT",2016-02-29
AB2-049,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2049_imp.pdf,ok,198053,"Tue, 28 Mar 2017 14:21:52 GMT",2016-03-04
AB2-057,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2057_imp.pdf,ok,67688,"Tue, 15 Nov 2016 16:18:54 GMT",2016-03-24
AB2-062,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2062_imp.pdf,ok,292330,"Thu, 01 Jun 2017 19:18:25 GMT",2016-03-30
AB2-074,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2074_imp.pdf,ok,177099,"Fri, 05 May 2017 13:40:01 GMT",2016-04-01
AB2-077,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2077_imp.pdf,ok,365423,"Fri, 02 Jun 2017 11:43:45 GMT",2016-04-14
AB2-091,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2091_imp.pdf,ok,210071,"Wed, 19 Apr 2017 18:40:30 GMT",2016-04-26
AB2-122,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2122_imp.pdf,ok,191458,"Wed, 29 Mar 2017 17:54:04 GMT",2016-04-28
AB2-125,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2125_imp.pdf,ok,106567,"Wed, 31 May 2017 18:41:33 GMT",2016-04-28
AB2-103,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2103_imp.pdf,ok,380283,"Fri, 23 Feb 2018 19:35:03 GMT",2016-04-28
AB2-171,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2171_imp.pdf,ok,470755,"Wed, 28 Jun 2017 18:13:19 GMT",2016-04-29
AB2-158,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2158_imp.pdf,ok,378944,"Wed, 24 May 2017 14:12:14 GMT",2016-04-29
AB2-177,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2177_imp.pdf,ok,256570,"Thu, 04 May 2017 17:29:59 GMT",2016-04-29
AB2-147,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2147_imp.pdf,ok,393822,"Fri, 09 Jun 2017 16:55:30 GMT",2016-04-29
AB2-140,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2140_imp.pdf,ok,395912,"Thu, 01 Jun 2017 13:32:14 GMT",2016-04-29
AB2-136,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2136_imp.pdf,ok,880718,"Sat, 20 Feb 2021 17:23:06 GMT",2016-04-30
AC1-003,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1003_imp.pdf,ok,916201,"Fri, 06 Apr 2018 17:29:33 GMT",2016-05-09
AC1-014,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1014_imp.pdf,ok,231449,"Fri, 21 Apr 2017 12:18:42 GMT",2016-07-08
AC1-021,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1021_imp.pdf,ok,655972,"Thu, 15 Feb 2018 14:09:51 GMT",2016-07-14
AC1-033,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1033_imp.pdf,ok,842674,"Tue, 22 Jun 2021 21:24:00 GMT",2016-08-14
AC1-051,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1051_imp.pdf,ok,865057,"Wed, 14 Mar 2018 12:00:23 GMT",2016-08-31
AC1-043,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1043_imp.pdf,ok,352572,"Wed, 22 Nov 2017 15:24:43 GMT",2016-08-31
AC1-055,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1055_imp.pdf,ok,430987,"Mon, 13 Nov 2017 20:54:23 GMT",2016-09-10
AC1-062,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1062_imp.pdf,ok,178271,"Mon, 08 May 2017 17:49:31 GMT",2016-09-20
AC1-068,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1068_imp.pdf,ok,495665,"Tue, 16 Oct 2018 11:30:07 GMT",2016-09-28
AC1-074,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1074_imp.pdf,ok,776660,"Mon, 16 Nov 2020 14:43:35 GMT",2016-09-30
AC1-087,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1087_imp.pdf,ok,411297,"Thu, 05 Oct 2017 11:59:29 GMT",2016-10-11
AC1-094,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1094_imp.pdf,ok,959596,"Tue, 24 Dec 2019 14:43:01 GMT",2016-10-20
AC1-104,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1104_imp.pdf,ok,465005,"Thu, 28 Sep 2017 19:11:32 GMT",2016-10-25
AC1-109,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1109_imp.pdf,ok,264695,"Thu, 13 Aug 2020 19:04:53 GMT",2016-10-26
AC1-132 4841993,https://www.pjm.com/pjmfiles/pub/planning/project-queues/ltf-phase-2/4841993_ltf2.pdf,ok,275997,"Wed, 01 Nov 2017 13:18:56 GMT",2016-10-27
AC1-118,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1118_imp.pdf,ok,132433,"Mon, 24 Apr 2017 14:43:07 GMT",2016-10-27
AC1-141,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1141_imp.pdf,ok,139327,"Fri, 03 May 2019 14:22:25 GMT",2016-10-28
AC1-207,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1207_imp.pdf,ok,306576,"Fri, 24 Mar 2017 14:42:05 GMT",2016-10-31
AC1-201,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1201_imp.pdf,ok,61611,"Fri, 24 Mar 2017 18:34:39 GMT",2016-10-31
AC1-211,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1211_imp.pdf,ok,325888,"Thu, 05 Oct 2017 12:13:31 GMT",2016-10-31
AC1-220,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1220_imp.pdf,ok,891592,"Fri, 08 Dec 2017 12:24:37 GMT",2016-10-31
AC1-210,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1210_imp.pdf,ok,879216,"Thu, 30 May 2019 17:17:27 GMT",2016-10-31
AC1-163,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1163_imp.pdf,ok,483209,"Tue, 12 Dec 2017 14:09:52 GMT",2016-10-31
AC1-170,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1170_imp.pdf,ok,157970,"Thu, 02 Mar 2017 14:58:27 GMT",2016-10-31
AC1-177,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1177_imp.pdf,ok,195407,"Wed, 13 Dec 2017 12:38:56 GMT",2016-10-31
AC1-154,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1154_imp.pdf,ok,225059,"Wed, 01 Nov 2017 15:30:42 GMT",2016-10-31
AC1-161,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac1161_imp.pdf,ok,724190,"Tue, 16 Jun 2020 20:32:28 GMT",2016-11-02
AC2-016,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2016_imp.pdf,ok,740414,"Fri, 26 Jul 2019 15:58:16 GMT",2017-01-03
AC2-029,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2029_imp.pdf,ok,563651,"Mon, 01 Aug 2022 18:20:46 GMT",2017-02-02
AC2-045,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2045_imp.pdf,ok,531304,"Tue, 13 Mar 2018 17:12:19 GMT",2017-02-07
AC2-060,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2060_imp.pdf,ok,694351,"Wed, 11 Dec 2019 20:45:23 GMT",2017-02-18
AC2-068,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2068_imp.pdf,ok,344284,"Thu, 22 Feb 2018 20:12:43 GMT",2017-02-27
AC2-080,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2080_imp.pdf,ok,954947,"Tue, 17 Jul 2018 16:51:33 GMT",2017-02-28
AC2-092,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2092_imp.pdf,ok,688891,"Thu, 24 Feb 2022 13:05:26 GMT",2017-03-01
AC2-103,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2103_imp.pdf,ok,692293,"Fri, 08 May 2020 17:15:54 GMT",2017-03-10
AC2-113,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2113_imp.pdf,ok,147212,"Tue, 24 Oct 2017 12:55:22 GMT",2017-03-17
AC2-133,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2133_imp.pdf,ok,307098,"Tue, 15 May 2018 13:39:32 GMT",2017-03-24
AC2-124,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2124_imp.pdf,ok,693156,"Wed, 22 Aug 2018 12:33:06 GMT",2017-03-24
AC2-137,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2137_imp.pdf,ok,146738,"Wed, 01 Nov 2017 13:55:10 GMT",2017-03-27
AC2-162,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2162_imp.pdf,ok,148409,"Thu, 26 Oct 2017 19:13:08 GMT",2017-03-29
AC2-141,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2141_imp.pdf,ok,454912,"Fri, 02 Jul 2021 17:24:00 GMT",2017-03-30
AC2-175,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2175_imp.pdf,ok,368946,"Thu, 24 Aug 2017 15:09:14 GMT",2017-03-31
AC2-186,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ac2186_imp.pdf,ok,853390,"Sun, 27 Sep 2020 20:45:29 GMT",2017-04-01
AD1-004,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1004_imp.pdf,ok,74708,"Wed, 31 Jan 2018 13:13:53 GMT",2017-04-03
AD1-011,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1011_imp.pdf,ok,72890,"Wed, 31 Jan 2018 13:52:30 GMT",2017-04-03
AD1-020,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1020_imp.pdf,ok,216979,"Wed, 12 Dec 2018 12:24:05 GMT",2017-06-09
AD1-031,https://www.pjm.com/pub/planning/project-queues/impact_studies/ad1031_imp.pdf,ok,529251,"Fri, 24 Sep 2021 12:37:37 GMT",2017-07-24
AD1-046,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1046_imp.pdf,ok,82194,"Fri, 09 Nov 2018 12:36:00 GMT",2017-07-31
AD1-053,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1053_imp.pdf,ok,68776,"Wed, 31 Jan 2018 13:58:30 GMT",2017-08-11
AD1-060,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1060_imp.pdf,ok,418809,"Tue, 01 May 2018 12:41:38 GMT",2017-08-18
AD1-069,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1069_imp.pdf,ok,568173,"Mon, 08 Oct 2018 18:52:57 GMT",2017-08-31
AD1-074,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1074_imp.pdf,ok,970945,"Wed, 25 Jan 2023 22:14:00 GMT",2017-09-01
AD1-085,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1085_imp.pdf,ok,612817,"Wed, 12 Sep 2018 12:03:54 GMT",2017-09-15
AD1-097,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1097_imp.pdf,ok,897293,"Wed, 21 Oct 2020 20:27:46 GMT",2017-09-20
AD1-100,https://www.pjm.com/pub/planning/project-queues/impact_studies/ad1100_imp.pdf,ok,712792,"Fri, 27 May 2022 13:53:00 GMT",2017-09-22
AD1-113,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1113_imp.pdf,ok,696842,"Wed, 11 Sep 2019 14:56:49 GMT",2017-09-25
AD1-119,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1119_imp.pdf,ok,703409,"Wed, 30 Dec 2020 19:01:48 GMT",2017-09-28
AD1-141,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1141_imp.pdf,ok,1044389,"Wed, 18 Dec 2019 20:52:28 GMT",2017-09-29
AD1-156,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1156_imp.pdf,ok,144780,"Mon, 30 Apr 2018 11:47:03 GMT",2017-09-30
AD1-131,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad1131_imp.pdf,ok,351339,"Mon, 03 Dec 2018 12:25:53 GMT",2017-09-30
AD2-001,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2001_imp.pdf,ok,653785,"Wed, 18 Dec 2019 20:41:05 GMT",2017-10-02
