Project ID,Name,Commercial Name,State,County,Status,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Project Type,Fuel,Project (AC/DC),Rights (MW),Initial Study,Feasibility Study,Feasibility Study Status,System Impact Study,System Impact Study Status,Facilities Study,Facilities Study Status,Interim/Interconnection Service/Generation Interconnection Agreement,Interim/Interconnection Service/Generation Interconnection Agreement Status,Wholesale Market Participation Agreement,Construction Service Agreement,Construction Service Agreement Status,Upgrade Construction Service Agreement,Upgrade Construction Service Agreement Status,Backfeed Date,Submitted Date,Long-Term Firm Service Start Date,Long-Term Firm Service End Date,Test Energy Date,Withdrawal Date,Withdrawn Remarks,Projected In Service Date,Commercial Operation Milestone,Actual In Service Date,Attachment Type,Alternate Project,Sliding Project
A01,South Lebanon 230 KV,Ironwood,PA,Lebanon,In Service,ME,720.0,720.0,673.0,673.0,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a01_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a01_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/a01_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a01_isa.pdf,Document Posted,,,Not Required,,,,4/1/1997,,,,,,4/1/2002,4/1/2002,4/1/2002,N,No,
A02,Oak Hall 138 kV (Oil CT),Chesapeake,VA,Unknown,In Service,DPL,315.0,315.0,315.0,311.8,Capacity,Generation Interconnection,Oil,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a02_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a02_imp.pdf,Document Posted,,Not Required,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a02_isa.pdf,Document Posted,,,Not Required,,,,4/1/1997,,,,,,8/22/2001,,8/22/2001,N,No,
A03,Linden 230 kV or 138 kV,Linden 5 & 6,NJ,Union,In Service,PSEG,120.0,120.0,120.0,114.0,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a03_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a03_imp.pdf,Document Posted,,Not Required,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a03_isa.pdf,Document Posted,,,Not Required,,,,4/1/1997,,,,,,6/1/2000,,6/1/2000,N,No,
A04,Linden 230 kV or 138 kV,"Linden 1, 2 & 3",NJ,Union,In Service,PPL,1186.0,750.0,750.0,750.0,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a04_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a04_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/a04_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a04_isa.pdf,Document Posted,,,Not Required,,,6/10/2004,4/1/1997,,,3/11/2005,,,5/1/2006,,5/1/2006,N,No,
A05,Bergen,Bergen,NJ,Bergen,In Service,PSEG,500.0,500.0,500.0,500.0,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a05_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a05_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/a05_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a05_isa.pdf,Document Posted,,,Not Required,,,,4/1/1997,,,,,,6/1/2002,,6/1/2002,N,No,
A06,Kearny,,NJ,Gloucester,Withdrawn,PSEG,800.0,750.0,750.0,,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a06_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a06_imp.pdf,Document Posted,,Withdrawn,,,,,,,,,4/1/1997,,,,8/28/2000,,,,,N,No,
A07,Dickerson 120 MW,,MD,Montgomery,Withdrawn,PEPCO,120.0,25.0,120.0,,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a07_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a07_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/a07_fac.pdf,Document Posted,,Withdrawn,,,,,,,5/1/1997,,,,7/22/2002,Customer Initiated Withdrawal,,,,N,No,
A08,Susquehanna 230 kV,Susquehanna #1,PA,Columbia,In Service,PPL,1140.0,15.0,15.0,15.0,Capacity,Generation Interconnection,Nuclear,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a08_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a08_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/a08_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a08_isa.pdf,Document Posted,,,Not Required,,,,6/1/1997,,,,,,7/1/2002,,7/1/2002,N,No,
A09,Susquehanna 230 kV,Susquehanna #1,PA,Columbia,In Service,PPL,1140.0,35.0,35.0,35.0,Capacity,Generation Interconnection,Nuclear,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a09_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a09_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/a09_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a09_isa.pdf,Document Posted,,,Not Required,,,,6/1/1997,,,,,,5/1/2003,,5/1/2003,N,No,
A10,Glory 115 kV,Colver Power,PA,Cambria,In Service,PENELEC,6.0,6.0,6.0,6.0,Capacity,Generation Interconnection,Coal,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a10_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a10_imp.pdf,Document Posted,,Not Required,,,,,Not Required,,,,6/2/1997,,,,,,1/8/2000,,1/8/2000,N,No,
A11,Harwood 230 kV,Hazelton,PA,Luzerne,In Service,PPL,356.0,201.0,201.0,31.2,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a11_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a11_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/a11_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a11_isa.pdf,Document Posted,,,Not Required,,,,7/30/1997,,,,,,4/1/2002,,4/1/2002,N,No,
A12,Martins Creek 230 kV,Lower Mt Bethel,PA,Northampton,In Service,PPL,600.0,600.0,600.0,582.0,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/a12_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/a12_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/a12_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/a12_isa.pdf,Document Posted,,,Not Required,,,6/13/2003,8/20/1997,,,12/15/2003,,,5/14/2004,,5/14/2004,N,No,
