project_id,publication_date,facility_str,fid,fid_confidence,in_public_layer,contingency_str,cont_fid,loading_pct,rating_mva,dfax_pct,pre_loading_pct,source,upgrade_str,cost_total_usd,cost_alloc_usd
Q11-0004,2011-12-02,Buckeye to Robison Park 230.0 kV line,L:21796:22493:230,1.0,True,Dekalb to Mcmichn 500.0 kV line,L:21759:22035:500,111.2,568.0,7.0,107.2,fields,Rebuild line with higher-capacity conductor,35961000.0,35961000.0
Q11-0004,2011-12-02,Conord to Mt. Harris 230.0 kV Line,L:22022:22024:230,1.0,True,Dekalb to Mcmichen 500.0 kV,L:21759:22035:500,107.2,520.0,5.2,104.0,fields,Reconductor line,11159000.0,11159000.0
Q11-0004,2011-12-02,Eupora Substation to Wabash 230.0 kV,L:22220:22742:230,1.0,True,Waynedale to Montpelier Electric Generating Station 230.0 kV L,L:21763:22708:230,103.3,762.0,6.8,100.3,fields,Reconductor line,11680000.0,11680000.0
Q11-0004,2011-12-02,State St to Waynedale 230.0 kV line,L:21763:21774:230,1.0,True,Richland to Dekalb 500.0 kV,L:20309:21759:500,102.8,572.0,5.3,99.7,fields,Reconductor line,4019000.0,4019000.0
Q11-0004,2011-12-02,Montpelier Electric Generating Station to Waynedale 230.0 kV,L:21763:22708:230,1.0,True,Wabash 500 kV/230 kV TX,X:22742:500:230,100.4,754.0,6.8,97.4,fields,Reconductor line,43861000.0,43861000.0
Q11-0001,2012-01-25,Clayburn-West Darien 138.0 kV Line,L:5339:5341:138,1.0,True,Clayburn-Parkrose 138.0 kV,L:5339:5342:138,262.7,190.0,100.0,,prose_overloaded,Rebuild line with higher-capacity conductor,2821000.0,2821000.0
Q11-0001,2012-01-25,Merriam-Section 138.0 kV,L:5798:5807:138,1.0,True,West Darien-Clayburn 138.0 kV,L:5339:5341:138,100.8,237.0,61.7,,prose_overloaded,Reconductor line,3312000.0,3312000.0
Q11-0001,2012-01-25,Clayburn-Parkrose 138.0 kV,L:5339:5342:138,1.0,True,W Darien Substation-Clayburn 138.0 kV,L:5339:5341:138,269.4,185.0,100.0,,prose_loss,Rebuild line with higher-capacity conductor,2285000.0,2285000.0
Q11-0001,2012-01-25,Texum-West Darien 138.0 kV,L:5338:5341:138,1.0,True,Clayburn-Parkrose 138.0 kV,L:5339:5342:138,230.1,207.0,100.0,,prose_loss,Rebuild line with higher-capacity conductor,4999000.0,4999000.0
Q11-0001,2012-01-25,Section Substation-Parkrose 138.0 kV,L:5342:5807:138,1.0,True,Clayburn-West Darien 138.0 kV,L:5339:5341:138,109.9,231.0,61.7,,prose_loss,Reconductor line,6189000.0,6189000.0
