project_id,publication_date,section,facility_str,bus_from,bus_to,ckt,name_pair,fid,fid_confidence,in_public_layer,loading_pct,pre_loading_pct,rating_mva,dfax_pct,contrib_mw,contingency_str
AB2-032,2017-04-11,multiple_facility,MIDLTNTP-MT PLSNT 138 kV,232106,232104,1,MIDLTNTP|MT PLSNT,L:31820:33140:138,0.8841493646465948,False,92.82,92.46,348.0,,7.85,tower line contingency outage of 'DBL_4NC'
AB2-032,2017-04-11,multiple_facility,TOWNSEND-MIDLTNTP 138 kV,232107,232106,1,TOWNSEND|MIDLTNTP,L:16002:33140:138,0.8841493646465948,False,84.68,83.71,348.0,,7.85,tower line contingency outage of 'DBL_4NC'
AB2-147,2017-06-09,prior_overloads,% . 3BTLEBRO- LN 2058- DVP - 1 DCTL 3ROCKYMT115T 115 kV,314554,304223,1,3BTLEBRO|3ROCKYMT115T,,0.0,False,123.02,121.52,164.0,,3.0,
AB2-171,2017-06-28,prior_overloads,% . 3BTLEBRO- LN 2058- DVP - 1 DCTL 3ROCKYMT115T 115 kV,314554,304223,1,3BTLEBRO|3ROCKYMT115T,,0.0,False,128.22,125.66,164.0,,5.12,
AB2-171,2017-06-28,prior_overloads,1 2181 CPLE line % . 246T2034_ DVP - AB2-100 TAP-6CLUBHSE 2 LFFB,924510,314563,1,TAP|6CLUBHSE,,0.0,False,103.14,101.58,459.0,,7.52,
AB2-177,2017-05-04,multiple_facility,LORET_69-FRUITLND 69 kV,232275,232288,1,LORET_69|FRUITLND,,0.0,False,100.14,99.77,137.0,,0.61,line fault with failed breaker contingency outage of 'DP56'
AB2-177,2017-05-04,prior_overloads,PINEY_69-M HERMON 69 kV,232274,232272,1,PINEY_69|M HERMON,,0.0,False,106.91,105.62,174.0,,2.16,line fault with failed breaker contingency outage of 'DP15'
AC1-055,2017-11-13,prior_overloads,01GLENFL-01OAKMND 138 kV,235334,235380,1,01GLENFL|01OAKMND,L:777:812:138,0.92,False,136.72,129.81,192.0,,13.32,line fault with failed breaker contingency outage of 'C2-MP-138-024'
AC1-055,2017-11-13,prior_overloads,01GLENFL-01OAKMND 138 kV,235334,235380,1,01GLENFL|01OAKMND,L:777:812:138,0.92,False,136.69,129.79,192.0,,13.32,line fault with failed breaker contingency outage of 'C2-MP-138-023'
AC1-055,2017-11-13,prior_overloads,01GLENFL-01OAKMND 138 kV,235334,235380,1,01GLENFL|01OAKMND,L:777:812:138,0.92,False,136.69,129.79,192.0,,13.32,bus fault outage of 'C1-MP-138-013'
