project_id,publication_date,parsed_project_id,mw,poi_str,n_facilities_stated,n_findings_parsed,n_fid_resolved,total_cost_usd,n_queue_ahead,warnings,template
Q11-0004,2011-12-02,Q11-0004,329.0,,5.0,5,5,106680000.0,,,C
Q11-0001,2012-01-25,Q11-0001,523.5,,17.0,17,16,92683000.0,,,B
Q11-0014,2012-02-03,Q11-0014,157.5,,11.0,11,10,59349000.0,,,B
Q11-0018,2012-02-26,Q11-0018,364.5,,3.0,3,3,1899000.0,,,B
Q11-0006,2012-05-03,Q11-0006,1119.2,,25.0,25,25,116749000.0,,,A
Q11-0017,2012-05-30,Q11-0017,51.2,,,0,0,0.0,15.0,,C
Q11-0036,2012-05-27,Q11-0036,193.4,,3.0,3,3,7218000.0,,,C
Q11-0030,2012-06-25,Q11-0030,171.8,,1.0,1,1,1903000.0,,,A
Q11-0034,2012-06-28,Q11-0034,1500.0,,25.0,25,24,129879000.0,,,C
Q11-0019,2012-07-26,Q11-0019,372.4,,10.0,10,10,56246000.0,,,C
Q11-0024,2012-07-28,Q11-0024,197.4,,3.0,3,3,22198000.0,,,B
Q11-0052,2012-07-31,Q11-0052,97.9,,25.0,25,25,355646000.0,47.0,,C
Q11-0003,2012-08-24,Q11-0003,212.9,,,0,0,0.0,2.0,,B
Q11-0016,2012-08-21,Q11-0016,565.8,,25.0,25,25,290855000.0,,,B
Q11-0070,2012-08-24,Q11-0070,1057.6,,25.0,25,25,186802000.0,,,C
Q11-0010,2012-09-16,Q11-0010,181.3,,,0,0,0.0,,,C
Q11-0011,2012-10-02,Q11-0011,141.4,,4.0,4,4,31426000.0,,,A
Q11-0033,2012-10-02,Q11-0033,98.7,,,0,0,0.0,,,B
Q11-0037,2012-10-02,Q11-0037,491.3,,16.0,16,15,41751000.0,31.0,,A
Q11-0046,2012-09-23,Q11-0046,383.2,,5.0,5,5,16504000.0,,,B
Q11-0005,2012-10-17,Q11-0005,49.8,,,0,0,0.0,,,B
Q11-0009,2012-10-28,Q11-0009,286.1,,4.0,4,4,21167000.0,,,C
Q11-0012,2012-10-23,Q11-0012,327.6,,14.0,14,14,45541000.0,8.0,,B
Q11-0020,2012-10-27,Q11-0020,67.3,,4.0,4,4,50620000.0,16.0,,C
Q11-0026,2012-10-16,Q11-0026,158.3,,21.0,21,20,57224000.0,20.0,,B
Q11-0035,2012-10-30,Q11-0035,209.5,,8.0,8,8,45261000.0,28.0,,B
Q11-0038,2012-10-17,Q11-0038,966.1,,25.0,25,25,209071000.0,,,C
Q11-0042,2012-10-20,Q11-0042,38.8,,,0,0,0.0,35.0,,B
Q11-0044,2012-10-15,Q11-0044,6.1,,,0,0,0.0,37.0,,B
Q11-0082,2012-10-22,Q11-0082,534.7,,12.0,12,12,69650000.0,,,C
Q11-0056,2012-12-04,Q11-0056,1130.5,,25.0,25,24,54378000.0,,,B
Q11-0066,2012-11-16,Q11-0066,672.7,,9.0,9,9,177307000.0,,,C
Q11-0072,2012-11-28,Q11-0072,42.1,,2.0,2,2,2371000.0,,,C
Q11-0073,2012-11-18,Q11-0073,106.0,,10.0,10,10,31492000.0,61.0,,B
Q11-0077,2012-11-17,Q11-0077,390.2,,25.0,25,25,154574000.0,,,A
Q11-0085,2012-11-18,Q11-0085,111.2,,1.0,1,1,8703000.0,73.0,,B
Q11-0090,2012-11-18,Q11-0090,79.6,,13.0,13,13,18829000.0,,,C
Q12-0096,2012-11-30,Q12-0096,189.8,,8.0,8,8,51906000.0,83.0,,C
Q11-0002,2012-12-15,Q11-0002,159.3,,2.0,2,2,14692000.0,1.0,,A
Q11-0007,2012-12-23,Q11-0007,179.6,,,0,0,0.0,,,C
Q11-0013,2012-12-19,Q11-0013,217.7,,23.0,23,23,29348000.0,,,B
Q11-0015,2012-12-19,Q11-0015,543.8,,9.0,9,9,102167000.0,,,B
Q11-0031,2012-12-26,Q11-0031,302.3,,,0,0,0.0,,,C
Q11-0043,2012-12-24,Q11-0043,122.3,,25.0,25,25,16764000.0,35.0,,B
Q11-0054,2012-12-22,Q11-0054,220.0,,9.0,9,9,18585000.0,,,B
Q11-0021,2013-02-02,Q11-0021,54.7,,5.0,5,5,2086000.0,17.0,,C
Q11-0045,2013-01-28,Q11-0045,213.6,,,0,0,0.0,36.0,,B
Q11-0053,2013-02-02,Q11-0053,744.1,,13.0,13,13,98191000.0,,,B
Q11-0055,2013-01-17,Q11-0055,76.5,,5.0,5,5,27549000.0,45.0,,B
Q11-0064,2013-01-16,Q11-0064,132.8,,1.0,1,1,5260000.0,52.0,,B
Q11-0071,2013-01-23,Q11-0071,220.0,,6.0,6,4,6254000.0,,,C
Q11-0089,2013-01-29,Q11-0089,60.3,,9.0,9,9,1104000.0,74.0,,B
Q12-0097,2013-01-30,Q12-0097,179.3,,5.0,5,5,13602000.0,81.0,,B
Q11-0025,2013-02-27,Q11-0025,183.3,,5.0,5,4,14721000.0,19.0,,A
Q11-0041,2013-02-22,Q11-0041,513.3,,4.0,4,3,28973000.0,,,C
Q11-0049,2013-03-01,Q11-0049,124.8,,,0,0,0.0,39.0,,B
Q11-0062,2013-02-27,Q11-0062,49.7,,6.0,6,6,3939000.0,51.0,,B
Q11-0074,2013-03-05,Q11-0074,929.5,,25.0,25,19,151906000.0,,,C
Q11-0083,2013-02-19,Q11-0083,206.8,,3.0,3,3,2621000.0,69.0,,C
Q11-0086,2013-03-06,Q11-0086,88.0,,10.0,10,8,2618000.0,,,B
Q12-0107,2013-03-04,Q12-0107,1500.0,,21.0,21,21,229101000.0,89.0,,B
Q11-0028,2013-03-15,Q11-0028,57.8,,1.0,1,1,393000.0,,,A
Q11-0032,2013-03-19,Q11-0032,357.2,,11.0,11,11,116702000.0,,,B
Q11-0067,2013-03-22,Q11-0067,181.9,,13.0,13,13,43822000.0,54.0,,B
Q11-0069,2013-03-19,Q11-0069,591.2,,25.0,25,25,195585000.0,,,B
Q11-0088,2013-03-21,Q11-0088,291.4,,7.0,7,7,29628000.0,72.0,,B
Q12-0091,2013-03-22,Q12-0091,71.2,,,0,0,0.0,75.0,,C
Q12-0101,2013-03-16,Q12-0101,114.8,,6.0,6,6,33456000.0,,,B
Q12-0111,2013-03-16,Q12-0111,71.6,,2.0,2,2,2587000.0,,,B
Q12-0112,2013-03-17,Q12-0112,327.6,,17.0,17,17,76283000.0,,,C
Q12-0115,2013-04-03,Q12-0115,276.5,,2.0,2,2,20924000.0,95.0,,B
Q11-0027,2013-04-23,Q11-0027,95.7,,,0,0,0.0,20.0,,B
Q11-0061,2013-04-30,Q11-0061,74.5,,3.0,3,3,9332000.0,,,B
Q12-0094,2013-04-15,Q12-0094,89.1,,,0,0,0.0,,,B
Q12-0116,2013-04-24,Q12-0116,116.0,,6.0,6,6,2115000.0,96.0,,B
Q12-0122,2013-04-20,Q12-0122,90.0,,19.0,19,19,199546000.0,102.0,,B
Q11-0039,2013-05-28,Q11-0039,514.7,,14.0,14,14,35914000.0,,,C
Q11-0057,2013-05-15,Q11-0057,288.7,,4.0,4,4,39713000.0,45.0,,B
Q11-0059,2013-05-19,Q11-0059,64.6,,19.0,19,17,48684000.0,,,B
Q11-0080,2013-06-03,Q11-0080,109.9,,2.0,2,2,1368000.0,64.0,,B
Q12-0106,2013-06-03,Q12-0106,173.6,,16.0,16,16,31083000.0,84.0,,B
Q12-0118,2013-05-15,Q12-0118,505.6,,5.0,5,5,53154000.0,95.0,,A
Q11-0040,2013-06-25,Q11-0040,198.2,,,0,0,0.0,28.0,,C
Q11-0065,2013-06-18,Q11-0065,183.2,,21.0,21,18,25432000.0,,,A
Q11-0076,2013-07-04,Q11-0076,112.2,,2.0,2,2,5144000.0,,,B
Q12-0103,2013-07-04,Q12-0103,61.9,,,0,0,0.0,80.0,,B
Q12-0127,2013-06-17,Q12-0127,211.3,,17.0,17,17,51169000.0,100.0,,A
Q12-0121,2013-07-28,Q12-0121,1500.0,,12.0,12,12,114205000.0,,,C
