project_id,publication_date,n_findings,n_fid_resolved,total_cost_usd,xy_idx
AB2-019,2020-02-05,0,0,0.0,
AB2-032,2017-04-11,2,2,,
AB2-041,2018-04-30,0,0,,
AB2-049,2017-03-28,0,0,609500.0,
AB2-057,2016-11-15,0,0,570509.0,
AB2-062,2017-06-01,0,0,3000000.0,
AB2-074,2017-05-05,0,0,0.0,
AB2-077,2017-06-02,0,0,7850000.0,
AB2-091,2017-04-19,0,0,3567900.0,
AB2-103,2018-02-23,0,0,650000.0,
AB2-122,2017-03-29,0,0,488750.0,
AB2-125,2017-05-31,0,0,0.0,
AB2-136,2021-02-20,0,0,,
AB2-140,2017-06-01,0,0,0.0,
AB2-147,2017-06-09,2,0,7850000.0,
AB2-158,2017-05-24,1,0,9100000.0,
AB2-171,2017-06-28,15,0,,
AB2-177,2017-05-04,2,0,914250.0,
AC1-003,2018-04-06,0,0,,
AC1-014,2017-04-21,0,0,392900.0,
AC1-021,2018-02-15,0,0,,
AC1-033,2021-06-22,0,0,,
AC1-043,2017-11-22,0,0,7850000.0,
AC1-051,2018-03-14,0,0,1250000.0,
AC1-055,2017-11-13,7,7,,
AC1-062,2017-05-08,0,0,,
AC1-068,2018-10-16,1,1,1597849.0,
AC1-074,2020-11-16,4,0,3300000.0,
AC1-087,2017-10-05,0,0,25600.0,
AC1-094,2019-12-24,2,0,,
AC1-104,2017-09-28,0,0,,
AC1-109,2020-08-13,0,0,,
AC1-118,2017-04-24,0,0,,
AC1-132 4841993,2017-11-01,1,0,,
AC1-141,2019-05-03,0,0,,
AC1-154,2017-11-01,0,0,,
AC1-161,2020-06-16,18,5,5333876.0,
AC1-163,2017-12-12,5,0,54854.0,
AC1-170,2017-03-02,0,0,12000.0,
AC1-177,2017-12-13,0,0,1874500.0,
AC1-201,2017-03-24,0,0,1000.0,
AC1-207,2017-03-24,0,0,367500.0,
AC1-210,2019-05-30,0,0,1450000.0,
AC1-211,2017-10-05,0,0,,
AC1-220,2017-12-08,2,2,,
AC2-016,2019-07-26,0,0,,
AC2-029,2022-08-01,0,0,500000.0,
AC2-045,2018-03-13,0,0,,
AC2-060,2019-12-11,0,0,400000.0,
AC2-068,2018-02-22,0,0,0.0,
AC2-080,2018-07-17,0,0,1200000.0,
AC2-092,2022-02-24,0,0,0.0,
AC2-103,2020-05-08,0,0,,
AC2-113,2017-10-24,0,0,,
AC2-124,2018-08-22,0,0,850000.0,
AC2-133,2018-05-15,0,0,0.0,
AC2-137,2017-11-01,0,0,,
AC2-141,2021-07-02,9,2,0.0,
AC2-162,2017-10-26,0,0,,
AC2-175,2017-08-24,0,0,185000.0,
AC2-186,2020-09-27,0,0,,
AD1-004,2018-01-31,0,0,1000.0,
AD1-011,2018-01-31,0,0,1000.0,
AD1-020,2018-12-12,0,0,,
AD1-031,2021-09-24,1,0,19500000.0,
AD1-046,2018-11-09,0,0,,
AD1-053,2018-01-31,0,0,,
AD1-060,2018-05-01,0,0,,
AD1-069,2018-10-08,4,4,,
AD1-074,2023-01-25,18,0,69748813.0,
AD1-085,2018-09-12,0,0,,
AD1-097,2020-10-21,0,0,15000.0,
AD1-100,2022-05-27,4,0,56132054.0,
AD1-113,2019-09-11,0,0,168800.0,
AD1-119,2020-12-30,3,0,400000.0,
AD1-131,2018-12-03,1,0,,
AD1-141,2019-12-18,0,0,1000000.0,
AD1-156,2018-04-30,0,0,,
AD2-001,2019-12-18,0,0,0.0,
AD2-018,2018-03-16,0,0,22316857.0,
AD2-025,2019-10-23,0,0,199146.0,
AD2-035,2019-06-24,0,0,0.0,
AD2-045,2019-03-01,0,0,,
AD2-055,2021-04-21,1,1,2.0,
AD2-064,2019-02-28,0,0,287500.0,
AD2-073,2019-03-26,0,0,,
AD2-079,2019-12-02,0,0,700000.0,
AD2-090,2019-12-31,32,0,14664200.0,
AD2-098 4934836,2019-03-07,0,0,,
AD2-102,2022-06-07,1,0,4000000.0,
AD2-108,2019-06-28,0,0,0.0,
AD2-133,2020-12-09,0,0,607900.0,
AD2-138,2019-12-31,0,0,4700000.0,
AD2-166,2019-06-28,0,0,,
AD2-172,2020-06-19,0,0,200000.0,
AD2-214,2023-03-02,0,0,,
AE1-001,2022-10-11,0,0,0.0,
AE1-013,2019-08-29,0,0,264500.0,
AE1-024,2020-06-16,80,0,8300000.0,
AE1-038,2019-08-26,0,0,,
AE1-051,2019-08-29,0,0,40000.0,
AE1-059,2019-08-29,5,0,21419872.0,
AE1-064,2021-01-07,5,1,,
AE1-079,2019-08-27,0,0,1293200.0,
AE1-098,2019-02-20,0,0,,
AE1-100,2019-11-22,5,0,3500000.0,
AE1-106,2022-01-10,0,0,86448001.0,
AE1-113,2020-12-17,1,0,5000000.0,
AE1-123,2019-08-30,3,0,220100.0,
AE1-147,2019-08-27,0,0,50000.0,
AE1-157,2022-01-14,0,0,9100000.0,
AE1-160,2020-01-08,0,0,190700.0,
AE1-168,2019-10-31,39,0,7850000.0,
AE1-179,2022-11-16,0,0,,
AE1-187,2019-08-29,0,0,7430001.0,
AE1-191,2022-03-10,2,0,0.0,
AE1-198,2021-12-16,0,0,13000000.0,
AE1-207,2021-01-15,0,0,7750000.0,
AE1-218,2019-08-23,0,0,934820.0,
AE1-225,2019-08-27,0,0,1345000.0,
AE1-252,2021-12-23,9,0,4000000.0,
AE2-009,2020-02-26,0,0,1062000.0,
AE2-025,2022-03-08,0,0,41360804.0,
AE2-029,2021-10-06,0,0,8800000.0,
AE2-040,2021-12-27,0,0,,
AE2-047,2020-02-26,1,0,5900000.0,
AE2-062,2020-10-20,0,0,,
AE2-073,2020-02-28,0,0,0.0,
AE2-082,2020-02-26,0,0,2231800.0,
AE2-097,2019-07-22,0,0,229840.0,
AE2-115,2019-07-29,0,0,,
AE2-130 - moved to TC1,2022-09-23,14,0,14385000.0,
AE2-132,2019-07-31,0,0,0.0,
AE2-133,2020-02-25,1,0,1544000.0,
AE2-144,2019-07-23,0,0,1545513.0,
AE2-148,2020-02-28,0,0,11150000.0,
AE2-151,2020-02-25,0,0,,
AE2-160,2020-02-25,0,0,0.0,
AE2-172,2020-06-30,4,0,7750000.0,
AE2-174,2022-08-15,8,3,9688000.0,
AE2-187 - moved to TC1,2022-07-21,0,0,4800000.0,
AE2-188,2020-02-26,14,1,0.0,
AE2-208,2020-02-26,0,0,0.0,
AE2-219,2022-08-23,0,0,7750000.0,
AE2-222,2022-04-13,24,2,900000.0,
AE2-230,2020-02-26,0,0,8949300.0,
AE2-234,2020-02-28,0,0,5000000.0,
AE2-255,2020-02-28,2,0,200000.0,
AE2-258,2022-01-26,0,0,0.0,
AE2-272,2019-07-31,0,0,,
AE2-282,2022-02-28,0,0,1550700.0,
AE2-288,2020-02-24,5,0,0.0,
AE2-301,2020-02-27,3,0,922092.0,
AE2-315,2021-12-06,0,0,30000.0,
AE2-317,2020-02-28,0,0,2133400.0,
AE2-326,2020-06-17,1,0,25000.0,
AE2-343,2020-02-27,0,0,928000.0,
AF1-007,2020-08-28,0,0,0.0,
AF1-016,2020-01-14,1,0,,
AF1-023,2020-01-21,0,0,0.0,
AF1-030 - moved to TC1,2020-08-21,2,0,3000000.0,
AF1-040,2020-08-20,0,0,1317000.0,
AF1-049,2020-08-31,1,0,1509000.0,
AF1-053,2020-08-31,0,0,165000.0,
AF1-064,2020-08-27,0,0,4299400.0,
AF1-072,2020-08-19,0,0,0.0,
AF1-082,2020-08-27,10,0,0.0,
AF1-083,2022-07-21,4,0,8140000.0,
AF1-096,2022-10-28,0,0,164100.0,
AF1-106,2020-08-28,1,0,1651600.0,
AF1-112,2020-08-27,1,0,312175.0,
AF1-122,2020-08-26,0,0,8215200.0,
AF1-132,2020-08-30,0,0,307975.0,
AF1-146,2022-09-14,0,0,16484200.0,
