datetime,branch,fid,shadow_price,flow_mw,constraint_name
2016-01-19 08:00:00,830,L:5373:5777:138,0.94,262.5,BRYANT - CASTO 138 KV L
2016-01-19 08:00:00,1982,L:5917:6922:138,2.17,193.9,EARLIMART - JEFFERSON TAP 138 KV
2016-01-19 08:00:00,2420,L:6014:7931:138,26.75,241.1,LA CONNER - FIVE FALLS 138 KV L
2016-01-19 08:00:00,3379,L:6457:7119:138,6.38,237.3,BRIDGEPORT - GRISWALD 138 KV
2016-01-19 08:00:00,3666,L:6605:6625:138,147.42,164.7,DEL BAC - ELGIN 138 KV
2016-01-19 08:00:00,5179,L:7286:8269:138,10.43,250.5,LOGANS FERRY - SS3143 138 KV
2016-01-19 08:00:00,7113,L:8268:18394:345,6.56,1287.3,DETROIT - RIDGELEY 345 KV
2016-01-19 08:00:00,7856,L:8572:8582:138,5.59,238.9,TYHEE - CTR 138 KV
2016-01-19 08:00:00,9374,L:9276:9669:345,13.53,1432.2,STATION G - CLOVER 345 KV
2016-01-19 08:00:00,10421,L:9770:10265:138,3.82,235.8,GEYSERS TAP 2 - WALTHALL 138 KV
2016-01-19 08:00:00,11409,X:10277:345:138,3.5,206.3,POSSUM POINT 345 kV/138 kV Autotransformer
2016-01-19 08:00:00,11508,L:10295:10305:138,12.36,285.3,HILLTOP 230115KV - SURRY 138 KV #1
2016-01-19 08:00:00,13849,L:18267:18686:345,16.4,1131.0,FOURTH PLAIN SUBSTATION - AMOS 345 KV
2016-01-19 08:00:00,14590,X:18707:345:230,10.21,387.7,SPORN SUBSTATION 345-230 kV Autotransformer
2016-01-19 08:00:00,15729,L:19202:19214:100,38.0,148.3,ROCHESTER HYDRO - SONORA 100 KV
2016-01-19 08:00:00,16394,X:19540:100:1,148.6,191.3,KILLEN 100-1 kV Transformer
2016-01-19 08:00:00,16861,L:19681:20177:230,14.4,489.2,DEDEDO - CHICOPEE HYDROELETRIC STATION 230 KV L
2016-01-19 08:00:00,17477,L:19951:19952:100,86.15,136.1,FIRSTENERGY EDGEWATER - BARNES JCT 100 KV L
2016-01-19 08:00:00,17593,L:20005:20300:230,2.36,505.0,KEMMERER - FIRSTENERGY BAY SHORE 230 KV
2016-02-13 19:00:00,795,L:5364:5775:138,0.65,216.7,PRAIRIE - MOTOROLA 138 KV
2016-02-13 19:00:00,830,L:5373:5777:138,1.37,262.4,BRYANT - CASTO 138 KV L
2016-02-13 19:00:00,1982,L:5917:6922:138,8.68,193.9,EARLIMART - JEFFERSON TAP 138 KV
2016-02-13 19:00:00,2420,L:6014:7931:138,74.52,241.1,LA CONNER - FIVE FALLS 138 KV L
2016-02-13 19:00:00,3666,L:6605:6625:138,138.26,164.7,DEL BAC - ELGIN 138 KV
2016-02-13 19:00:00,5179,L:7286:8269:138,8.67,250.5,LOGANS FERRY - SS3143 138 KV
2016-02-13 19:00:00,7856,L:8572:8582:138,4.13,238.9,TYHEE - CTR 138 KV
2016-02-13 19:00:00,8764,L:9030:17923:138,9.69,218.7,DAM NO. 4 HYDRO STATION - TIMBER SWAMP 138 KV L
2016-02-13 19:00:00,9374,L:9276:9669:345,13.54,1432.2,STATION G - CLOVER 345 KV
2016-02-13 19:00:00,10367,L:9747:10285:138,0.7,233.6,JENNINGS LODGE - AGANA 138 KV
2016-02-13 19:00:00,10421,L:9770:10265:138,1.29,235.8,GEYSERS TAP 2 - WALTHALL 138 KV
2016-02-13 19:00:00,11409,X:10277:345:138,2.73,206.3,POSSUM POINT 345 kV/138 kV Autotransformer
2016-02-13 19:00:00,12967,L:17734:17736:138,910.83,224.8,BUTTS - ALLINGS CROSSING 138 KV L
2016-02-13 19:00:00,13849,L:18267:18686:345,14.89,1131.0,FOURTH PLAIN SUBSTATION - AMOS 345 KV
2016-02-13 19:00:00,17477,L:19951:19952:100,24.99,136.1,FIRSTENERGY EDGEWATER - BARNES JCT 100 KV L
2016-02-13 19:00:00,17593,L:20005:20300:230,2.44,505.0,KEMMERER - FIRSTENERGY BAY SHORE 230 KV
2016-03-03 19:00:00,5,L:2601:2722:161,266.05,220.3,GARY WORKS - MOLINO 161 KV
2016-03-03 19:00:00,74,X:2797:138:1,265.72,101.4,BLAKESLEE JCT 138/1 kV Transformer Bank
2016-03-03 19:00:00,851,L:5383:5445:138,4.24,211.3,DIAMOND BAR - BAYONNE MUA- LEITNER-POMA WIND TURBINE 138 KV
2016-03-03 19:00:00,973,L:5448:5910:138,2.15,270.1,NORTHSIDE - NJT MEADOWLANDS RAIL SUBSTAION 138 KV Circuit 2
2016-03-03 19:00:00,2050,X:5927:161:138,2000.0,142.2,24TH & GARDNDALE 161/138 kV Transformer
2016-03-03 19:00:00,2420,L:6014:7931:138,75.65,241.1,LA CONNER - FIVE FALLS 138 KV L
2016-03-03 19:00:00,5179,L:7286:8269:138,5.45,250.5,LOGANS FERRY - SS3143 138 KV
2016-03-03 19:00:00,7856,L:8572:8582:138,7.87,238.9,TYHEE - CTR 138 KV
2016-03-03 19:00:00,7967,L:8643:9104:138,13.89,245.9,CONOWINGO - HOLLAND 138 KV Line
2016-03-03 19:00:00,9374,L:9276:9669:345,7.15,1432.2,STATION G - CLOVER 345 KV
2016-03-03 19:00:00,10367,L:9747:10285:138,5.02,233.6,JENNINGS LODGE - AGANA 138 KV
2016-03-03 19:00:00,10421,L:9770:10265:138,10.16,235.8,GEYSERS TAP 2 - WALTHALL 138 KV
2016-03-03 19:00:00,11409,X:10277:345:138,9.1,206.4,POSSUM POINT 345 kV/138 kV Autotransformer
2016-03-03 19:00:00,11662,X:10447:138:69,239.97,102.3,CAYUCOS 138 kV/69 kV TX Unit 1
2016-03-03 19:00:00,12970,L:17735:17737:138,762.88,260.5,N RANDOLPH - PAUL SWEET 138 KV
2016-03-03 19:00:00,13849,L:18267:18686:345,9.73,1131.0,FOURTH PLAIN SUBSTATION - AMOS 345 KV
2016-03-03 19:00:00,16394,X:19540:100:1,27.96,191.3,KILLEN 100-1 kV Transformer
2016-03-03 19:00:00,21115,L:23484:23494:100,6.17,109.7,SOUTHPOINT - CAPSULE 100 KV
2016-04-06 08:00:00,5,L:2601:2722:161,382.62,220.3,GARY WORKS - MOLINO 161 KV
2016-04-06 08:00:00,74,X:2797:138:1,327.9,101.3,BLAKESLEE JCT 138/1 kV Transformer Bank
2016-04-06 08:00:00,851,L:5383:5445:138,0.74,211.3,DIAMOND BAR - BAYONNE MUA- LEITNER-POMA WIND TURBINE 138 KV
2016-04-06 08:00:00,2420,L:6014:7931:138,51.65,241.1,LA CONNER - FIVE FALLS 138 KV L
2016-04-06 08:00:00,5179,L:7286:8269:138,5.09,250.5,LOGANS FERRY - SS3143 138 KV
2016-04-06 08:00:00,7856,L:8572:8582:138,11.35,238.9,TYHEE - CTR 138 KV
2016-04-06 08:00:00,10421,L:9770:10265:138,16.66,235.8,GEYSERS TAP 2 - WALTHALL 138 KV
2016-04-06 08:00:00,11409,X:10277:345:138,11.36,206.3,POSSUM POINT 345 kV/138 kV Autotransformer
2016-04-06 08:00:00,11662,X:10447:138:69,2000.0,104.9,CAYUCOS 138 kV/69 kV TX Unit 1
2016-04-06 08:00:00,11663,X:10447:138:69,2000.0,104.9,CAYUCOS 138 kV/69 kV Autotransformer
2016-04-06 08:00:00,12970,L:17735:17737:138,1055.32,260.5,N RANDOLPH - PAUL SWEET 138 KV
2016-04-06 08:00:00,13849,L:18267:18686:345,7.32,1131.0,FOURTH PLAIN SUBSTATION - AMOS 345 KV
2016-04-06 08:00:00,14502,L:18691:18697:345,10.99,1391.5,GREENLAND GAP - STEVENSVILLE 345 KV
2016-04-06 08:00:00,15851,L:19265:19267:100,2000.0,156.6,SOUTHPAC - BRIDGEHAMPTON 100 KV
2016-04-06 08:00:00,20038,L:23041:23284:100,1869.85,135.2,HAWTHORNE OCB ELECTRIC - N YUMA 100 KV
2016-05-31 18:00:00,830,L:5373:5777:138,6.79,262.5,BRYANT - CASTO 138 KV L
2016-05-31 18:00:00,3379,L:6457:7119:138,19.68,237.3,BRIDGEPORT - GRISWALD 138 KV
2016-05-31 18:00:00,3666,L:6605:6625:138,111.07,164.7,DEL BAC - ELGIN 138 KV
2016-05-31 18:00:00,5179,L:7286:8269:138,7.37,250.5,LOGANS FERRY - SS3143 138 KV
2016-05-31 18:00:00,7967,L:8643:9104:138,33.82,245.9,CONOWINGO - HOLLAND 138 KV Line
2016-05-31 18:00:00,8752,L:9019:9021:138,122.35,260.6,JOLLYVILLE - E HAGERSTOWN 138 KV
2016-05-31 18:00:00,9374,L:9276:9669:345,15.89,1432.2,STATION G - CLOVER 345 KV
2016-05-31 18:00:00,10005,L:9631:9643:345,0.57,1425.9,FLUVANNA P.S - LOUISA GENERATION FACILITY 345 KV
2016-05-31 18:00:00,11409,X:10277:345:138,1.25,206.3,POSSUM POINT 345 kV/138 kV Autotransformer
