branch,fid,start,end,reason,facility_name
10973,L:10034:10049:138,2016-01-19 08:00:00,2016-02-02 08:00:00,planned,Mooe St - Urich Tap Substation 138 kV Line 1
3712,L:6637:6651:138,2016-01-17 08:00:00,2016-01-28 08:00:00,planned,Van Buren - Abilene Maple St 138 kV #1
6366,L:7914:8241:138,2016-01-12 08:00:00,2016-01-31 08:00:00,planned,119Th Street - Kleen 138 kV Cir. 1
7757,L:8516:8791:138,2016-01-17 08:00:00,2016-01-26 08:00:00,planned,Tucannon River - Plant Avenue 138 kV
15378,L:19039:19332:100,2016-01-18 08:00:00,2016-01-19 08:00:00,planned,Gaucho - Cagnon Rd 100 kV Line 1
16098,L:19391:19441:100,2016-01-16 08:00:00,2016-01-20 08:00:00,planned,Bowes - Glenns Ferry 100 kV Cir. 1
7763,L:8519:8547:138,2016-01-13 08:00:00,2016-01-29 08:00:00,planned,Austin - 7Th St 138 kV Circuit 2
677,L:5301:6877:138,2016-01-17 08:00:00,2016-01-18 08:00:00,planned,Strahan - Adair Substation 138 kV Cir. 1
18397,L:21203:21738:100,2016-01-14 08:00:00,2016-01-31 08:00:00,planned,Graphic Packaging - Dow St Chrles Operations 100 kV Ckt 1
12824,L:17592:17593:138,2016-01-18 08:00:00,2016-02-04 08:00:00,planned,Bulan - Hazard 138 kV Ckt 1
15417,L:19054:19059:100,2016-01-19 08:00:00,2016-01-21 08:00:00,planned,N Park - Sugarcreek 100 kV
16170,L:19425:19426:100,2016-01-11 08:00:00,2016-01-14 08:00:00,planned,Lucas - Iona 100 kV #1
13236,L:17927:18295:138,2016-01-11 08:00:00,2016-01-12 08:00:00,planned,Tahoe City - Main St Substation 138 kV Line 1
17717,L:20067:20120:100,2016-01-13 08:00:00,2016-01-20 08:00:00,planned,Golden Vly Substation - Alum Ridge 100 kV Circuit 1
14680,L:18741:19625:100,2016-01-18 08:00:00,2016-01-20 08:00:00,planned,Mcewen Substation - Stephentown 100 kV Circuit 1
13578,L:18105:18115:138,2016-01-10 08:00:00,2016-01-27 08:00:00,planned,Camuy 7601 - Western Digital 138 kV Circuit 1
4916,L:7178:7218:138,2016-01-16 08:00:00,2016-01-27 08:00:00,planned,Michigamme Falls Hy - Scanlon 138 kV #1
2479,L:6033:7115:138,2016-01-18 08:00:00,2016-01-25 08:00:00,planned,Dixon Tap - Hamilton Pa 138 kV Circuit 1
393,L:5172:5188:138,2016-01-19 08:00:00,2016-02-04 08:00:00,planned,Rhode Island State Energy Ctr - Waldwick 138 kV Line 1
19329,L:22831:22836:100,2016-01-11 08:00:00,2016-01-18 08:00:00,planned,Morganville - Polson 100 kV Line 1
2301,L:5981:5988:138,2016-01-15 08:00:00,2016-02-04 08:00:00,planned,Benndale - Pirkey Substation 138 kV #2
12135,L:16959:17445:138,2016-01-13 08:00:00,2016-01-26 08:00:00,planned,Mtu - Garrott 138 kV Cir. 1
