project_id,branch,fid,circuit,cont_branch,cont_fid,cont_circuit,direction,loading_post,loading_pre,dfax,contrib_mw,rating_mva,flow_post,upgrade,cost_total,cost_share,cost_alloc,contributors
Q11-0004,18702,L:21796:22493:230,1,18601,L:21759:22035:500,1,injection,111.2,107.2,7.0,22.9,568.0,631.3,rebuild,35961000.0,1.0,35961000.0,
Q11-0004,18851,L:22022:22024:230,1,18601,L:21759:22035:500,1,injection,107.2,104.0,5.2,17.0,520.0,558.1,reconductor,11159000.0,1.0,11159000.0,
Q11-0004,18940,L:22220:22742:230,1,18617,L:21763:22708:230,1,injection,103.3,100.3,6.8,22.5,762.0,786.5,reconductor,11680000.0,1.0,11680000.0,
Q11-0004,18614,L:21763:21774:230,1,18224,L:20309:21759:500,1,injection,102.8,99.7,5.3,17.5,572.0,587.5,reconductor,4019000.0,1.0,4019000.0,
Q11-0004,18617,L:21763:22708:230,1,19131,X:22742:500:230,1,injection,100.4,97.4,6.8,22.3,754.0,757.4,reconductor,43861000.0,1.0,43861000.0,
Q11-0001,748,L:5339:5342:138,1,747,L:5339:5341:138,1,injection,269.4,13.6,100.0,523.5,185.0,498.3,rebuild,2285000.0,1.0,2285000.0,
Q11-0001,747,L:5339:5341:138,1,748,L:5339:5342:138,1,injection,262.7,13.3,100.0,523.5,190.0,498.3,rebuild,2821000.0,1.0,2821000.0,
Q11-0001,745,L:5338:5341:138,1,748,L:5339:5342:138,1,injection,230.1,23.2,100.0,523.5,207.0,475.5,rebuild,4999000.0,1.0,4999000.0,
Q11-0001,746,L:5338:5970:138,1,748,L:5339:5342:138,1,injection,204.1,32.1,100.0,523.5,222.0,452.3,rebuild,21274000.0,1.0,21274000.0,
Q11-0001,752,L:5342:5807:138,1,747,L:5339:5341:138,1,injection,109.9,30.0,61.7,322.8,231.0,253.6,reconductor,6189000.0,1.0,6189000.0,
Q11-0001,3376,L:6456:6457:138,1,4860,X:7163:345:138,1,injection,109.8,97.1,6.4,33.5,263.0,288.7,reconductor,483000.0,1.0,483000.0,
Q11-0001,753,L:5342:5893:138,1,747,L:5339:5341:138,1,injection,105.2,10.0,38.3,200.7,211.0,221.7,reconductor,467000.0,1.0,467000.0,
Q11-0001,755,L:5343:5893:138,1,747,L:5339:5341:138,1,injection,105.1,10.0,38.3,200.7,211.0,221.7,reconductor,2376000.0,1.0,2376000.0,
Q11-0001,754,L:5343:5350:138,1,747,L:5339:5341:138,1,injection,104.4,8.0,38.3,200.7,208.0,217.3,reconductor,3339000.0,1.0,3339000.0,
Q11-0001,7349,L:8342:8347:138,1,7350,L:8342:8347:138,2,injection,102.0,84.9,9.7,51.0,298.0,304.1,reconductor,1221000.0,1.0,1221000.0,
Q11-0001,7350,L:8342:8347:138,2,7349,L:8342:8347:138,1,injection,102.0,84.9,9.7,51.0,298.0,304.1,reconductor,1170000.0,1.0,1170000.0,
Q11-0001,2253,L:5970:6434:138,1,748,L:5339:5342:138,1,injection,101.9,11.8,40.1,210.1,233.0,237.6,reconductor,1066000.0,1.0,1066000.0,
Q11-0001,8338,L:8810:8813:138,1,8366,L:8823:8824:345,1,injection,101.9,92.6,5.1,26.8,290.0,295.8,reconductor,656000.0,1.0,656000.0,
Q11-0001,18851,L:22022:22024:230,1,18601,L:21759:22035:500,1,injection,101.3,96.9,5.2,27.3,618.0,625.7,reconductor,8357000.0,1.0,8357000.0,
Q11-0001,18702,L:21796:22493:230,1,18601,L:21759:22035:500,1,injection,101.1,95.7,7.7,40.6,751.0,759.1,reconductor,18537000.0,1.0,18537000.0,
Q11-0001,1673,L:5798:5807:138,1,747,L:5339:5341:138,1,injection,100.8,35.7,61.7,322.8,237.0,238.5,reconductor,3312000.0,1.0,3312000.0,
Q11-0001,18856,L:22024:22035:230,1,18702,L:21796:22493:230,1,injection,100.8,96.9,5.1,26.7,689.0,693.9,reconductor,14131000.0,1.0,14131000.0,
Q11-0014,18857,L:22024:22493:230,1,18601,L:21759:22035:500,1,injection,108.6,107.3,5.4,8.5,646.0,701.3,reconductor,38712000.0,1.0,38712000.0,
Q11-0014,14792,L:18794:18805:100,1,14821,L:18805:19555:100,1,injection,107.4,7.5,100.0,157.5,137.0,147.2,reconductor,1870000.0,1.0,1870000.0,
Q11-0014,14821,L:18805:19555:100,1,14792,L:18794:18805:100,1,injection,104.9,7.3,100.0,157.5,140.0,147.2,reconductor,625000.0,1.0,625000.0,
Q11-0014,15718,L:19199:19204:100,1,15719,L:19199:19204:100,2,injection,104.1,96.2,11.0,17.3,219.0,227.7,reconductor,1495000.0,1.0,1495000.0,
Q11-0014,15719,L:19199:19204:100,2,15718,L:19199:19204:100,1,injection,104.1,96.2,11.0,17.3,219.0,227.7,reconductor,1348000.0,1.0,1348000.0,
Q11-0014,18702,L:21796:22493:230,1,18601,L:21759:22035:500,1,injection,103.4,102.1,7.5,11.8,873.0,902.6,reconductor,22619000.0,0.339,7676000.0,Q11-0004
Q11-0014,16729,L:19617:20114:230,1,16730,L:19617:19893:500,1,injection,103.1,101.2,5.5,8.6,439.0,453.0,reconductor,5947000.0,0.182,1082000.0,Q11-0004
Q11-0014,15720,L:19199:19210:100,1,14787,L:18792:19199:100,1,injection,101.7,93.0,9.8,15.4,177.0,180.4,reconductor,1049000.0,1.0,1049000.0,
Q11-0014,18851,L:22022:22024:230,1,18601,L:21759:22035:500,1,injection,101.2,100.1,5.2,8.2,720.0,728.5,reconductor,7195000.0,0.324,2334000.0,Q11-0004
Q11-0014,14798,L:18796:19564:100,1,14833,L:18809:19535:230,1,injection,101.0,90.3,9.3,14.6,137.0,138.1,reconductor,2355000.0,1.0,2355000.0,
Q11-0014,14837,L:18809:19564:100,1,14833,L:18809:19535:230,1,injection,100.9,90.2,9.3,14.6,137.0,138.1,reconductor,803000.0,1.0,803000.0,
Q11-0018,19385,L:22845:23071:100,1,19386,L:22845:23071:100,2,injection,110.9,89.2,8.6,31.3,144.0,159.9,rebuild,1421000.0,1.0,1421000.0,
Q11-0018,19450,L:22859:23071:100,1,19922,X:23005:230:1,1,injection,107.5,75.6,12.0,43.6,137.0,146.9,reconductor,302000.0,1.0,302000.0,
Q11-0018,19473,L:22868:22980:100,1,19474,L:22868:22983:100,1,injection,101.2,37.7,22.0,80.0,126.0,127.6,reconductor,176000.0,1.0,176000.0,
Q11-0006,10605,L:9860:9876:138,1,11035,L:10074:10158:138,1,injection,476.7,25.6,100.0,1119.2,223.0,1062.2,rebuild,2448000.0,1.0,2448000.0,
Q11-0006,10647,L:9876:10074:138,1,11035,L:10074:10158:138,1,injection,470.4,10.0,100.0,1119.2,233.0,1095.9,rebuild,1761000.0,1.0,1761000.0,
Q11-0006,11035,L:10074:10158:138,1,10647,L:9876:10074:138,1,injection,454.6,9.7,100.0,1119.2,241.0,1095.9,rebuild,1042000.0,1.0,1042000.0,
Q11-0006,10597,L:9857:9860:138,1,11035,L:10074:10158:138,1,injection,230.5,38.8,41.0,459.0,239.0,552.0,rebuild,1443000.0,1.0,1443000.0,
Q11-0006,10598,L:9857:9879:138,1,11035,L:10074:10158:138,1,injection,226.6,25.7,41.0,459.0,228.0,517.8,rebuild,1687000.0,1.0,1687000.0,
Q11-0006,10599,L:9858:9879:138,1,11035,L:10074:10158:138,1,injection,226.3,6.5,41.0,459.0,209.0,472.6,rebuild,1284000.0,1.0,1284000.0,
Q11-0006,10602,L:9859:9860:138,1,11035,L:10074:10158:138,1,injection,199.5,86.4,59.0,660.2,231.0,460.6,rebuild,2700000.0,1.0,2700000.0,
Q11-0006,10651,L:9881:10158:138,1,10647,L:9876:10074:138,1,injection,190.8,49.3,27.2,304.8,215.0,411.1,rebuild,2771000.0,1.0,2771000.0,
Q11-0006,11024,L:10070:10307:138,1,10597,L:9857:9860:138,1,injection,171.1,4.7,23.6,264.0,159.0,271.5,rebuild,2181000.0,1.0,2181000.0,
Q11-0006,10600,L:9858:9888:138,1,11035,L:10074:10158:138,1,injection,147.7,38.3,22.3,249.2,228.0,336.5,rebuild,2113000.0,1.0,2113000.0,
Q11-0006,10663,L:9885:9888:138,1,11035,L:10074:10158:138,1,injection,144.5,33.4,22.3,249.2,224.0,324.1,rebuild,3517000.0,1.0,3517000.0,
Q11-0006,10604,L:9859:9878:138,1,11035,L:10074:10158:138,1,injection,141.1,25.1,26.2,293.8,177.0,249.4,rebuild,3032000.0,1.0,3032000.0,
Q11-0006,10643,L:9874:9881:138,1,10597,L:9857:9860:138,1,injection,122.9,3.9,24.4,272.5,215.0,264.1,rebuild,1372000.0,1.0,1372000.0,
Q11-0006,10645,L:9875:10158:138,1,10647,L:9876:10074:138,1,injection,120.4,33.6,46.4,519.8,338.0,406.4,rebuild,1329000.0,1.0,1329000.0,
Q11-0006,10984,L:10041:10068:138,1,10597,L:9857:9860:138,1,injection,115.2,76.0,9.5,106.8,273.0,314.3,rebuild,6166000.0,1.0,6166000.0,
Q11-0006,10592,L:9854:9878:138,1,11035,L:10074:10158:138,1,injection,115.2,33.9,26.2,293.8,197.0,227.0,rebuild,1194000.0,1.0,1194000.0,
Q11-0006,10637,L:9871:10066:138,1,10597,L:9857:9860:138,1,injection,111.5,66.9,9.5,106.8,239.0,266.9,rebuild,2576000.0,1.0,2576000.0,
Q11-0006,10630,L:9869:10158:138,1,10597,L:9857:9860:138,1,injection,108.7,26.3,27.9,312.5,232.0,251.7,reconductor,2782000.0,1.0,2782000.0,
