project_id,study_date,n_facilities,cost_alloc_total,cost_per_kw,n_queue_ahead
Q11-0004,2011-11-15,5,106680000.0,324.25531914893617,3
Q11-0001,2012-01-15,17,92683000.0,177.04489016236866,0
Q11-0014,2012-01-15,11,59349000.0,376.81904761904764,13
Q11-0018,2012-02-15,3,1899000.0,5.209876543209877,16
Q11-0006,2012-04-15,25,116749000.0,104.31468906361687,5
Q11-0017,2012-05-15,0,0.0,0.0,15
Q11-0036,2012-05-15,3,7218000.0,37.32161323681489,32
Q11-0030,2012-06-15,1,1903000.0,11.076833527357392,25
Q11-0034,2012-06-15,25,129879000.0,86.586,29
Q11-0019,2012-07-15,10,56246000.0,151.03651987110635,16
Q11-0024,2012-07-15,3,22198000.0,112.45187436676798,20
Q11-0052,2012-07-15,25,355646000.0,3632.747701736466,47
Q11-0003,2012-08-15,0,0.0,0.0,2
Q11-0016,2012-08-15,25,290855000.0,514.0597384234712,11
Q11-0070,2012-08-15,25,186802000.0,176.62821482602118,61
Q11-0010,2012-09-15,0,0.0,0.0,6
Q11-0011,2012-09-15,4,31426000.0,222.24893917963226,8
Q11-0033,2012-09-15,0,0.0,0.0,27
Q11-0037,2012-09-15,16,41751000.0,84.9806635456951,31
Q11-0046,2012-09-15,5,16504000.0,43.068893528183715,40
Q11-0005,2012-10-15,0,0.0,0.0,3
Q11-0009,2012-10-15,4,21167000.0,73.98462076197134,6
Q11-0012,2012-10-15,14,45541000.0,139.0140415140415,8
Q11-0020,2012-10-15,4,50620000.0,752.1545319465082,16
Q11-0026,2012-10-15,21,57224000.0,361.4908401768793,20
Q11-0035,2012-10-15,8,45261000.0,216.04295942720765,28
Q11-0038,2012-10-15,25,209071000.0,216.4072042231653,31
Q11-0042,2012-10-15,0,0.0,0.0,35
Q11-0044,2012-10-15,0,0.0,0.0,37
Q11-0082,2012-10-15,12,69650000.0,130.25995885543296,71
Q11-0056,2012-11-15,25,54378000.0,48.10084033613445,46
Q11-0066,2012-11-15,9,177307000.0,263.5751449383083,55
Q11-0072,2012-11-15,2,2371000.0,56.318289786223275,60
Q11-0073,2012-11-15,10,31492000.0,297.0943396226415,61
Q11-0077,2012-11-15,25,154574000.0,396.14044079958995,65
Q11-0085,2012-11-15,1,8703000.0,78.26438848920863,73
Q11-0090,2012-11-15,13,18829000.0,236.54522613065328,78
Q12-0096,2012-11-15,8,51906000.0,273.477344573235,83
Q11-0002,2012-12-15,2,14692000.0,92.22849968612681,1
Q11-0007,2012-12-15,0,0.0,0.0,5
Q11-0013,2012-12-15,23,29348000.0,134.80937069361508,10
Q11-0015,2012-12-15,9,102167000.0,187.87605737403456,11
Q11-0031,2012-12-15,0,0.0,0.0,24
Q11-0043,2012-12-15,25,16764000.0,137.0727718724448,35
Q11-0054,2012-12-15,9,18585000.0,84.47727272727273,44
Q11-0021,2013-01-15,5,2086000.0,38.13528336380256,17
Q11-0045,2013-01-15,0,0.0,0.0,36
Q11-0053,2013-01-15,13,98191000.0,131.95941405725037,43
Q11-0055,2013-01-15,5,27549000.0,360.11764705882354,45
Q11-0064,2013-01-15,1,5260000.0,39.60843373493976,52
Q11-0071,2013-01-15,6,6254000.0,28.427272727272726,57
Q11-0089,2013-01-15,9,1104000.0,18.308457711442784,74
Q12-0097,2013-01-15,5,13602000.0,75.861684327942,81
Q11-0025,2013-02-15,5,14721000.0,80.31096563011457,19
Q11-0041,2013-02-15,4,28973000.0,56.44457432300799,32
Q11-0049,2013-02-15,0,0.0,0.0,39
Q11-0062,2013-02-15,6,3939000.0,79.25553319919517,51
Q11-0074,2013-02-15,25,151906000.0,163.42764927380313,60
