dimension,value,model,n_projects,hit@1,hit@3,hit@5,hit@10,recall@5,recall@10,precision@5,mrr
poi_seen,seen_poi,MAIN_all_features,214,0.3177570093457944,0.4672897196261682,0.5607476635514018,0.6542056074766355,0.23945709578837934,0.35877068686712305,0.2616822429906542,0.42686892233723794
poi_seen,seen_poi,B5_simple_tabular_gbm,214,0.2850467289719626,0.42990654205607476,0.4672897196261682,0.5981308411214953,0.18259053450820373,0.30381900279832896,0.23084112149532712,0.3885856537089939
poi_seen,seen_poi,P0_public_topology_dfax,214,0.2383177570093458,0.3644859813084112,0.3878504672897196,0.4766355140186916,0.14754021887692922,0.21961432738623649,0.19439252336448595,0.32702657342587677
poi_seen,unseen_poi,MAIN_all_features,218,0.38990825688073394,0.573394495412844,0.6697247706422018,0.7293577981651376,0.27116916997384327,0.3840167095184198,0.32018348623853216,0.5120247967853762
poi_seen,unseen_poi,B5_simple_tabular_gbm,218,0.3302752293577982,0.536697247706422,0.5963302752293578,0.6743119266055045,0.2211369896006197,0.3250871493173587,0.27431192660550463,0.46133324214196747
poi_seen,unseen_poi,P0_public_topology_dfax,218,0.3211009174311927,0.481651376146789,0.536697247706422,0.5825688073394495,0.22303006413367812,0.29344443736333037,0.263302752293578,0.4268262177139777
mw_bucket,<50MW,MAIN_all_features,35,0.11428571428571428,0.2857142857142857,0.42857142857142855,0.5428571428571428,0.21382189239332094,0.31201303872111324,0.12000000000000001,0.257062333715654
mw_bucket,<50MW,B5_simple_tabular_gbm,35,0.08571428571428572,0.2571428571428571,0.3142857142857143,0.4,0.09957785485735794,0.1641751623118083,0.09714285714285714,0.21386769639810987
mw_bucket,<50MW,P0_public_topology_dfax,35,0.14285714285714285,0.22857142857142856,0.3142857142857143,0.37142857142857144,0.13245274394342715,0.16640450646661828,0.10857142857142858,0.22517226430628937
mw_bucket,50-200MW,MAIN_all_features,273,0.31135531135531136,0.48717948717948717,0.5860805860805861,0.6703296703296703,0.24966266912128998,0.3675555858832489,0.26739926739926745,0.43330546563729316
mw_bucket,50-200MW,B5_simple_tabular_gbm,273,0.2490842490842491,0.4175824175824176,0.46886446886446886,0.6117216117216118,0.1772055385792653,0.30226348784168244,0.19926739926739928,0.3697138848517837
mw_bucket,50-200MW,P0_public_topology_dfax,273,0.23443223443223443,0.38095238095238093,0.4175824175824176,0.4945054945054945,0.17168720405848603,0.23966645091312822,0.19340659340659339,0.3335076151623171
mw_bucket,>200MW,MAIN_all_features,124,0.5161290322580645,0.6612903225806451,0.7338709677419355,0.782258064516129,0.2799759891059082,0.3970115997033382,0.39193548387096777,0.6103369458092903
mw_bucket,>200MW,B5_simple_tabular_gbm,124,0.5,0.6935483870967742,0.7338709677419355,0.7580645161290323,0.28564436423825595,0.3840500184543065,0.41451612903225804,0.6073444898564744
mw_bucket,>200MW,P0_public_topology_dfax,124,0.41935483870967744,0.5725806451612904,0.6048387096774194,0.6532258064516129,0.23135248447433912,0.3202843111310079,0.34193548387096784,0.5169612418125165
project_type,battery,MAIN_all_features,114,0.4298245614035088,0.5263157894736842,0.631578947368421,0.6754385964912281,0.20899116892905137,0.3143371007161158,0.34561403508771926,0.5106775053828007
project_type,battery,B5_simple_tabular_gbm,114,0.34210526315789475,0.47368421052631576,0.5,0.6403508771929824,0.15109109050110742,0.2656410910233664,0.28596491228070176,0.43866750807550997
project_type,battery,P0_public_topology_dfax,114,0.34210526315789475,0.41228070175438597,0.47368421052631576,0.5263157894736842,0.15559918952721374,0.21339479512747397,0.26666666666666666,0.400794871251625
project_type,gen,MAIN_all_features,290,0.31724137931034485,0.5103448275862069,0.6103448275862069,0.7034482758620689,0.27227374684077565,0.39693902970071737,0.26965517241379316,0.4498957113426379
project_type,gen,B5_simple_tabular_gbm,290,0.29310344827586204,0.4827586206896552,0.5379310344827586,0.6379310344827587,0.21622401607144415,0.32935214175306937,0.2372413793103448,0.41766532471362516
project_type,gen,P0_public_topology_dfax,290,0.25517241379310346,0.4206896551724138,0.4482758620689655,0.5275862068965518,0.1915085789116568,0.2686376294599056,0.20758620689655174,0.3645436374834967
project_type,load,MAIN_all_features,28,0.42857142857142855,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.27051134683122263,0.34092219891909326,0.29285714285714287,0.5101558277277373
project_type,load,B5_simple_tabular_gbm,28,0.32142857142857145,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.2626031835659165,0.36039498803473957,0.2785714285714286,0.4498905926112204
project_type,load,P0_public_topology_dfax,28,0.2857142857142857,0.5,0.5714285714285714,0.5714285714285714,0.2470844760829233,0.3120155077841414,0.3,0.4151261422101951
