dimension,value,model,n_projects,hit@1,hit@3,hit@5,hit@10,recall@5,recall@10,precision@5,mrr
poi_seen,seen_poi,MAIN_all_features,70,0.2714285714285714,0.34285714285714286,0.45714285714285713,0.5285714285714286,0.20515801844626624,0.30656114370718823,0.21714285714285714,0.3523158383100718
poi_seen,seen_poi,B4_geo_size_logit,70,0.2,0.38571428571428573,0.4142857142857143,0.5,0.1790726263947088,0.2487357500205653,0.2,0.3127230754318085
poi_seen,seen_poi,P0_public_topology_dfax,70,0.21428571428571427,0.35714285714285715,0.37142857142857144,0.4142857142857143,0.15349043852337413,0.19998361221612285,0.18,0.31209716348259253
poi_seen,unseen_poi,MAIN_all_features,85,0.35294117647058826,0.49411764705882355,0.5647058823529412,0.6352941176470588,0.20544467325797247,0.3105755540282394,0.25647058823529406,0.4556759243583335
poi_seen,unseen_poi,B4_geo_size_logit,85,0.35294117647058826,0.5294117647058824,0.5764705882352941,0.6352941176470588,0.21586491229713733,0.30289221435001484,0.25882352941176473,0.4667289854217332
poi_seen,unseen_poi,P0_public_topology_dfax,85,0.36470588235294116,0.49411764705882355,0.5411764705882353,0.5764705882352941,0.21318318226246613,0.2804704147798776,0.2611764705882353,0.45654803986831705
mw_bucket,<50MW,MAIN_all_features,18,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.4444444444444444,0.12087228391576217,0.22645188949536774,0.13333333333333333,0.19742490608242494
mw_bucket,<50MW,B4_geo_size_logit,18,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.06531672836020662,0.1445060575495358,0.10000000000000002,0.28060701000193083
mw_bucket,<50MW,P0_public_topology_dfax,18,0.05555555555555555,0.16666666666666666,0.3333333333333333,0.3888888888888889,0.13013154317502143,0.18688959993307822,0.12222222222222223,0.17058970301896306
mw_bucket,50-200MW,MAIN_all_features,97,0.26804123711340205,0.36082474226804123,0.4639175257731959,0.5567010309278351,0.18317810119427283,0.27732100701178763,0.18556701030927836,0.36180818227250516
mw_bucket,50-200MW,B4_geo_size_logit,97,0.20618556701030927,0.3917525773195876,0.44329896907216493,0.5257731958762887,0.1717458776999578,0.246028348553473,0.17525773195876287,0.32893142879202036
mw_bucket,50-200MW,P0_public_topology_dfax,97,0.25773195876288657,0.3711340206185567,0.3917525773195876,0.44329896907216493,0.15151582695196605,0.20919395652669615,0.16907216494845362,0.34346719925602265
mw_bucket,>200MW,MAIN_all_features,40,0.55,0.65,0.7,0.725,0.2969970397959528,0.42204826152108765,0.41500000000000004,0.6186380065561681
mw_bucket,>200MW,B4_geo_size_logit,40,0.5,0.725,0.75,0.75,0.3262137536376667,0.41728704689030777,0.43,0.6151326067053295
mw_bucket,>200MW,P0_public_topology_dfax,40,0.5,0.7,0.7,0.7,0.295637454936368,0.3545752882383318,0.40499999999999997,0.6066612962603222
project_type,battery,MAIN_all_features,37,0.35135135135135137,0.3783783783783784,0.4594594594594595,0.5135135135135135,0.19492078965763177,0.3068929351824088,0.2918918918918919,0.40189899699893433
project_type,battery,B4_geo_size_logit,37,0.35135135135135137,0.40540540540540543,0.43243243243243246,0.5135135135135135,0.18065915039599248,0.23100553824238038,0.2864864864864865,0.4050553069616846
project_type,battery,P0_public_topology_dfax,37,0.3783783783783784,0.40540540540540543,0.4594594594594595,0.4864864864864865,0.19601728088570192,0.2516852102378418,0.2756756756756757,0.416651805891018
project_type,gen,MAIN_all_features,100,0.3,0.43,0.53,0.61,0.20238662065750165,0.2995809955617736,0.214,0.40519747204239465
project_type,gen,B4_geo_size_logit,100,0.25,0.45,0.49,0.57,0.19508228450293663,0.2777269932965585,0.206,0.376267974739337
project_type,gen,P0_public_topology_dfax,100,0.25,0.43,0.44,0.49,0.16626039322995845,0.2218886063847162,0.19400000000000003,0.36672091054906103
project_type,load,MAIN_all_features,18,0.3333333333333333,0.5,0.5555555555555556,0.6111111111111112,0.24295151306020873,0.36361466633205763,0.2666666666666667,0.44469734216462975
project_type,load,B4_geo_size_logit,18,0.3333333333333333,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.2606102432189389,0.3798575820314951,0.26666666666666666,0.49715195608654916
project_type,load,P0_public_topology_dfax,18,0.3888888888888889,0.5,0.6111111111111112,0.6111111111111112,0.2770123596210553,0.35209026078591293,0.2888888888888889,0.47584316442859176
