,gain
apx_dfax_n1,102564.63681578636
apx_contrib_mw,41126.295053720474
apx_dfax,24228.06716656685
dist_far_km,22742.227296113968
fac_years_since_named,20285.840839862823
analog_wfrac,17974.424157857895
fac_kv,15429.095152139664
dist_km,15113.054283380508
analog_mean_nfac,11988.881648302078
hops,11222.785242319107
analog_mean_dist,10985.733837842941
kv_ratio,10750.719192743301
year,10203.395703077316
mw,9251.312382936478
queue_mw_all_50km,8210.074555635452
poi_lmp_p90,7780.1070058345795
fac_cong_vs_poi,7741.072591543198
fac_len_km,7012.1214735507965
queue_withdraw_frac_50km,6060.52130150795
poi_cong_mean,6025.76664853096
fac_mw_named,5550.073819637299
fac_cong_b,5129.703409433365
fac_mean_dfax,4863.246332168579
fac_cong_a,4614.98411488533
latent_score,4446.876913309097
fac_baseline_upgraded_3y,4443.045202255249
kind_B,4427.643389940262
fac_cong_gap,3771.7932391166687
analog_frac,3764.4522111415863
poi_degree,3585.6144285202026
end_degree_max,3184.4160413742065
log_mw,3046.8621344566345
fac_n_named_near30,2921.555619239807
same_kv,2904.1069474220276
fac_n_named_same_poi,2866.178706884384
poi_gen_mw,2665.12353682518
analog_n,2550.5170245170593
fac_n_inservice,2546.622567176819
fac_max_loading,2218.8713195323944
type_gen,1887.9986872673035
type_battery,1837.2849044799805
fac_n_named,1633.0940098762512
fac_cost_mean,1631.9380095005035
poi_kv,1538.3065330982208
fac_n_withdrawn,1457.9694526195526
queue_n_same_poi,1287.219491481781
fac_gen_mw_ends,1226.1009809970856
fuel_storage,816.2124903202057
fuel_solar,737.7668268680573
kind_L,735.9441294670105
fuel_wind,322.80758476257324
fuel_gas,308.4188370704651
fuel_other,264.61362981796265
kind_X,172.07133316993713
type_load,160.3507788181305
apx_dfax_missing,159.75795221328735
touches_poi,123.66461992263794
cong_hours_all,117.29841542243958
latent_seen_poi,107.49325442314148
fuel_load,71.16594982147217
cong_hours_24m,42.87512445449829
cong_years_all,34.65969491004944
cong_max_sp_24m,30.37250018119812
fac_outages_24m,25.507139921188354
fuel_hybrid,0.0
fac_n_active,0.0
cong_mean_sp_24m,0.0
queue_mw_active_50km,0.0
queue_mw_active_25km,0.0
queue_mw_active_same_poi,0.0
fac_queue_mw_active_25km,0.0
