,gain
apx_dfax_n1,95671.5373155276
apx_contrib_mw,44183.98037878672
apx_dfax,33493.2799671491
dist_km,21240.27163831393
dist_far_km,19096.45921278
fac_kv,17123.83206510544
fac_cong_vs_poi,12816.153292258581
hops,12375.922548294067
year,12340.037100712458
kv_ratio,12076.711407105127
mw,11581.384641567865
poi_cong_mean,10351.13586640358
analog_mean_nfac,10312.775123755137
queue_mw_all_50km,9908.715885241827
analog_mean_dist,9515.25383345286
poi_lmp_p90,9492.050756613413
analog_wfrac,9340.554583628973
fac_len_km,8435.674630562464
fac_cong_b,8166.685703754425
fac_cong_a,6676.423806190491
queue_withdraw_frac_50km,6419.811630328496
fac_cong_gap,6016.1321387290955
fac_years_since_named,5364.553539991379
end_degree_max,5032.84811647733
kind_B,4938.304888089498
poi_degree,4875.776394923528
latent_score,4607.610174973805
fac_mw_named,4314.259766419728
analog_n,3522.2934510707855
fac_mean_dfax,3416.9624053637185
log_mw,3400.723919471105
fac_baseline_upgraded_3y,2990.329484065374
poi_gen_mw,2619.2742517789206
analog_frac,2471.9007877508798
same_kv,2463.8517347971597
queue_n_same_poi,2189.913661956787
fac_gen_mw_ends,2110.718179066976
poi_kv,1981.3117294311523
type_gen,1979.1177717049916
type_battery,1929.5250166257222
fac_max_loading,1859.8686102231343
fac_cost_mean,1445.8301641146343
fac_n_inservice,1426.1991403897603
fac_n_named,1262.966200908025
fac_n_named_same_poi,1229.7575896581013
fac_n_named_near30,850.1045819918314
kind_L,845.4935868581136
fac_n_withdrawn,658.1079274813334
fuel_solar,610.589137395223
fuel_storage,538.2612313429514
apx_dfax_missing,369.3826103210449
type_load,292.28743410110474
fuel_wind,246.39536873499551
kind_X,230.47628339131674
fuel_other,169.86220121383667
latent_seen_poi,155.47226707140604
fuel_load,151.33286348978677
fuel_gas,150.79069725672403
cong_hours_all,122.94022035598755
touches_poi,113.24663623174031
cong_mean_sp_24m,90.04075264930725
fac_outages_24m,70.79927015304565
cong_hours_24m,64.92137392361958
cong_max_sp_24m,58.014766136805214
cong_years_all,44.752806663513184
fac_n_active,0.0
fuel_hybrid,0.0
queue_mw_active_50km,0.0
queue_mw_active_25km,0.0
queue_mw_active_same_poi,0.0
fac_queue_mw_active_25km,0.0
