model,subset,hit@1,hit@5,hit@10,recall@5,recall@10,precision@5,mrr,n_projects
B1_nearest_projects,all facilities,0.12962962962962962,0.30787037037037035,0.4236111111111111,0.11182178031138516,0.17879735489099371,0.1287037037037037,0.230391836061211,432
B1_nearest_projects,non-adjacent facilities only,0.1291866028708134,0.2894736842105263,0.4019138755980861,0.1061921529858435,0.17827775406256646,0.11531100478468899,0.22041716508739911,418
B2_queue_density,all facilities,0.2824074074074074,0.49537037037037035,0.5486111111111112,0.1844380390777642,0.2589202490362581,0.2236111111111111,0.3890362702928002,432
B2_queue_density,non-adjacent facilities only,0.25598086124401914,0.3875598086124402,0.4569377990430622,0.1472531303797207,0.20840813146471474,0.177511961722488,0.325246754189812,418
B3_historical_congestion,all facilities,0.037037037037037035,0.16666666666666666,0.26157407407407407,0.042165888820151855,0.09238641543354449,0.04722222222222222,0.11310810376217921,432
B3_historical_congestion,non-adjacent facilities only,0.04066985645933014,0.14114832535885166,0.22248803827751196,0.033485302504834766,0.06731682098351865,0.039234449760765545,0.10501771877275216,418
B4_geo_size_logit,all facilities,0.2824074074074074,0.5138888888888888,0.5856481481481481,0.19259207507794743,0.2643454865562726,0.23564814814814816,0.39661327045425954,432
B4_geo_size_logit,non-adjacent facilities only,0.22009569377990432,0.42105263157894735,0.4904306220095694,0.137260571451235,0.20793633764733874,0.177511961722488,0.31609854628828743,418
B5_simple_tabular_gbm,all facilities,0.30787037037037035,0.5324074074074074,0.6365740740740741,0.2020422178650248,0.31455153969913563,0.25277777777777777,0.4252962423163741,432
B5_simple_tabular_gbm,non-adjacent facilities only,0.24880382775119617,0.45215311004784686,0.583732057416268,0.17784573482347946,0.2873613481638274,0.2043062200956938,0.35841202504206177,418
P0_public_topology_dfax,all facilities,0.2800925925925926,0.46296296296296297,0.5300925925925926,0.18563463152964046,0.2568711884394922,0.22916666666666666,0.37738843096014985,432
P0_public_topology_dfax,non-adjacent facilities only,0.24401913875598086,0.3827751196172249,0.45454545454545453,0.14679428800559546,0.20813644108338678,0.17655502392344496,0.32066949565049074,418
L0_latent_only,all facilities,0.03935185185185185,0.09722222222222222,0.12731481481481483,0.036318877423014435,0.05168323516471815,0.032407407407407406,0.07681472064538693,432
L0_latent_only,non-adjacent facilities only,0.04066985645933014,0.09569377990430622,0.1291866028708134,0.03477552179802332,0.04986864173027794,0.03062200956937799,0.07738609653983822,418
MAIN_all_features,all facilities,0.35648148148148145,0.6041666666666666,0.6990740740740741,0.25508812133348635,0.37124441354234666,0.2921296296296297,0.4707381173578517,432
MAIN_all_features,non-adjacent facilities only,0.32057416267942584,0.5502392344497608,0.65311004784689,0.23262417552480216,0.34903002362756663,0.24593301435406698,0.4290436425760993,418
