model,subset,hit@1,hit@5,hit@10,recall@5,recall@10,precision@5,mrr,n_projects
B1_nearest_projects,all facilities,0.12258064516129032,0.2064516129032258,0.3419354838709677,0.0717009774545934,0.13489587166170433,0.0967741935483871,0.19048639846332074,155
B1_nearest_projects,non-adjacent facilities only,0.12244897959183673,0.19727891156462585,0.3197278911564626,0.07091553218445623,0.12054439416198766,0.08979591836734693,0.18360184061980797,147
B2_queue_density,all facilities,0.2903225806451613,0.49032258064516127,0.5161290322580645,0.18984942416654232,0.2499980048617016,0.21935483870967742,0.39098417420931375,155
B2_queue_density,non-adjacent facilities only,0.21768707482993196,0.3673469387755102,0.41496598639455784,0.11832354556668537,0.17079157150619373,0.16462585034013608,0.29114610697672877,147
B3_historical_congestion,all facilities,0.01935483870967742,0.16774193548387098,0.23225806451612904,0.054531424240400396,0.09532102228455665,0.049032258064516124,0.09923768557538752,155
B3_historical_congestion,non-adjacent facilities only,0.027210884353741496,0.10884353741496598,0.17006802721088435,0.02941831411219166,0.06117161372263413,0.03537414965986395,0.08612779689706068,147
B4_geo_size_logit,all facilities,0.2838709677419355,0.5032258064516129,0.5741935483870968,0.19924904124442763,0.2784344562657473,0.23225806451612904,0.3971779292972511,155
B4_geo_size_logit,non-adjacent facilities only,0.2108843537414966,0.40816326530612246,0.4557823129251701,0.1263417366515814,0.19204587296352607,0.17006802721088435,0.29999723305716736,147
B5_simple_tabular_gbm,all facilities,0.24516129032258063,0.4967741935483871,0.5935483870967742,0.18137457256210485,0.28659530662738014,0.2232258064516129,0.3670647551640272,155
B5_simple_tabular_gbm,non-adjacent facilities only,0.1564625850340136,0.40816326530612246,0.4965986394557823,0.14046160144091305,0.2245613929811407,0.18095238095238095,0.2805957931923384,147
P0_public_topology_dfax,all facilities,0.2967741935483871,0.4645161290322581,0.5032258064516129,0.18622516896094068,0.24412153620269805,0.22451612903225804,0.3913121602102479,155
P0_public_topology_dfax,non-adjacent facilities only,0.2108843537414966,0.3469387755102041,0.40816326530612246,0.1190733693057048,0.16978418290482017,0.16326530612244897,0.28514192066530336,147
L0_latent_only,all facilities,0.012903225806451613,0.07741935483870968,0.11612903225806452,0.018560082896688788,0.035034318338666166,0.023225806451612905,0.051829608911332474,155
L0_latent_only,non-adjacent facilities only,0.006802721088435374,0.07482993197278912,0.12244897959183673,0.015514942239361987,0.0345385867732106,0.0217687074829932,0.04950385096183508,147
MAIN_all_features,all facilities,0.2903225806451613,0.5096774193548387,0.5806451612903226,0.2088538747203765,0.31583814847423025,0.23741935483870966,0.4008235477392251,155
MAIN_all_features,non-adjacent facilities only,0.2108843537414966,0.4489795918367347,0.5102040816326531,0.16704311275737102,0.26373319878021534,0.19591836734693877,0.3190901126046816,147
