year,model,n_projects,hit@5,hit@10,recall@10,mrr
2020,MAIN_all_features,19,0.631578947368421,0.7368421052631579,0.4750891652207441,0.5681779332708125
2020,B4_geo_size_logit,19,0.5789473684210527,0.5789473684210527,0.358408039329092,0.3921271726880579
2020,P0_public_topology_dfax,19,0.5789473684210527,0.631578947368421,0.41809572006940426,0.4018494815642945
2021,MAIN_all_features,162,0.6172839506172839,0.7345679012345679,0.39722300274521793,0.4671670221902737
2021,B4_geo_size_logit,162,0.5185185185185185,0.5617283950617284,0.2359476914087163,0.3977793749159168
2021,P0_public_topology_dfax,162,0.4444444444444444,0.5185185185185185,0.25109852207462674,0.36144313870149564
2022,MAIN_all_features,174,0.603448275862069,0.6666666666666666,0.3668572383994384,0.4729103581990349
2022,B4_geo_size_logit,174,0.5057471264367817,0.603448275862069,0.27651423533983227,0.38825240433145736
2022,P0_public_topology_dfax,174,0.4482758620689655,0.5229885057471264,0.2565992068769075,0.3812108035428611
2023,MAIN_all_features,37,0.7027027027027027,0.7837837837837838,0.3489682567142521,0.5443391767753081
2023,B4_geo_size_logit,37,0.6486486486486487,0.7027027027027027,0.33426311399995606,0.4831040535827148
2023,P0_public_topology_dfax,37,0.6756756756756757,0.7027027027027027,0.33800662905926065,0.5003462797666515
2024,MAIN_all_features,39,0.4358974358974359,0.5897435897435898,0.24587472871225735,0.3655250385718894
2024,B4_geo_size_logit,39,0.38461538461538464,0.48717948717948717,0.20554083597561862,0.35509802092020093
2024,P0_public_topology_dfax,39,0.358974358974359,0.41025641025641024,0.13312991991481699,0.3055396936990667
2025,MAIN_all_features,1,1.0,1.0,0.6666666666666666,0.2
2025,B4_geo_size_logit,1,0.0,1.0,0.6666666666666666,0.16666666666666666
2025,P0_public_topology_dfax,1,0.0,0.0,0.0,0.08333333333333333
