date,facility_name,upgrade
2011-01-01,Georgia Substation - Progress 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Progress - Marathon Generating Plant 138 kV Cir. 2,baseline reliability upgrade
2011-01-01,Mcclellan-Bell - Belfort 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Morfee - Pseg Linden Generating Sta 161 kV,baseline reliability upgrade
2011-01-01,Morfee - Pseg Linden Generating Sta 161 kV #2,baseline reliability upgrade
2011-01-01,Rochester 80 161/138kV Transformer,baseline reliability upgrade
2011-01-01,Selkirk Cogen - Closter 161 kV Cir. 1,baseline reliability upgrade
2011-01-01,Cloter - Selkirk Cogen 161 kV Line 2,baseline reliability upgrade
2011-01-01,Pacific Power - Perrine 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Tmblor - Mission 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Mission - Temblor 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Jackson Square - Tomac 138 kV Line 1,baseline reliability upgrade
2011-01-01,Tomac - Jackson Square 138 kV #2,baseline reliability upgrade
2011-01-01,Gloucester - Blue Earth 138 kV Line 1,baseline reliability upgrade
2011-01-01,Cartanza - Msc 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Msc - Cartanza 138 kV Cir. 2,baseline reliability upgrade
2011-01-01,Federal Square - Inman 138 kV L,baseline reliability upgrade
2011-01-01,Federal Square - Inman 138 kV line,baseline reliability upgrade
2011-01-01,Federal Square Substation - Clay St 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Federal Squre - Clay Street 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Stanley Terrace - Nesbit Tap 138 kV #1,baseline reliability upgrade
2011-01-01,Crawfordsville Power Plant - Pine Tree Acres 138 kV Line,baseline reliability upgrade
2011-01-01,Beaver Dam 3Rd St - Hillman 138 kV Line 1,baseline reliability upgrade
2011-01-01,Laurel Ave - Veve Calzada 2002 138 kV,baseline reliability upgrade
2011-01-01,Laurel Ave - Veve Calzada 2002 138 kV Line 2,baseline reliability upgrade
2011-01-01,White Rock - Laurel Ave 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Miller St - Jeffersonville Kentucky Avenue 138 kV Circuit 2,baseline reliability upgrade
2011-01-01,Hudson - White Rock-Nike 138 kV #1,baseline reliability upgrade
2011-01-01,Stone - Inman 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Stone - Inman 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Keo - Stone 138 kV Line 1,baseline reliability upgrade
2011-01-01,Port St - Stone 138 kV #1,baseline reliability upgrade
2011-01-01,Nesbit Ap - Harrisburg 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,N Avenue - Highway 22 138 kV,baseline reliability upgrade
2011-01-01,Highway 22 - N Avenue 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Highway 22 - Pipe 138 kV #2,baseline reliability upgrade
2011-01-01,W Orange - Blanchard 138 kV Cir. 1,baseline reliability upgrade
