plant_id,sub_id,fuel,mw,online_year,retire_year,queue_project_id
1332,3541,ng,458.724,1998,,
1333,3541,ng,458.724,1973,,
1863,5891,nuclear,953.092,1964,,
1864,5891,nuclear,953.092,1966,,
1866,5892,solar,1.63,2010,,
1868,5894,solar,1.793,1985,,
1870,5894,solar,2.282,1988,,
1871,5894,solar,8.148,2001,,
1872,5895,coal,109.449,2008,2020.0,
1873,5896,ng,88.021,1984,,
1874,5896,ng,88.021,1972,,
1875,5896,ng,88.021,2007,,
1880,5899,solar,12.223,1997,,
1882,5899,solar,1.793,1971,,
1885,5899,solar,0.407,1977,,
1887,5899,solar,0.407,1992,,
1888,5899,solar,0.407,1996,,
1889,5900,solar,8.148,1962,,
1890,5901,ng,41.729,1981,,
1891,5901,ng,41.729,1961,,
1896,5904,solar,4.237,1997,,
1897,5904,solar,4.074,1972,,
1906,5906,solar,5.052,1977,,
1907,5906,solar,7.008,1963,,
1910,5908,ng,36.676,1989,,
1911,5908,ng,36.676,1987,,
1912,5908,ng,36.676,1991,,
1913,5908,ng,36.676,1974,,
1918,5910,ng,109.57,2002,,
1919,5910,ng,109.57,1973,,
1920,5910,ng,109.57,2001,,
1921,5910,ng,109.57,1961,,
1922,5910,ng,109.57,2000,,
1923,5910,ng,109.57,1967,,
1925,5911,solar,3.096,1969,,
1927,5912,dfo,9.103,1964,2019.0,
1929,5914,dfo,0.436,1982,2013.0,
1930,5914,dfo,0.436,1989,,
1932,5915,dfo,25.087,2008,,
1933,5915,dfo,0.261,2008,,
1934,5916,solar,6.682,1972,,
1935,5916,solar,2.119,1988,,
1936,5917,ng,77.372,1961,,
1937,5918,solar,1.63,1969,,
1938,5918,solar,2.282,2009,,
1939,5918,solar,5.704,1982,,
1940,5919,solar,4.889,2004,,
1941,5919,solar,26.075,1990,,
1942,5920,solar,12.874,1960,,
1943,5920,solar,4.889,1997,,
1944,5920,solar,3.259,1970,,
1945,5921,nuclear,1051.416,1984,,
1947,5922,solar,2.119,1973,,
1948,5922,solar,0.815,1997,,
1949,5922,solar,0.815,1976,,
1950,5922,solar,0.815,2010,,
1951,5922,solar,0.815,1994,,
1952,5922,solar,0.489,1976,,
1953,5922,solar,0.489,1993,,
1954,5922,solar,0.489,2000,,
1956,5923,solar,1.956,2003,,
1959,5923,solar,6.193,1970,,
1960,5924,nuclear,448.035,2001,,
1961,5925,ng,28.906,1996,,
1962,5925,ng,28.906,1981,,
1963,5925,ng,28.906,1982,,
1964,5925,ng,28.906,1990,,
1965,5925,ng,28.906,1994,,
1966,5925,ng,28.906,1982,,
1968,5926,solar,13.037,1996,,
1970,5926,solar,1.63,1997,,
1971,5927,dfo,11.542,1986,2020.0,
1972,5927,dfo,11.542,1989,2014.0,
1973,5927,dfo,11.542,1974,,
1974,5927,dfo,11.542,2009,,
1976,5928,solar,2.933,1963,,
1977,5928,solar,3.422,1998,,
1979,5929,solar,0.815,1972,,
1980,5929,solar,0.815,2001,,
1981,5929,solar,0.815,1976,,
1983,5929,solar,16.46,1966,,
1984,5930,ng,208.1,2000,,
1985,5930,ng,208.1,1979,,
1986,5931,ng,223.075,1977,,
1987,5931,ng,223.075,2006,,
1988,5931,ng,223.075,1975,,
1989,5931,ng,223.075,1961,,
1990,5932,solar,2.445,2000,,
1991,5932,solar,3.341,1985,,
1992,5932,solar,3.341,1986,,
1993,5933,ng,73.08,1990,,
1994,5933,ng,73.08,1998,,
1995,5934,ng,50.346,1997,,
1996,5934,ng,50.346,1979,,
1997,5934,ng,50.346,2006,,
1998,5935,solar,1.956,1977,,
1999,5935,solar,2.445,1963,,
2000,5935,solar,4.074,2010,,
2001,5936,dfo,5.88,1999,2013.0,
2002,5937,solar,10.267,2001,,
2003,5938,solar,1.63,1976,,
2004,5938,solar,1.63,1974,,
2005,5938,solar,1.63,1996,,
2006,5938,solar,2.119,1986,,
2007,5938,solar,2.77,1992,,
2008,5938,solar,2.77,1994,,
2009,5939,ng,92.727,1962,,
2010,5939,ng,92.727,1969,,
2011,5939,ng,92.727,1995,,
2012,5939,ng,92.727,1960,,
2013,5939,ng,92.727,1980,,
2014,5939,ng,92.727,2001,,
2017,5941,solar,11.408,1967,,
2018,5942,dfo,11.542,1992,,
2019,5943,ng,55.856,1992,,
2020,5943,ng,55.856,1988,,
2021,5943,ng,55.856,1990,,
2022,5943,ng,55.856,2006,,
2023,5943,ng,55.856,2002,,
2024,5944,solar,2.445,1973,,
2025,5944,solar,4.726,1980,,
2026,5944,solar,6.682,1987,,
2027,5944,solar,1.63,1962,,
2028,5944,solar,2.282,1977,,
2029,5945,dfo,8.031,1992,2015.0,
2030,5945,dfo,8.031,1971,2021.0,
2031,5945,dfo,8.031,1975,2014.0,
2032,5945,dfo,8.031,1989,,
2033,5945,dfo,8.031,1995,,
2034,5946,ng,45.532,1962,,
2036,5947,ng,76.285,2006,,
2037,5947,ng,76.285,1998,,
2038,5947,ng,76.285,1981,,
2039,5947,ng,76.285,1965,,
2040,5947,ng,76.285,1978,,
2041,5948,solar,13.037,1996,,
2043,5949,solar,3.748,2009,,
2048,5950,solar,4.889,1989,,
2055,5952,ng,74.112,1989,,
2056,5953,solar,2.445,1996,,
2057,5953,solar,16.297,1985,,
2058,5954,solar,4.889,1986,,
2059,5954,solar,4.889,1997,,
2060,5955,solar,2.933,1994,,
2066,5957,solar,8.963,1983,,
2067,5958,ng,65.744,1968,,
2068,5958,ng,65.744,1985,,
2069,5958,ng,65.744,1992,,
2070,5958,ng,65.744,1991,,
2072,5960,ng,90.847,2001,,
2073,5960,ng,90.847,1994,,
2074,5960,ng,90.847,1997,,
2075,5960,ng,90.847,1995,,
2076,5960,ng,90.847,2004,,
2077,5960,ng,90.847,1962,,
2079,5962,solar,6.682,2000,,
2080,5962,solar,3.585,2006,,
2084,5964,ng,45.097,2005,,
2085,5964,ng,45.097,1976,,
2086,5965,solar,12.223,1976,,
2087,5966,hydro,4.1,1980,,
2088,5966,hydro,4.1,1971,,
2089,5966,hydro,4.1,1961,,
2091,5966,hydro,0.6,2002,,
2092,5966,hydro,0.6,1966,,
2093,5966,hydro,0.6,1995,,
2096,5968,ng,104.43,1960,,
2097,5968,ng,104.43,2006,,
2098,5968,ng,104.43,1965,,
2099,5968,ng,104.43,2000,,
2104,5972,hydro,151.0,2010,,
2105,5972,hydro,151.0,1997,,
2106,5972,hydro,151.0,2000,,
2109,5974,dfo,5.777,1976,,
2110,5974,dfo,5.777,1978,,
2111,5975,ng,29.34,1973,,
2114,5977,solar,8.148,1964,,
2115,5978,ng,122.578,1987,,
2116,5979,ng,57.594,1982,,
2117,5979,ng,57.594,1987,,
2118,5979,ng,57.594,1961,,
2120,5981,solar,1.956,1983,,
2121,5981,solar,6.519,1984,,
2122,5982,dfo,25.087,1981,2024.0,
2123,5983,ng,155.831,1961,,
2124,5983,ng,155.831,2009,,
2125,5983,ng,155.831,1978,,
2128,5984,dfo,7.317,2004,,
2129,5984,dfo,7.317,1990,,
2130,5985,dfo,0.327,1963,2015.0,
2131,5985,dfo,0.327,1998,,
2132,5985,dfo,0.327,1993,,
2133,5985,dfo,0.327,1994,,
2134,5986,solar,3.096,1983,,
2135,5986,solar,7.985,1978,,
2136,5987,solar,19.556,2005,,
2137,5988,ng,273.116,1960,,
2139,5988,ng,273.116,1998,,
2140,5989,ng,125.621,1971,,
2141,5989,ng,125.621,2009,,
2142,5990,solar,1.63,1998,,
2143,5990,solar,3.259,2004,,
2144,5990,solar,3.911,2001,,
2145,5990,solar,4.4,2009,,
2150,5993,ng,81.501,1992,,
2151,5993,ng,81.501,2005,,
2152,5993,ng,81.501,1960,,
2153,5994,ng,253.708,1979,,
2154,5994,ng,253.708,1986,,
2155,5994,ng,253.708,1993,,
2156,5994,ng,253.708,1961,,
2157,5994,ng,253.708,1971,,
2158,5994,ng,253.708,1997,,
2162,5996,solar,1.63,1977,,
2164,5997,solar,6.03,1978,,
2165,5997,solar,1.956,2003,,
2166,5997,solar,1.956,1995,,
2167,5997,solar,1.793,1984,,
2168,5998,wind,1.5,2006,,
2169,5998,wind,7.5,1989,,
2170,5999,dfo,8.088,2007,2025.0,
2171,5999,dfo,8.088,2001,,
2172,5999,dfo,8.088,1980,2016.0,
2173,5999,dfo,8.088,1983,2020.0,
2174,5999,dfo,8.088,1986,2022.0,
2175,6000,ng,176.423,1994,,
2176,6000,ng,176.423,1997,,
2177,6000,ng,176.423,2005,,
2178,6000,ng,176.423,1982,,
2179,6000,ng,176.423,1991,,
2180,6000,ng,176.423,1969,,
