datetime,constraint_name,shadow_price,flow_mw
2016-01-19 08:00:00,SNE - SANSUM N ELEC - MULTITRADE OF PITTSYLVANIA LP SUBSTATION 138 KV,2.03,262.5
2016-01-19 08:00:00,GUILBEAU ELECTRIC - OAK HALL 138 KV,2.83,193.9
2016-01-19 08:00:00,OTSEGO - CARL BAILEY 138 KV,57.32,241.1
2016-01-19 08:00:00,BRIDGEPORT - LAKE CATHERINE 138 KV,5.75,237.3
2016-01-19 08:00:00,NEWCOMERSTOWN - VLY HOME TAP 2 SUBSTATION 138 KV,139.39,164.7
2016-01-19 08:00:00,SOMERVILLE - LOGANS FERRY 138 KV,9.76,250.5
2016-01-19 08:00:00,HIGHGROVE - CTR SUBSTATION 138 KV,10.35,238.9
2016-01-19 08:00:00,BEAR - CLOVER 345 KV,14.13,1432.2
2016-01-19 08:00:00,POSSUM PT 345/138kV Auto,2.72,206.3
2016-01-19 08:00:00,PENCE - AMOS 345 KV,19.79,1131.0
2016-01-19 08:00:00,MEMORIAL - HOMELAKE 100 KV,39.31,148.3
2016-01-19 08:00:00,KILLEN 100/1kV XFMR,146.44,191.3
2016-01-19 08:00:00,ATASCOCITA - N CAMBRIDGE SUBSTATION 230 KV,19.36,489.2
2016-01-19 08:00:00,FIRSTENERGY EDGEWATER - UNIONVLLE SUBSTATION 100 KV Line,96.62,136.1
2016-01-19 08:00:00,BAYPORT SW STA - FIRSTENERGY BAY SHORE 230 KV,2.47,505.0
2016-01-19 08:00:00,SOUTH HAVEN - ANDERSON SUBSTATION 100 KV,2000.0,123.2
2016-02-13 19:00:00,GUILBEAU ELECTRIC - OAK HALL 138 KV,25.62,193.9
2016-02-13 19:00:00,OTSEGO - CARL BAILEY 138 KV,51.79,241.1
2016-02-13 19:00:00,NEWCOMERSTOWN - VLY HOME TAP 2 SUBSTATION 138 KV,81.93,164.7
2016-02-13 19:00:00,WALLENPAUPACK SUBSTATION 500/345 kV TX,16.21,893.8
2016-02-13 19:00:00,SOMERVILLE - LOGANS FERRY 138 KV,8.54,250.5
2016-02-13 19:00:00,REHOBOTH - ESS LEWES 138 KV,23.31,177.5
2016-02-13 19:00:00,EASTPOINT - TRUXEL 138 KV Ckt 2,8.99,276.2
2016-02-13 19:00:00,HIGHGROVE - CTR SUBSTATION 138 KV,7.88,238.9
2016-02-13 19:00:00,DAM NO. 4 HYDRO STATION - GRAVEL RIDGE 138 KV,28.72,218.7
2016-02-13 19:00:00,BEAR - CLOVER 345 KV,14.39,1432.2
2016-02-13 19:00:00,WALTHALL - HAGGIN 138 KV,2.34,235.8
2016-02-13 19:00:00,POSSUM PT 345/138kV Auto,2.48,206.4
2016-02-13 19:00:00,PENCE - AMOS 345 KV,18.38,1131.0
2016-02-13 19:00:00,SPORN 345/230kV Transformer,2.0,387.7
2016-02-13 19:00:00,MEMORIAL - HOMELAKE 100 KV,19.41,148.3
2016-02-13 19:00:00,KILLEN 100/1kV XFMR,125.42,191.3
2016-02-13 19:00:00,ATASCOCITA - N CAMBRIDGE SUBSTATION 230 KV,10.07,489.2
2016-02-13 19:00:00,LANDSMAN CRK - SAMARIA 100 KV Line 2,2000.0,165.7
2016-02-13 19:00:00,PLAINS - ELK GROVE 100 KV,20.76,135.2
2016-03-03 19:00:00,SAN FELIPE - REDUCTION 161 KV line,261.48,220.3
2016-03-03 19:00:00,PROGRESS 138 kV/1 kV Transformer Bank,266.03,101.3
2016-03-03 19:00:00,HIGWAY 22 - BAYONNE MUA- LEITNER-POMA WIND TURBINE 138 KV line,4.1,211.3
2016-03-03 19:00:00,MARBLEHEAD N - NJT MEADOWLANDS RAIL SUBSTAION 138 KV Circuit 1,1.53,270.1
2016-03-03 19:00:00,OTSEGO - CARL BAILEY 138 KV,84.98,241.1
2016-03-03 19:00:00,SOMERVILLE - LOGANS FERRY 138 KV,4.94,250.5
2016-03-03 19:00:00,HIGHGROVE - CTR SUBSTATION 138 KV,11.07,238.9
2016-03-03 19:00:00,SPINGVILLE - CONOWINGO 138 KV Line,19.07,245.9
2016-03-03 19:00:00,BEAR - CLOVER 345 KV,7.04,1432.2
2016-03-03 19:00:00,WALTHALL - HAGGIN 138 KV,13.76,235.8
2016-03-03 19:00:00,POSSUM PT 345/138kV Auto,8.57,206.4
2016-03-03 19:00:00,JAJOME 3403 138/69 kV Transformer T2,915.47,102.3
2016-03-03 19:00:00,MCCLELLAN AR - SPATSUM LORNEX 138 KV,537.85,260.5
2016-03-03 19:00:00,PENCE - VALEMOUNT 345 KV,4.76,1068.9
2016-03-03 19:00:00,SPORN 345/230kV Transformer,45.77,387.7
2016-03-03 19:00:00,KILLEN 100/1kV XFMR,50.55,191.3
2016-03-03 19:00:00,PLAINS - ELK GROVE 100 KV,30.87,135.2
2016-04-06 08:00:00,SAN FELIPE - REDUCTION 161 KV line,391.23,220.3
2016-04-06 08:00:00,PROGRESS 138 kV/1 kV Transformer Bank,336.32,101.3
2016-04-06 08:00:00,HIGWAY 22 - BAYONNE MUA- LEITNER-POMA WIND TURBINE 138 KV line,0.78,211.3
2016-04-06 08:00:00,OTSEGO - CARL BAILEY 138 KV,76.26,241.1
2016-04-06 08:00:00,SOMERVILLE - LOGANS FERRY 138 KV,3.85,250.5
2016-04-06 08:00:00,HIGHGROVE - CTR SUBSTATION 138 KV,12.29,238.9
2016-04-06 08:00:00,BEAR - CLOVER 345 KV,0.93,1432.2
2016-04-06 08:00:00,WALTHALL - HAGGIN 138 KV,18.24,235.8
