facility_name,start,end,reason
Denton W Interchange - Solemint 100 kV,2016-01-14 08:00:00,2016-01-25 08:00:00,planned
Mickleton - Morgan Hills-Sonoma Hills 138 kV #1,2016-01-11 08:00:00,2016-01-23 08:00:00,planned
Gum Springs - Grantline-Siefker 138 kV Cir. 1,2016-01-11 08:00:00,2016-01-18 08:00:00,planned
Vec Jay - Pacheco 138 kV Cir. 1,2016-01-16 08:00:00,2016-01-29 08:00:00,planned
Weyerhauser Snoqualmie Mill - Ninemile 100 kV Circuit 1,2016-01-12 08:00:00,2016-01-13 08:00:00,planned
Sahtlam - Temple Substation 138 kV Circuit 1,2016-01-15 08:00:00,2016-01-23 08:00:00,planned
Bird Substation - Sanbruno Tap 138 kV Cir. 1,2016-01-15 08:00:00,2016-01-22 08:00:00,planned
Cmed Devon - Fogarty 100 kV L,2016-01-13 08:00:00,2016-01-29 08:00:00,planned
Crabb Riv Road - Itsca 100 kV Ckt 1,2016-01-13 08:00:00,2016-01-20 08:00:00,planned
Gore Pass - Station 204 100 kV Ckt 1,2016-01-14 08:00:00,2016-01-22 08:00:00,planned
San Juan - Tully Center 138 kV Circuit 1,2016-01-12 08:00:00,2016-01-15 08:00:00,planned
Lake Juliana - Gable St 100 kV,2016-01-16 08:00:00,2016-01-31 08:00:00,planned
Fairground - Oil Fields 100 kV Line 1,2016-01-17 08:00:00,2016-02-05 08:00:00,planned
Canton - Kettle Morraine 100 kV Circuit 1,2016-01-14 08:00:00,2016-01-29 08:00:00,planned
Upper Lake - 5204 Big K-Mart 138 kV Ckt 1,2016-01-14 08:00:00,2016-01-28 08:00:00,planned
Stave Falls - Sutherland Springs 138 kV,2016-01-10 08:00:00,2016-01-24 08:00:00,planned
Greene County Sta Substation - Sno-King 100 kV,2016-01-19 08:00:00,2016-01-20 08:00:00,planned
Burlington Gt - Norway 100 kV #1,2016-01-11 08:00:00,2016-01-28 08:00:00,planned
Railhead - South Mtn 138 kV #1,2016-01-11 08:00:00,2016-01-13 08:00:00,planned
Hutchins - Clover 138 kV #1,2016-01-16 08:00:00,2016-01-18 08:00:00,planned
Fisk Street - Denton W Interchange 230 kV,2016-01-14 08:00:00,2016-01-20 08:00:00,planned
Warfordsburg - Dome 138 kV Cir. 1,2016-01-15 08:00:00,2016-02-02 08:00:00,planned
West Jackson - Kingman Municipal Power And Light Plant 100 kV Circuit 1,2016-01-17 08:00:00,2016-02-04 08:00:00,planned
Gvrd Sewage - Noti Crk 100 kV Ckt 1,2016-01-16 08:00:00,2016-01-28 08:00:00,planned
Hogan Rd - Tuckasegee Tie 138 kV #1,2016-01-10 08:00:00,2016-01-11 08:00:00,planned
Mecca Substation - West Mcallen 138 kV #1,2016-01-17 08:00:00,2016-01-31 08:00:00,planned
Joso - Onancock Diesel Generation Facility 230 kV,2016-01-13 08:00:00,2016-01-25 08:00:00,planned
Mcauley Substation - Video Pd 138 kV Line 1,2016-01-16 08:00:00,2016-01-29 08:00:00,planned
Jct City - Isablle 138 kV,2016-01-17 08:00:00,2016-02-02 08:00:00,planned
Airway Heights - Riverway 138 kV Cir. 1,2016-01-19 08:00:00,2016-01-21 08:00:00,planned
Oakdale Power Station - Antelope 138 kV,2016-01-15 08:00:00,2016-01-22 08:00:00,planned
Smartsville - Stoney Ridge 100 kV Ckt 1,2016-01-17 08:00:00,2016-01-23 08:00:00,planned
N Brookings - Homart 138 kV Cir. 1,2016-01-11 08:00:00,2016-01-26 08:00:00,planned
Mahew - Fluvanna P.S 138 kV,2016-01-17 08:00:00,2016-01-30 08:00:00,planned
Mcconnellsburg - Buffalo Substation 138 kV L,2016-01-10 08:00:00,2016-01-12 08:00:00,planned
Hutchinson Plant 2 - Lyonsdale Associates 138 kV #1,2016-01-16 08:00:00,2016-01-30 08:00:00,planned
Coffee Port - Interstate Pape Llc Riceboro Substation 138 kV Circuit 1,2016-01-14 08:00:00,2016-01-21 08:00:00,planned
Greenly - Dresden 500 kV Line 1,2016-01-19 08:00:00,2016-02-01 08:00:00,planned
Hesperia - Chub Lake Substation 100 kV Ckt 1,2016-01-17 08:00:00,2016-02-05 08:00:00,planned
Flowood - S Colton 138 kV,2016-01-12 08:00:00,2016-01-30 08:00:00,planned
Eden Substation - Deepcreek 161 kV Cir. 1,2016-01-11 08:00:00,2016-01-12 08:00:00,planned
Bluff Crk Substation - Robiedale 138 kV #1,2016-01-10 08:00:00,2016-01-12 08:00:00,planned
Key Largo Substation - Cady 138 kV Ckt 1,2016-01-12 08:00:00,2016-01-16 08:00:00,planned
Bethesda - Doucette 138 kV Circuit 1,2016-01-12 08:00:00,2016-01-29 08:00:00,planned
Odessa Southwest - Chico A 138 kV Ckt 1,2016-01-18 08:00:00,2016-02-06 08:00:00,planned
Lafayette Springs - W K Sanders 100 kV Ckt 1,2016-01-14 08:00:00,2016-01-21 08:00:00,planned
Whillock - Boyntonville 138 kV Line 1,2016-01-12 08:00:00,2016-01-15 08:00:00,planned
Laporte Jct - Bear Island 138 kV,2016-01-13 08:00:00,2016-01-17 08:00:00,planned
Union Ridge - Bowling Green Generating Sta 100 kV,2016-01-12 08:00:00,2016-01-19 08:00:00,planned
Texaco Bt - Letterkenny 138 kV Line 1,2016-01-13 08:00:00,2016-01-15 08:00:00,planned
Castle Hills - Anderson 100 kV Ckt 1,2016-01-13 08:00:00,2016-01-19 08:00:00,planned
Brazosport - Owens Illinois Tap 138 kV,2016-01-14 08:00:00,2016-01-29 08:00:00,planned
Southbase - Brent 138 kV,2016-01-10 08:00:00,2016-01-15 08:00:00,planned
Gavin Powr Llc - Olympus 500 kV Ckt 1,2016-01-15 08:00:00,2016-01-19 08:00:00,planned
Ringgold - Dover Sun Park 138 kV Circuit 1,2016-01-19 08:00:00,2016-01-27 08:00:00,planned
Wing Lane - Wolfcamp 138 kV,2016-01-18 08:00:00,2016-01-31 08:00:00,planned
Roz - Meadowbrook 100 kV #1,2016-01-12 08:00:00,2016-01-18 08:00:00,planned
Yacht Club D.S Substation - Ortanna Substation 138 kV,2016-01-19 08:00:00,2016-01-30 08:00:00,planned
Laclede - Monroe 100 kV L,2016-01-11 08:00:00,2016-01-15 08:00:00,planned
Latin Quarter - Ocoee 100 kV,2016-01-11 08:00:00,2016-01-13 08:00:00,planned
Harrisburg - Doremus Place 138 kV Cir. 1,2016-01-19 08:00:00,2016-02-05 08:00:00,planned
Us Gypsum - Forbes 138 kV line,2016-01-18 08:00:00,2016-02-05 08:00:00,planned
Black Mesa - Osborne 138 kV Cir. 1,2016-01-19 08:00:00,2016-02-02 08:00:00,planned
Schultz - Deschutes 138 kV Ckt 1,2016-01-16 08:00:00,2016-01-20 08:00:00,planned
Keystone Heights Electrical - Verndale 138 kV Circuit 1,2016-01-19 08:00:00,2016-02-08 08:00:00,planned
Carmenita - Friendship Manor Substation 138 kV L,2016-01-11 08:00:00,2016-01-19 08:00:00,planned
Bagley - Ladysmith Tap 138 kV Circuit 1,2016-01-14 08:00:00,2016-01-17 08:00:00,planned
Basscreek - Walisville 100 kV Circuit 1,2016-01-16 08:00:00,2016-01-17 08:00:00,planned
Bondurant - Montgomery Village 138 kV Cir. 1,2016-01-12 08:00:00,2016-01-29 08:00:00,planned
Donaldson Creek Substation - Burnt Church 138 kV Line 1,2016-01-16 08:00:00,2016-01-26 08:00:00,planned
