project_id,queue_date,poi_sub_id,poi_kv,poi_name,project_type,fuel,mw,state,zone_id,source
Q11-0001,2011-01-01,16952,138.0,N. Shannon 138 kV,gen,wind,204.3,Kentucky,27,synthetic
Q11-0002,2011-01-02,6796,138.0,Holly Springs 138 kV,gen,other,71.6,Pennsylvania,10,synthetic
Q11-0003,2011-01-06,23506,500.0,Lincoln 500 kV,gen,gas,1500.0,Illinois,34,synthetic
Q11-0004,2011-01-14,10258,138.0,Goldfield 138 kV,gen,gas,298.5,Virginia,15,synthetic
Q11-0005,2011-01-19,7819,138.0,Deland West 138 kV,gen,solar,94.8,Pennsylvania,11,synthetic
Q11-0006,2011-01-22,6672,138.0,Gisler 138 kV,gen,other,14.5,Pennsylvania,10,synthetic
Q11-0007,2011-01-25,9818,138.0,Belleair 138 kV,battery,storage,63.7,Virginia,15,synthetic
Q11-0008,2011-01-28,22338,100.0,Shroud 100 kV,gen,gas,93.2,Indiana,33,synthetic
Q11-0009,2011-02-08,9923,138.0,Cholame 138 kV,gen,solar,196.3,Virginia,15,synthetic
Q11-0010,2011-02-10,6363,138.0,John Hart 138 kV,gen,other,98.4,Pennsylvania,10,synthetic
Q11-0011,2011-02-18,24640,230.0,Gardner 230 kV,gen,other,45.3,Illinois,35,synthetic
Q11-0012,2011-02-20,16480,138.0,Phillips Bend 138 kV,gen,solar,150.4,Tennessee,26,synthetic
Q11-0013,2011-02-21,8730,138.0,Lammers 138 kV,gen,solar,261.8,Maryland,13,synthetic
Q11-0014,2011-02-26,17675,138.0,Mt Vernon 138 kV,gen,wind,164.6,Kentucky,27,synthetic
Q11-0015,2011-02-26,18286,138.0,Fox Hills 138 kV,gen,gas,217.8,West Virginia,28,synthetic
Q11-0016,2011-02-27,5770,161.0,Jacks Creek 161 kV,gen,solar,170.5,New Jersey,9,synthetic
Q11-0017,2011-03-04,23148,100.0,High Point Fairfield 100 kV,gen,other,160.2,Illinois,34,synthetic
Q11-0018,2011-03-08,7676,138.0,Woodside 138 kV,gen,gas,1035.1,Pennsylvania,11,synthetic
Q11-0019,2011-03-10,7933,138.0,M105 138 kV,gen,solar,118.4,Pennsylvania,11,synthetic
Q11-0020,2011-03-16,7273,345.0,Hemet 345 kV,gen,gas,919.3,Pennsylvania,11,synthetic
Q11-0021,2011-03-20,23119,100.0,Cavern 100 kV,gen,gas,167.3,Illinois,34,synthetic
Q11-0022,2011-03-29,22589,100.0,Revere 100 kV,gen,gas,607.3,Indiana,33,synthetic
Q11-0023,2011-03-30,19531,230.0,Elkview Coal 230 kV,gen,wind,242.3,Ohio,29,synthetic
Q11-0024,2011-04-11,5365,138.0,Hilltop Alte 138 kV,gen,wind,323.7,New Jersey,9,synthetic
Q11-0025,2011-04-17,9224,138.0,Walerga- Antelope 138 kV,gen,gas,826.3,Virginia,14,synthetic
Q11-0026,2011-04-19,9552,138.0,Roosevelt Rd 138 kV,gen,solar,133.2,Virginia,14,synthetic
Q11-0027,2011-04-20,8823,345.0,Taber 345 kV,gen,gas,588.7,Maryland,13,synthetic
Q11-0028,2011-04-20,23450,100.0,Franklin Park 100 kV,gen,other,124.3,Illinois,34,synthetic
Q11-0029,2011-04-20,23478,100.0,Battle Creek 100 kV,gen,wind,150.9,Illinois,34,synthetic
Q11-0030,2011-04-22,9861,138.0,Custer 138 kV,gen,gas,421.7,Virginia,15,synthetic
Q11-0031,2011-04-24,7709,345.0,Blackrock 345 kV,load,load,197.4,Pennsylvania,11,synthetic
Q11-0032,2011-04-25,10198,138.0,Fuller Road 138 kV,gen,wind,183.3,Virginia,15,synthetic
Q11-0033,2011-05-06,22979,230.0,Weslaco 230 kV,battery,storage,158.3,Illinois,34,synthetic
Q11-0034,2011-05-09,10138,138.0,North Bluff 138 kV,gen,gas,95.7,Virginia,15,synthetic
Q11-0035,2011-05-10,18194,138.0,Ravenswood 138 kV,gen,gas,57.8,West Virginia,28,synthetic
Q11-0036,2011-05-17,7935,345.0,Fair Oaks 345 kV,gen,gas,169.4,Pennsylvania,11,synthetic
Q11-0037,2011-05-19,9386,138.0,Norrie 138 kV,gen,solar,171.8,Virginia,14,synthetic
Q11-0038,2011-05-20,5930,500.0,Campo Fresco 2 500 kV,gen,gas,302.3,New Jersey,9,synthetic
Q11-0039,2011-05-24,18434,345.0,Vonore 345 kV,load,load,357.2,West Virginia,28,synthetic
Q11-0040,2011-05-27,7511,138.0,James E. Rogers Energy Complex 138 kV,gen,solar,98.7,Pennsylvania,11,synthetic
Q11-0041,2011-05-27,5297,138.0,Hell Creek 138 kV,gen,gas,1500.0,New Jersey,9,synthetic
Q11-0042,2011-05-27,22338,100.0,Shroud 100 kV,gen,wind,209.5,Indiana,33,synthetic
Q11-0043,2011-06-09,7253,138.0,Medora 138 kV,load,load,193.4,Pennsylvania,11,synthetic
Q11-0044,2011-06-13,9535,138.0,Poages Mill 138 kV,gen,solar,491.3,Virginia,14,synthetic
Q11-0045,2011-06-14,9790,138.0,Winterpock 138 kV,gen,gas,966.1,Virginia,15,synthetic
Q11-0046,2011-06-15,22338,100.0,Shroud 100 kV,gen,gas,514.7,Indiana,33,synthetic
Q11-0047,2011-06-19,8242,138.0,Claim Jumper 138 kV,gen,wind,198.2,Pennsylvania,11,synthetic
Q11-0048,2011-06-19,23508,230.0,Dresden Generating Station 230 kV,gen,gas,513.3,Illinois,34,synthetic
Q11-0049,2011-06-19,23352,100.0,Texon 100 kV,gen,other,38.8,Illinois,34,synthetic
Q11-0050,2011-06-21,10516,69.0,Kathleen 69 kV,gen,solar,122.3,North Carolina,16,synthetic
Q11-0051,2011-06-22,20138,230.0,Cross Plains 230 kV,gen,other,6.1,Ohio,30,synthetic
Q11-0052,2011-06-25,18392,138.0,Olivia Park 138 kV,gen,other,213.6,West Virginia,28,synthetic
Q11-0053,2011-06-30,7090,345.0,Yorkana 345 kV,gen,solar,383.2,Pennsylvania,10,synthetic
Q11-0054,2011-07-01,6548,138.0,White Heath 138 kV,gen,wind,107.0,Pennsylvania,10,synthetic
Q11-0055,2011-07-10,22765,500.0,Sabanera 500 kV,gen,gas,844.0,Indiana,33,synthetic
Q11-0056,2011-07-13,7340,138.0,Katy 138 kV,gen,wind,124.8,Pennsylvania,11,synthetic
Q11-0057,2011-07-15,7522,138.0,Manchaca 138 kV,gen,solar,41.0,Pennsylvania,11,synthetic
Q11-0058,2011-07-17,22244,100.0,North Tifton 100 kV,gen,gas,373.3,Indiana,33,synthetic
Q11-0059,2011-07-18,10232,138.0,Green Run 138 kV,gen,other,97.9,Virginia,15,synthetic
Q11-0060,2011-07-24,9115,138.0,Mcauley 138 kV,gen,gas,744.1,Virginia,14,synthetic
Q11-0061,2011-07-25,9502,138.0,Candelaria 138 kV,load,load,220.0,Virginia,14,synthetic
Q11-0062,2011-07-30,18773,230.0,Cocodrie 230 kV,load,load,76.5,Ohio,29,synthetic
Q11-0063,2011-08-07,8857,138.0,Boulder Basin 138 kV,gen,gas,1130.5,Maryland,13,synthetic
Q11-0064,2011-08-16,9290,138.0,Parkin 138 kV,gen,wind,288.7,Virginia,14,synthetic
Q11-0065,2011-08-21,7007,138.0,Blount Street 138 kV,gen,solar,59.2,Pennsylvania,10,synthetic
Q11-0066,2011-08-25,22098,230.0,Dooville 230 kV,battery,storage,64.6,Indiana,33,synthetic
Q11-0067,2011-09-02,8556,138.0,Shawan Rd 138 kV,gen,gas,114.3,Maryland,13,synthetic
Q11-0068,2011-09-07,19596,100.0,Exxonmobil Baton Rouge Turbine Generator 100 kV,battery,storage,74.5,Ohio,30,synthetic
Q11-0069,2011-09-07,9369,138.0,West Bassett 138 kV,gen,solar,49.7,Virginia,14,synthetic
Q11-0070,2011-09-08,22673,100.0,Avena Tap 2 100 kV,gen,solar,184.2,Indiana,33,synthetic
Q11-0071,2011-09-17,22032,230.0,University 230 kV,gen,wind,132.8,Indiana,33,synthetic
Q11-0072,2011-09-19,22793,100.0,Blythewood 100 kV,load,load,183.2,Illinois,34,synthetic
Q11-0073,2011-09-29,22035,500.0,Jones Chapel 500 kV,load,load,672.7,Indiana,33,synthetic
Q11-0074,2011-09-29,21835,100.0,Hartford City 100 kV,gen,wind,181.9,Indiana,33,synthetic
Q11-0075,2011-10-09,7425,138.0,Corydon 138 kV,gen,solar,102.5,Pennsylvania,11,synthetic
Q11-0076,2011-10-18,9276,345.0,Bear 345 kV,gen,gas,591.2,Virginia,14,synthetic
Q11-0077,2011-10-22,7169,345.0,Ironwood Llc 345 kV,gen,gas,1057.6,Pennsylvania,10,synthetic
Q11-0078,2011-10-22,22979,230.0,Weslaco 230 kV,gen,solar,220.0,Illinois,34,synthetic
Q11-0079,2011-10-26,16190,138.0,Luka Tap 138 kV,load,load,42.1,Tennessee,26,synthetic
Q11-0080,2011-11-02,9223,138.0,North Huntington 138 kV,gen,solar,106.0,Virginia,14,synthetic
Q11-0081,2011-11-04,23161,500.0,Ibm Bailey 500 kV,gen,gas,929.5,Illinois,34,synthetic
Q11-0082,2011-11-06,19582,100.0,Redfield 100 kV,gen,solar,292.4,Ohio,29,synthetic
Q11-0083,2011-11-06,21390,100.0,Monroe 100 kV,gen,solar,112.2,Michigan,32,synthetic
Q11-0084,2011-11-15,10346,138.0,Mccabe 138 kV,load,load,390.2,North Carolina,16,synthetic
Q11-0085,2011-11-21,9668,138.0,Snowden 138 kV,load,load,173.2,Virginia,14,synthetic
Q11-0086,2011-11-23,7184,138.0,Stewart Mountain Dam 138 kV,gen,gas,267.8,Pennsylvania,11,synthetic
Q11-0087,2011-12-13,9907,138.0,Walney 138 kV,load,load,109.9,Virginia,15,synthetic
Q11-0088,2011-12-19,9467,345.0,Aspen 345 kV,gen,gas,786.0,Virginia,14,synthetic
Q11-0089,2011-12-27,18076,138.0,Mcross 138 kV,load,load,534.7,West Virginia,28,synthetic
Q11-0090,2011-12-27,19181,100.0,Ustick 100 kV,gen,wind,206.8,Ohio,29,synthetic
Q12-0091,2012-01-02,19012,230.0,Airline 230 kV,gen,gas,283.1,Ohio,29,synthetic
Q12-0092,2012-01-06,19572,500.0,Olympus 500 kV,gen,gas,1365.4,Ohio,29,synthetic
Q12-0093,2012-01-11,9218,138.0,Boonsboro 138 kV,gen,wind,100.3,Virginia,14,synthetic
Q12-0094,2012-01-12,9349,138.0,Mcconnico 138 kV,gen,solar,151.4,Virginia,14,synthetic
Q12-0095,2012-01-16,8943,138.0,Sandy Spring 138 kV,load,load,391.6,Maryland,13,synthetic
Q12-0096,2012-01-16,22338,100.0,Shroud 100 kV,load,load,103.5,Indiana,33,synthetic
Q12-0097,2012-01-20,19291,230.0,Combee Road 230 kV,gen,wind,405.2,Ohio,29,synthetic
Q12-0098,2012-01-21,10043,138.0,Indian Lake 138 kV,gen,wind,176.4,Virginia,15,synthetic
Q12-0099,2012-01-24,19381,100.0,Calamus 100 kV,gen,gas,114.8,Ohio,29,synthetic
Q12-0100,2012-01-26,23288,230.0,Cottonwood Tap 230 kV,gen,other,62.6,Illinois,34,synthetic
Q12-0101,2012-01-26,6768,138.0,Pico 138 kV,gen,gas,385.1,Pennsylvania,10,synthetic
Q12-0102,2012-02-02,19117,100.0,Viele 100 kV,gen,other,30.8,Ohio,29,synthetic
Q12-0103,2012-02-04,17060,138.0,Weber State University 138 kV,gen,wind,179.2,Kentucky,27,synthetic
Q12-0104,2012-02-13,17896,138.0,Rio Dell 138 kV,gen,wind,179.3,West Virginia,28,synthetic
Q12-0105,2012-02-13,7592,138.0,Salmon Creek 138 kV,load,load,178.9,Pennsylvania,11,synthetic
Q12-0106,2012-02-18,9170,138.0,North River D.P 138 kV,gen,solar,76.4,Virginia,14,synthetic
Q12-0107,2012-02-20,23508,100.0,Dresden Generating Station 100 kV,gen,gas,74.7,Illinois,34,synthetic
Q12-0108,2012-02-20,10270,138.0,Quantico 138 kV,gen,solar,114.8,Virginia,15,synthetic
Q12-0109,2012-02-25,7112,138.0,Talenenergy Martins Creek Llc Harwood 138 kV,gen,gas,228.3,Pennsylvania,10,synthetic
Q12-0110,2012-02-26,7184,138.0,Stewart Mountain Dam 138 kV,gen,other,61.9,Pennsylvania,11,synthetic
Q12-0111,2012-02-27,6464,138.0,Switch 138 kV,gen,gas,229.3,Pennsylvania,10,synthetic
Q12-0112,2012-03-03,22220,230.0,Monfort 230 kV,gen,gas,1001.5,Indiana,33,synthetic
Q12-0113,2012-03-09,9745,138.0,Fiesta 138 kV,gen,wind,173.6,Virginia,15,synthetic
Q12-0114,2012-03-09,19054,230.0,Winthrop 230 kV,gen,gas,1500.0,Ohio,29,synthetic
Q12-0115,2012-03-11,9685,138.0,Chincoteague 138 kV,load,load,171.0,Virginia,15,synthetic
Q12-0116,2012-03-16,9272,138.0,Celcia 138 kV,gen,solar,143.8,Virginia,14,synthetic
Q12-0117,2012-03-21,17323,138.0,Southwyck 138 kV,gen,gas,398.4,Kentucky,27,synthetic
Q12-0118,2012-03-22,7366,138.0,Wahtoke 138 kV,gen,solar,71.6,Pennsylvania,11,synthetic
Q12-0119,2012-03-24,5546,138.0,Monserate 138 kV,battery,storage,327.6,New Jersey,9,synthetic
Q12-0120,2012-03-26,5750,138.0,Oracle 138 kV,gen,wind,247.6,New Jersey,9,synthetic
Q12-0121,2012-04-02,19532,100.0,Cedar Valley 100 kV,load,load,102.4,Ohio,29,synthetic
Q12-0122,2012-04-04,7809,345.0,Carbon Center 345 kV,gen,wind,276.5,Pennsylvania,11,synthetic
Q12-0123,2012-04-08,18006,138.0,Darrah 138 kV,gen,gas,116.0,West Virginia,28,synthetic
Q12-0124,2012-04-11,9664,138.0,Pentland 138 kV,gen,solar,141.4,Virginia,14,synthetic
Q12-0125,2012-04-17,23271,100.0,Pittsfield Hydro 100 kV,gen,solar,505.6,Illinois,34,synthetic
Q12-0126,2012-04-21,23357,100.0,East Bismarck 100 kV,gen,wind,80.0,Illinois,34,synthetic
Q12-0127,2012-04-24,23530,230.0,Elwood 230 kV,gen,solar,330.2,Illinois,34,synthetic
Q12-0128,2012-05-11,22020,100.0,Northwest Tap 100 kV,gen,gas,1500.0,Indiana,33,synthetic
Q12-0129,2012-05-11,9290,138.0,Parkin 138 kV,gen,wind,90.0,Virginia,14,synthetic
Q12-0130,2012-05-13,8982,138.0,Pinal West 138 kV,gen,gas,97.5,Maryland,13,synthetic
Q12-0131,2012-05-15,9192,138.0,Erie 138 kV,gen,gas,505.0,Virginia,14,synthetic
Q12-0132,2012-06-03,8961,138.0,Oak Grove 138 kV,gen,gas,181.0,Maryland,13,synthetic
Q12-0133,2012-06-04,23337,100.0,Fielder Creek 100 kV,gen,wind,114.9,Illinois,34,synthetic
