project_id,study_type,publication_date,template,pdf_path
Q11-0010,system_impact,2012-01-01,C,data/studies/pdf/q110010_imp.pdf
Q11-0005,system_impact,2012-03-05,C,data/studies/pdf/q110005_imp.pdf
Q11-0006,system_impact,2012-02-17,C,data/studies/pdf/q110006_imp.pdf
Q11-0017,system_impact,2012-03-18,B,data/studies/pdf/q110017_imp.pdf
Q11-0025,system_impact,2012-03-25,B,data/studies/pdf/q110025_imp.pdf
Q11-0030,system_impact,2012-03-22,C,data/studies/pdf/q110030_imp.pdf
Q11-0007,system_impact,2012-04-22,A,data/studies/pdf/q110007_imp.pdf
Q11-0008,system_impact,2012-04-16,C,data/studies/pdf/q110008_imp.pdf
Q11-0013,system_impact,2012-05-04,B,data/studies/pdf/q110013_imp.pdf
Q11-0011,system_impact,2012-05-19,C,data/studies/pdf/q110011_imp.pdf
Q11-0014,system_impact,2012-06-22,B,data/studies/pdf/q110014_imp.pdf
Q11-0020,system_impact,2012-06-28,C,data/studies/pdf/q110020_imp.pdf
Q11-0022,system_impact,2012-06-24,B,data/studies/pdf/q110022_imp.pdf
Q11-0043,system_impact,2012-06-30,C,data/studies/pdf/q110043_imp.pdf
Q11-0059,system_impact,2012-06-25,C,data/studies/pdf/q110059_imp.pdf
Q11-0024,system_impact,2012-07-26,C,data/studies/pdf/q110024_imp.pdf
Q11-0037,system_impact,2012-07-23,B,data/studies/pdf/q110037_imp.pdf
Q11-0041,system_impact,2012-07-16,C,data/studies/pdf/q110041_imp.pdf
Q11-0009,system_impact,2012-08-21,C,data/studies/pdf/q110009_imp.pdf
Q11-0031,system_impact,2012-08-20,A,data/studies/pdf/q110031_imp.pdf
Q11-0053,system_impact,2012-08-21,A,data/studies/pdf/q110053_imp.pdf
Q11-0001,system_impact,2012-09-19,B,data/studies/pdf/q110001_imp.pdf
Q11-0026,system_impact,2012-10-02,B,data/studies/pdf/q110026_imp.pdf
Q11-0040,system_impact,2012-10-02,A,data/studies/pdf/q110040_imp.pdf
Q11-0077,system_impact,2012-09-24,A,data/studies/pdf/q110077_imp.pdf
Q11-0033,system_impact,2012-10-20,B,data/studies/pdf/q110033_imp.pdf
Q11-0044,system_impact,2012-10-16,C,data/studies/pdf/q110044_imp.pdf
Q11-0045,system_impact,2012-10-20,B,data/studies/pdf/q110045_imp.pdf
Q11-0049,system_impact,2012-10-29,C,data/studies/pdf/q110049_imp.pdf
Q11-0051,system_impact,2012-10-29,B,data/studies/pdf/q110051_imp.pdf
Q11-0023,system_impact,2012-11-22,C,data/studies/pdf/q110023_imp.pdf
Q11-0042,system_impact,2012-11-22,A,data/studies/pdf/q110042_imp.pdf
Q11-0063,system_impact,2012-11-16,B,data/studies/pdf/q110063_imp.pdf
Q11-0073,system_impact,2012-11-26,A,data/studies/pdf/q110073_imp.pdf
Q11-0079,system_impact,2012-12-01,B,data/studies/pdf/q110079_imp.pdf
Q11-0080,system_impact,2012-11-24,C,data/studies/pdf/q110080_imp.pdf
Q11-0084,system_impact,2012-11-15,B,data/studies/pdf/q110084_imp.pdf
Q11-0089,system_impact,2012-11-16,B,data/studies/pdf/q110089_imp.pdf
Q12-0091,system_impact,2012-12-04,B,data/studies/pdf/q120091_imp.pdf
Q11-0016,system_impact,2012-12-24,B,data/studies/pdf/q110016_imp.pdf
Q11-0050,system_impact,2012-12-31,B,data/studies/pdf/q110050_imp.pdf
Q11-0052,system_impact,2012-12-31,B,data/studies/pdf/q110052_imp.pdf
Q11-0060,system_impact,2012-12-24,B,data/studies/pdf/q110060_imp.pdf
Q11-0061,system_impact,2012-12-19,A,data/studies/pdf/q110061_imp.pdf
Q11-0062,system_impact,2012-12-15,A,data/studies/pdf/q110062_imp.pdf
Q11-0002,system_impact,2013-01-30,B,data/studies/pdf/q110002_imp.pdf
Q11-0028,system_impact,2013-01-30,C,data/studies/pdf/q110028_imp.pdf
Q11-0038,system_impact,2013-01-19,B,data/studies/pdf/q110038_imp.pdf
Q11-0071,system_impact,2013-01-31,C,data/studies/pdf/q110071_imp.pdf
Q11-0078,system_impact,2013-01-29,B,data/studies/pdf/q110078_imp.pdf
