project_id,publication_date,facility_str,fid,fid_confidence,in_public_layer,contingency_str,cont_fid,loading_pct,rating_mva,dfax_pct,pre_loading_pct,source,upgrade_str,cost_total_usd,cost_alloc_usd
Q11-0006,2012-02-17,Wallenpaupack 500-345 kV Transformer,X:7171:500:345,0.9959317467001126,True,Clear Springs 500/345 kV TX,X:6725:500:345,110.0,910.0,5.0,110.0,fields,Replace transformer with higher-rated unit,26254000.0,26254000.0
Q11-0006,2012-02-17,Pok St-Van Wagner 138 KV L,L:6213:6222:138,1.0,True,Walnut-W Gallatin 345 KV,L:6225:6714:345,107.3,242.0,9.9,106.7,fields,Reconductor line,3030000.0,3030000.0
Q11-0006,2012-02-17,Verde Mar 2605-Croton Falls 138 KV Line,L:6492:6500:138,1.0,True,West Gallatin-Walnut 345 KV,L:6225:6714:345,106.8,270.0,7.6,106.4,fields,Reconductor line,2196000.0,2196000.0
Q11-0017,2012-03-18,HIGH POINT FAIRFIELD-TROPIC ISLE 100 KV,L:23148:23451:100,1.0,True,COMPO 230-1 kV XFMR,X:23145:230:1,102.7,120.0,45.3,,prose_overloaded,Reconductor line,482000.0,482000.0
Q11-0025,2012-03-25,North Huntington to Walerga- Antelope 138kV,L:9223:9224:138,1.0,True,Moorland to Walerga- Antelope 138kV,L:9224:9379:138,344.7,236.0,100.0,,prose_overloaded,Rebuild line with higher-capacity conductor,3347000.0,3347000.0
Q11-0025,2012-03-25,Leesville Substation to Penhook 138kV,L:9380:9667:138,1.0,True,N Huntington to Walerga- Antelope 138kV,L:9223:9224:138,145.9,221.0,40.4,,prose_overloaded,Rebuild line with higher-capacity conductor,15282000.0,15282000.0
Q11-0025,2012-03-25,S Colton to Otter 138kV Line 2,L:9203:9521:138,1.0,True,S Colton to Otter 138kV,L:9203:9521:138,144.5,284.0,16.3,,prose_overloaded,Rebuild line with higher-capacity conductor,7072000.0,7072000.0
Q11-0025,2012-03-25,Enslen to Otter 138kV #1,L:9214:9521:138,1.0,True,Enslen to Otter 138kV Cir. 2,L:9214:9521:138,126.7,304.0,15.0,,prose_overloaded,Rebuild line with higher-capacity conductor,11700000.0,11700000.0
Q11-0025,2012-03-25,Flowood to Otter Riv 138kV,L:9284:9285:138,1.0,True,North Huntington to Walerga- Antelope 138kV,L:9223:9224:138,119.2,251.0,18.6,,prose_overloaded,Rebuild line with higher-capacity conductor,10332000.0,10332000.0
Q11-0025,2012-03-25,Brush Tavern to Rustburg 138kV L,L:9220:9222:138,1.0,True,Cover to Bear 345kV,L:9276:9669:345,118.4,243.0,11.0,,prose_overloaded,Rebuild line with higher-capacity conductor,10917000.0,10917000.0
Q11-0025,2012-03-25,Leavitt to Birchwood 345kV,L:9944:10290:345,1.0,True,Fluvanna P.S to Louisa Generation Facility 345kV,L:9631:9643:345,109.8,1384.0,16.9,,prose_overloaded,Reconductor line,51397000.0,51397000.0
Q11-0025,2012-03-25,Michigan Power Lp to Blue Ridge 138kV,L:9201:9225:138,1.0,True,Reusens to Huntington Court 345kV line,L:9219:9243:345,109.8,255.0,6.6,,prose_overloaded,Reconductor line,2215000.0,2215000.0
Q11-0025,2012-03-25,Walerga- Antelope to Moorland 138kV L,L:9224:9379:138,1.0,True,Walerga- Antelope to North Huntington 138kV L,L:9223:9224:138,336.2,242.0,100.0,,prose_loss,Rebuild line with higher-capacity conductor,14471000.0,14471000.0
Q11-0025,2012-03-25,Penhook to Island Fals 138kV,L:9380:9381:138,1.0,True,Walerga- Antelope to N Huntington 138kV,L:9223:9224:138,283.4,190.0,57.2,,prose_loss,Rebuild line with higher-capacity conductor,5878000.0,5878000.0
Q11-0025,2012-03-25,Island Falls to Moorland 138kV,L:9379:9381:138,1.0,True,North Huntington to Walerga- Antelope 138kV L,L:9223:9224:138,278.7,195.0,57.2,,prose_loss,Rebuild line with higher-capacity conductor,8672000.0,8672000.0
Q11-0025,2012-03-25,N Huntington to Enslen 138kV Line,L:9214:9223:138,1.0,True,North Huntington to Florida 138kV,L:9210:9223:138,223.4,201.0,43.8,,prose_loss,Rebuild line with higher-capacity conductor,19744000.0,19744000.0
Q11-0025,2012-03-25,Skiffes Crk to Michigan Power Lp 138kV L,L:9201:9202:138,1.0,True,Reusens to Huntington Court 345kV,L:9219:9243:345,127.6,271.0,15.8,,prose_loss,Rebuild line with higher-capacity conductor,5424000.0,5424000.0
Q11-0025,2012-03-25,Ensln to Otter 138kV Circuit 2,L:9214:9521:138,1.0,True,Enslen to Otter 138kV Ckt 1,L:9214:9521:138,123.3,313.0,15.0,,prose_loss,Rebuild line with higher-capacity conductor,11700000.0,11700000.0
Q11-0025,2012-03-25,North Huntington Substation to Florida 138kV,L:9210:9223:138,1.0,True,Huntington Court to Reusens 345kV Line,L:9219:9243:345,122.0,305.0,15.8,,prose_loss,Rebuild line with higher-capacity conductor,9323000.0,9323000.0
Q11-0025,2012-03-25,Otter River to Belagio Substation 138kV,L:9285:9522:138,1.0,True,N Huntington to Walerga- Antelope 138kV,L:9223:9224:138,120.7,255.0,18.6,,prose_loss,Rebuild line with higher-capacity conductor,3399000.0,3399000.0
Q11-0025,2012-03-25,Yaphank to South Colton 138kV,L:9203:9205:138,1.0,True,Enslen to Cristianitos 138kV line,L:9197:9214:138,120.6,289.0,9.3,,prose_loss,Rebuild line with higher-capacity conductor,7586000.0,7586000.0
Q11-0025,2012-03-25,Monel to Rustburg 138kV,L:9154:9222:138,1.0,True,Bear to Clover 345kV,L:9276:9669:345,113.9,223.0,11.0,,prose_loss,Rebuild line with higher-capacity conductor,16001000.0,16001000.0
Q11-0025,2012-03-25,Otter to S Colton 138kV Line 1,L:9203:9521:138,1.0,True,Otter to South Colton 138kV #2,L:9203:9521:138,141.9,289.0,16.3,,prose_colon,Rebuild line with higher-capacity conductor,7072000.0,7072000.0
Q11-0025,2012-03-25,S Crk Substation to Aibonito Pds 138kV,L:9162:9163:138,1.0,True,Clover to Bear 345kV,L:9276:9669:345,124.5,260.0,7.7,,prose_colon,Rebuild line with higher-capacity conductor,7738000.0,7738000.0
Q11-0025,2012-03-25,Berlin Gorham to Skiffes Creek 138kV,L:9202:9211:138,1.0,True,Huntington Court to Reusens Substation 345kV,L:9219:9243:345,117.1,306.0,15.8,,prose_colon,Rebuild line with higher-capacity conductor,11572000.0,11572000.0
Q11-0025,2012-03-25,Bear to Leavitt 345kV Circuit 2,L:9276:9944:345,1.0,True,Leavitt to Bear 345kV Circuit 1,L:9276:9944:345,112.7,1510.0,16.6,,prose_colon,Rebuild line with higher-capacity conductor,165450000.0,165450000.0
Q11-0025,2012-03-25,Desert Outpost to S Texa 138kV line,L:9152:9153:138,1.0,True,Brush Tavern to Rustburg 138kV Line,L:9220:9222:138,112.4,247.0,8.9,,prose_colon,Rebuild line with higher-capacity conductor,1268000.0,1268000.0
Q11-0025,2012-03-25,Russell Fork to Robison Park 230kV,L:21796:22493:230,1.0,True,Jones Chapel Substation to Dekalb 500kV,L:21759:22035:500,112.3,557.0,7.8,,prose_colon,Rebuild line with higher-capacity conductor,43934000.0,43934000.0
Q11-0025,2012-03-25,Florida to Berlin Gorham 138kV,L:9210:9211:138,1.0,True,Reusens to Huntington Court 345kV,L:9219:9243:345,109.9,334.0,15.8,,prose_colon,Reconductor line,1240000.0,1240000.0
Q11-0030,2012-03-22,Tombstone Substation – Sharyland 345.0 kV,L:6300:6521:345,1.0,True,Tombstone – Bixby Hill 500.0 kV,L:6300:7127:500,107.9,1152.0,7.3,105.2,fields,Reconductor line,20418000.0,20418000.0
Q11-0030,2012-03-22,Sideburn – Yavapai 138.0 kV,L:9859:9860:138,1.0,True,Rocky Reach – Idaho Springs 138.0 kV,L:10074:10158:138,106.8,238.0,8.6,91.6,fields,Reconductor line,505000.0,505000.0
Q11-0030,2012-03-22,Fairfax Substation – Jeune Landing 138.0 kV,L:9910:9912:138,0.9998032558478204,False,Occoquan – Covanta Fairfax Energy 138.0 kV L,L:9913:10159:138,104.3,184.0,29.8,36.0,fields,Reconductor line,517000.0,517000.0
Q11-0030,2012-03-22,Sharyland – Bixby Hill 345.0 kV line,L:6521:7127:345,1.0,True,Tombstone – Bixby Hill 500.0 kV line,L:6300:7127:500,101.9,1206.0,7.4,99.3,fields,Reconductor line,12797000.0,12797000.0
Q11-0030,2012-03-22,Loving South – Custer 138.0 kV Line,L:9861:9911:138,1.0,True,Fairfax – Franonia 138.0 kV,L:9910:9914:138,101.1,242.0,31.4,46.3,fields,Reconductor line,361000.0,361000.0
Q11-0007,2012-04-22,ROSS FORK - ARTESIA COUNTRY CLUB 138 kV,L:8612:8613:138,1.0,True,ARTESIA COUNTRY CLUB - AIR FORCE BASE 345 kV,L:8612:8849:345,121.3,231.0,6.5,,table,Rebuild line with higher-capacity conductor,3609000.0,3609000.0
Q11-0007,2012-04-22,ROBISON PARK - RUSSEL FORK 230 kV,L:21796:22493:230,1.0,True,DEKALB SUBSTATION - JONES CHAPEL 500 kV,L:21759:22035:500,120.5,557.0,7.8,,table,Rebuild line with higher-capacity conductor,41441000.0,41441000.0
Q11-0007,2012-04-22,CONCORD - BLUEBONNET 230 kV,L:22022:22024:230,1.0,True,DEKALB - JONES CHAPEL 500 kV,L:21759:22035:500,118.5,499.0,5.2,,table,Rebuild line with higher-capacity conductor,22384000.0,22384000.0
Q11-0007,2012-04-22,BLUEBONNET - JONES CHAPEL 230 kV,L:22024:22035:230,1.0,True,ROBISON PARK - RUSSELL FORK 230 kV,L:21796:22493:230,116.7,575.0,5.1,,table,Rebuild line with higher-capacity conductor,24051000.0,24051000.0
Q11-0007,2012-04-22,LORETTO - CROCKETT 138 kV,L:18388:18389:138,1.0,True,URBAN - AMERICAN 345 kV,L:9069:18127:345,116.3,380.0,7.9,,table,Rebuild line with higher-capacity conductor,4596000.0,4596000.0
Q11-0007,2012-04-22,GRAVEL RIDGE - SHEPHERDSTOWN 138 kV L,L:17921:17923:138,1.0,True,AMRICAN - URBAN 345 kV line,L:9069:18127:345,115.1,298.0,7.3,,table,Rebuild line with higher-capacity conductor,1766000.0,1766000.0
Q11-0007,2012-04-22,DAM NO. 4 HYDRO STA - GRVEL RIDGE 138 kV L,L:9030:17923:138,1.0,True,AMERICAN - URBAN 345 kV,L:9069:18127:345,114.8,304.0,7.3,,table,Rebuild line with higher-capacity conductor,3738000.0,3738000.0
Q11-0007,2012-04-22,MIDSET - EDENS RIDGE 138 kV,L:9396:9577:138,1.0,True,AMERICAN - URBAN 345 kV,L:9069:18127:345,114.6,190.0,7.0,,table,Rebuild line with higher-capacity conductor,11053000.0,11053000.0
Q11-0007,2012-04-22,WHEELER - PASCO CNTY SOLID WASTE RESOURCE RECOVERY 138 kV,L:9927:10065:138,1.0,True,LOUDON - THOMASTON SUBSTATION 345 kV,L:9864:10070:345,110.9,231.0,11.2,,table,Rebuild line with higher-capacity conductor,4068000.0,4068000.0
Q11-0007,2012-04-22,BLUEBONNET - RUSSELL FORK 230 kV,L:22024:22493:230,1.0,True,DEKALB - JONES CHAPEL 500 kV,L:21759:22035:500,108.6,486.0,5.7,,table,Reconductor line,15605000.0,15605000.0
Q11-0007,2012-04-22,WEST WINCHESTER - INTERNATINAL PAPER VALLIANT OK 138 kV,L:9397:9399:138,1.0,True,KEARNEYVILLE - INTERNATIONAL PAPER VALLIANT OK 345 kV,L:9399:17910:345,108.4,307.0,10.8,,table,Reconductor line,679000.0,679000.0
Q11-0007,2012-04-22,MIDSET - BROOKLYN CITY NORTH PLANT 138 kV,L:9398:9577:138,1.0,True,AMERICAN - URBAN 345 kV,L:9069:18127:345,104.2,186.0,6.8,,table,Reconductor line,3989000.0,3989000.0
Q11-0007,2012-04-22,TWIN LAKES ALTE - T.S. POWER 138 kV,L:10147:10148:138,1.0,True,THOMASTON - LOUDON 345 kV line,L:9864:10070:345,101.0,185.0,16.7,,table,Reconductor line,1251000.0,1251000.0
Q11-0007,2012-04-22,EDENS RIDGE - FIREWHEEL SUBSTATION 138 kV,L:9396:18129:138,1.0,True,AMERICAN - URBAN 345 kV,L:9069:18127:345,100.8,242.0,7.0,,table,Reconductor line,2792000.0,2792000.0
Q11-0008,2012-04-16,Southeast Chicago Energy Project Substation / Shroud 100 KV line,L:22338:22941:100,1.0,True,Shroud / Elm Creek 100 KV L,L:22338:22943:100,133.2,119.0,65.1,82.0,fields,Rebuild line with higher-capacity conductor,2810000.0,2810000.0
Q11-0008,2012-04-16,Shroud / Elm Creek 100 KV,L:22338:22943:100,1.0,True,Southeast Chicago Energy Project / Shroud 100 KV,L:22338:22941:100,112.4,137.0,51.9,77.1,fields,Rebuild line with higher-capacity conductor,747000.0,747000.0
Q11-0008,2012-04-16,Hegewisch / Tower Automotive 100 KV line,L:22958:22963:100,1.0,True,Tower Automotive / Hegewisch 100 KV line,L:22958:22963:100,111.6,150.0,25.3,95.8,fields,Reconductor line,794000.0,794000.0
Q11-0008,2012-04-16,Hegewisch / Tower Automotive 100 KV Line 2,L:22958:22963:100,1.0,True,Tower Automotive / Hegewish 100 KV Cir. 1,L:22958:22963:100,100.8,166.0,25.3,86.6,fields,Reconductor line,794000.0,794000.0
Q11-0013,2012-05-04,SADDLEBROOKE RANCH to LAMMERS SUBSTATION 138.0 kV,L:8375:8730:138,1.0,True,VIENNA OPERATIONS to EASTON 2 345.0 kV,L:9055:9068:345,103.3,532.0,29.6,,prose_loss,Reconductor line,5029000.0,5029000.0
Q11-0013,2012-05-04,SUNSET to SADDLEBROOKE RANCH 138.0 kV,L:8357:8375:138,1.0,True,VIENNA OPERATIONS to EASTON 2 345.0 kV,L:9055:9068:345,103.9,345.0,12.7,,prose_colon,Reconductor line,2793000.0,2793000.0
Q11-0011,2012-05-19,43Rd St Terminal to Grand Ridge Battery Projects 230 kV,L:23445:23477:230,1.0,True,43Rd St Terminal to Grand Ridge Battery Projects 230 kV Circuit 1,L:23445:23477:230,100.2,843.0,14.7,99.5,fields,Reconductor line,39374000.0,22178000.0
Q11-0014,2012-06-22,HUBBARDSTOWN to BAKER 138 kV,L:17843:17860:138,1.0,True,HUBBARDSTOWN to BAKER 345 kV line,L:17843:17860:345,101.1,504.0,12.7,,prose_loss,Reconductor line,573000.0,573000.0
Q11-0020,2012-06-28,Dekalb-Robison Park 230kV line,L:21759:21796:230,1.0,True,Jones Chapel-Dekalb 500kV,L:21759:22035:500,110.2,777.0,6.0,103.1,fields,Rebuild line with higher-capacity conductor,48114000.0,48114000.0
Q11-0020,2012-06-28,Hemet 138/1 kV Autotransformer,X:7273:138:1,1.0,True,Hemet-Filer 345kV Line,L:7273:8206:345,104.9,513.0,55.3,5.8,fields,Replace transformer with higher-rated unit,4372000.0,4372000.0
Q11-0020,2012-06-28,Robison Park-Russell Fork 230kV,L:21796:22493:230,1.0,True,Dekalb-Jones Capel 500kV,L:21759:22035:500,103.6,771.0,7.8,94.3,fields,Reconductor line,17705000.0,17705000.0
Q11-0020,2012-06-28,West Campus-Ft Humbug 345kV,L:7673:8103:345,0.9858636970100758,False,Orchard Rd-Fort Humbug 500kV line,L:7672:8103:500,102.2,1166.0,8.2,95.8,fields,Reconductor line,48189000.0,48189000.0
Q11-0020,2012-06-28,Russell Fork-Bluebonnet 230kV,L:22024:22493:230,1.0,True,Jones Chapel-Dekalb 500kV Line,L:21759:22035:500,102.0,607.0,5.7,93.4,fields,Reconductor line,19987000.0,19987000.0
Q11-0020,2012-06-28,Concord-Bluebonnet 230kV,L:22022:22024:230,1.0,True,Jones Chapel-Dekalb 500kV,L:21759:22035:500,100.8,679.0,5.2,93.7,fields,Reconductor line,6134000.0,6134000.0
Q11-0022,2012-06-24,Revere-E Astoria 100kV,L:22581:22589:100,1.0,True,Calvert-Revee 100kV,L:22583:22589:100,585.2,102.0,100.0,,prose_overloaded,Rebuild line with higher-capacity conductor,3340000.0,3340000.0
Q11-0022,2012-06-24,Revere-Calvert Substation 100kV Line,L:22583:22589:100,1.0,True,E Astoria-Revere 100kV L,L:22581:22589:100,540.3,111.0,100.0,,prose_overloaded,Rebuild line with higher-capacity conductor,1838000.0,1838000.0
