project_id,publication_date,parsed_project_id,mw,poi_str,n_facilities_stated,n_findings_parsed,n_fid_resolved,total_cost_usd,n_queue_ahead,warnings,template
Q11-0010,2012-01-01,Q11-0010,98.4,,,0,0,0.0,9.0,,C
Q11-0005,2012-03-05,Q11-0005,94.8,,,0,0,0.0,,,C
Q11-0006,2012-02-17,Q11-0006,14.5,,3.0,3,3,31480000.0,4.0,,C
Q11-0017,2012-03-18,Q11-0017,160.2,,1.0,1,1,482000.0,14.0,,B
Q11-0025,2012-03-25,Q11-0025,826.3,,25.0,25,23,449498000.0,,,B
Q11-0030,2012-03-22,Q11-0030,421.7,,5.0,5,5,34598000.0,26.0,,C
Q11-0007,2012-04-22,Q11-0007,63.7,,14.0,14,14,141022000.0,4.0,,A
Q11-0008,2012-04-16,Q11-0008,93.2,,4.0,4,3,6069000.0,,,C
Q11-0013,2012-05-04,Q11-0013,261.8,,2.0,2,2,7822000.0,,,B
Q11-0011,2012-05-19,Q11-0011,45.3,,1.0,1,1,22178000.0,8.0,,C
Q11-0014,2012-06-22,Q11-0014,164.6,,1.0,1,1,573000.0,11.0,,B
Q11-0020,2012-06-28,Q11-0020,919.3,,6.0,6,6,144501000.0,,,C
Q11-0022,2012-06-24,Q11-0022,607.3,,17.0,17,17,45474000.0,,,B
Q11-0043,2012-06-30,Q11-0043,193.4,,,0,0,0.0,,,C
Q11-0059,2012-06-25,Q11-0059,97.9,,25.0,25,25,308821000.0,54.0,,C
Q11-0024,2012-07-26,Q11-0024,323.7,,7.0,7,7,6339000.0,20.0,,C
Q11-0037,2012-07-23,Q11-0037,171.8,,14.0,14,14,53615000.0,32.0,,B
Q11-0041,2012-07-16,Q11-0041,1500.0,,25.0,25,25,93751000.0,,,C
Q11-0009,2012-08-21,Q11-0009,196.3,,4.0,4,4,3735000.0,,,C
Q11-0031,2012-08-20,Q11-0031,197.4,,2.0,2,2,5906000.0,,,A
Q11-0053,2012-08-21,Q11-0053,383.2,,1.0,1,1,2546000.0,,,A
Q11-0001,2012-09-19,Q11-0001,204.3,,21.0,21,21,275594000.0,0.0,,B
Q11-0026,2012-10-02,Q11-0026,133.2,,5.0,5,5,18233000.0,,,B
Q11-0040,2012-10-02,Q11-0040,98.7,,3.0,3,3,10245000.0,35.0,,A
Q11-0077,2012-09-24,Q11-0077,1057.6,,8.0,8,8,61755000.0,,,A
Q11-0033,2012-10-20,Q11-0033,158.3,,8.0,8,8,21396000.0,29.0,,B
Q11-0044,2012-10-16,Q11-0044,491.3,,25.0,25,25,94182000.0,39.0,,C
Q11-0045,2012-10-20,Q11-0045,966.1,,25.0,25,25,128843000.0,,,B
Q11-0049,2012-10-29,Q11-0049,38.8,,1.0,1,1,551000.0,42.0,,C
Q11-0051,2012-10-29,Q11-0051,6.1,,,0,0,0.0,46.0,,B
Q11-0023,2012-11-22,Q11-0023,242.3,,2.0,2,2,9347000.0,18.0,,C
Q11-0042,2012-11-22,Q11-0042,209.5,,14.0,14,11,10759000.0,34.0,,A
Q11-0063,2012-11-16,Q11-0063,1130.5,,25.0,25,25,73805000.0,,,B
Q11-0073,2012-11-26,Q11-0073,672.7,,7.0,7,7,91246000.0,,,A
Q11-0079,2012-12-01,Q11-0079,42.1,,5.0,5,5,58414000.0,,,B
Q11-0080,2012-11-24,Q11-0080,106.0,,25.0,25,25,20529000.0,,,C
Q11-0084,2012-11-15,Q11-0084,390.2,,25.0,25,25,270526000.0,,,B
Q11-0089,2012-11-16,Q11-0089,534.7,,17.0,17,17,126936000.0,,,B
Q12-0091,2012-12-04,Q12-0091,283.1,,,0,0,0.0,,,B
Q11-0016,2012-12-24,Q11-0016,170.5,,,0,0,0.0,,,B
Q11-0050,2012-12-31,Q11-0050,122.3,,25.0,25,23,243054000.0,,,B
Q11-0052,2012-12-31,Q11-0052,213.6,,1.0,1,1,2186000.0,46.0,,B
Q11-0060,2012-12-24,Q11-0060,744.1,,25.0,25,25,126833000.0,,,B
Q11-0061,2012-12-19,Q11-0061,220.0,,10.0,10,9,34978000.0,,,A
Q11-0062,2012-12-15,Q11-0062,76.5,,1.0,1,1,5921000.0,55.0,,A
Q11-0002,2013-01-30,Q11-0002,71.6,,,0,0,0.0,,,B
Q11-0028,2013-01-30,Q11-0028,124.3,,,0,0,0.0,22.0,,C
Q11-0038,2013-01-19,Q11-0038,302.3,,,0,0,0.0,,,B
Q11-0071,2013-01-31,Q11-0071,132.8,,,0,0,0.0,62.0,,C
Q11-0078,2013-01-29,Q11-0078,220.0,,,0,0,0.0,67.0,,B
Q12-0104,2013-01-22,Q12-0104,179.3,,6.0,6,6,13194000.0,92.0,,B
Q11-0012,2013-02-15,Q11-0012,150.4,,,0,0,0.0,,,B
Q11-0015,2013-02-22,Q11-0015,217.8,,,0,0,0.0,,,A
Q11-0027,2013-02-24,Q11-0027,588.7,,,0,0,0.0,,,B
Q11-0048,2013-03-03,Q11-0048,513.3,,3.0,3,2,24371000.0,,,B
Q11-0056,2013-03-04,Q11-0056,124.8,,,0,0,0.0,49.0,,B
Q11-0069,2013-02-22,Q11-0069,49.7,,14.0,14,14,29939000.0,,,A
Q11-0019,2013-03-22,Q11-0019,118.4,,25.0,25,25,125634000.0,,,C
Q11-0029,2013-03-18,Q11-0029,150.9,,4.0,4,4,16467000.0,22.0,,B
Q11-0032,2013-03-16,Q11-0032,183.3,,1.0,1,1,103000.0,27.0,,B
Q11-0035,2013-03-27,Q11-0035,57.8,,,0,0,0.0,,,C
Q11-0076,2013-03-16,Q11-0076,591.2,,8.0,8,8,25465000.0,,,B
Q11-0081,2013-03-31,Q11-0081,929.5,,,0,0,0.0,,,C
Q11-0090,2013-03-25,Q11-0090,206.8,,5.0,5,5,22634000.0,78.0,,B
Q12-0099,2013-03-30,Q12-0099,114.8,,7.0,7,7,17225000.0,,,B
Q12-0102,2013-03-28,Q12-0102,30.8,,,0,0,0.0,90.0,,B
Q12-0114,2013-03-28,Q12-0114,1500.0,,6.0,6,6,67522000.0,,,A
Q12-0122,2013-03-31,Q12-0122,276.5,,2.0,2,2,6653000.0,106.0,,C
Q11-0018,2013-04-28,Q11-0018,1035.1,,17.0,17,17,113347000.0,,,B
Q11-0039,2013-05-03,Q11-0039,357.2,,8.0,8,8,38358000.0,,,C
Q11-0068,2013-05-02,Q11-0068,74.5,,8.0,8,6,39390000.0,56.0,,C
Q11-0074,2013-04-15,Q11-0074,181.9,,14.0,14,14,65541000.0,60.0,,B
Q12-0092,2013-04-24,Q12-0092,1365.4,,16.0,16,16,237391000.0,,,B
Q12-0108,2013-04-20,Q12-0108,114.8,,2.0,2,2,72000.0,,,C
Q12-0118,2013-04-29,Q12-0118,71.6,,,0,0,0.0,,,B
Q12-0119,2013-04-21,Q12-0119,327.6,,11.0,11,11,25782000.0,,,C
Q12-0123,2013-04-17,Q12-0123,116.0,,1.0,1,1,73000.0,,,C
