branch,fid,kind,sub_a,sub_b,kv,rate,touches_external,length_km,circuit
0,L:2561:5214:500,L,2561,5214,500.0,2898.17,True,43.985948095843284,1
1,L:2597:3442:161,L,2597,3442,161.0,290.43,False,4.745448519662642,1
2,L:2597:5214:161,L,2597,5214,161.0,285.49,False,4.1358263316175,1
3,B:2601:161,B,2601,2601,161.0,0.0,False,0.0,1
4,L:2601:2620:161,L,2601,2620,161.0,259.05,False,0.8919578608133798,1
5,L:2601:2722:161,L,2722,2601,161.0,220.29,False,1.69109028021716,1
6,L:2601:2980:161,L,2601,2980,161.0,246.92,False,3.2169417644983787,1
7,L:2601:3512:161,L,2601,3512,161.0,284.06,True,1.4670849507957175,1
8,L:2604:3442:161,L,2604,3442,161.0,293.6,True,11.398969944398546,1
9,L:2619:2635:161,L,2619,2635,161.0,263.64,False,2.4338250380723894,1
10,L:2619:2936:161,L,2619,2936,161.0,276.04,False,4.337000371428313,1
11,L:2620:2954:161,L,2954,2620,161.0,246.36,False,1.9011932214638758,1
12,B:2621:161,B,2621,2621,161.0,0.0,False,0.0,1
13,L:2621:2622:161,L,2621,2622,161.0,248.86,False,1.5862838867742728,1
14,L:2621:2928:161,L,2928,2621,161.0,220.91,False,1.8162000229214608,1
15,B:2622:161,B,2622,2622,161.0,0.0,False,0.0,1
16,L:2622:2921:161,L,2921,2622,161.0,277.06,False,2.065806250400739,1
17,L:2622:2933:161,L,2622,2933,161.0,244.63,False,1.5337464454683136,1
18,X:2625:161:1,X,2625,2625,161.0,215.87,False,0.0,1
19,B:2625:161,B,2625,2625,161.0,0.0,False,0.0,1
20,B:2625:161,B,2625,2625,161.0,0.0,False,0.0,2
21,X:2625:14:1,X,2625,2625,13.8,107.93,False,0.0,1
22,X:2625:14:1,X,2625,2625,13.8,107.93,False,0.0,2
23,L:2625:2650:161,L,2625,2650,161.0,275.4,False,1.9387517724476626,1
24,L:2625:2931:161,L,2625,2931,161.0,282.95,True,6.551893158032028,1
25,L:2631:2722:161,L,2631,2722,161.0,241.65,False,1.276333407566774,1
26,L:2631:2928:161,L,2631,2928,161.0,238.16,False,6.177556786809627,1
27,L:2631:2940:161,L,2631,2940,161.0,240.75,False,3.539420676772722,1
28,L:2631:2944:161,L,2631,2944,161.0,287.56,True,4.530706246858103,1
29,L:2634:2940:161,L,2634,2940,161.0,203.24,False,1.7275654702772163,1
30,L:2634:2971:161,L,2634,2971,161.0,232.59,False,4.614626706773869,1
31,L:2635:2650:161,L,2635,2650,161.0,243.23,False,1.164045826809737,1
32,L:2635:2927:161,L,2635,2927,161.0,259.39,True,5.26841047926741,1
33,L:2635:2941:161,L,2635,2941,161.0,261.89,False,1.3209898619938463,1
34,L:2648:2650:161,L,2650,2648,161.0,240.69,False,2.06222553137919,1
35,L:2648:2654:161,L,2648,2654,161.0,264.26,True,7.0393265732201336,1
36,X:2650:161:138,X,2650,2650,161.0,116.38,False,0.0,1
37,X:2650:161:138,X,2650,2650,161.0,116.38,False,0.0,2
38,X:2650:161:138,X,2650,2650,161.0,116.38,False,0.0,3
39,B:2650:161,B,2650,2650,161.0,0.0,False,0.0,1
40,L:2650:5199:138,L,5199,2650,138.0,226.74,False,0.1680786440447017,1
41,L:2650:5217:138,L,2650,5217,138.0,234.83,False,6.698174184195607,1
42,L:2653:3053:161,L,3053,2653,161.0,254.66,True,2.3601017285429275,1
43,L:2654:2921:161,L,2654,2921,161.0,303.76,True,1.4528402455330198,1
44,L:2654:2921:161,L,2654,2921,161.0,303.76,True,1.4528402455330198,2
45,L:2722:2948:161,L,2722,2948,161.0,242.32,False,2.5488344412162713,1
46,L:2722:2956:161,L,2722,2956,161.0,230.0,True,2.581848386184814,1
47,L:2729:2774:161,L,2729,2774,161.0,235.34,True,4.546886012192109,1
48,L:2734:2756:161,L,2756,2734,161.0,242.14,False,1.6572966354016356,1
49,L:2734:2965:161,L,2734,2965,161.0,230.74,False,3.324595215215673,1
50,B:2755:161,B,2755,2755,161.0,0.0,False,0.0,1
51,L:2755:2774:161,L,2774,2755,161.0,225.11,False,2.2940011675521563,1
52,L:2755:2797:161,L,2755,2797,161.0,250.7,False,5.749352273930066,1
53,L:2755:2957:161,L,2957,2755,161.0,243.83,False,3.4866094087108044,1
54,L:2755:2968:161,L,2968,2755,161.0,256.86,False,1.5957341759985864,1
55,L:2755:3054:161,L,3054,2755,161.0,263.09,True,1.9714388447757707,1
56,L:2756:2768:161,L,2768,2756,161.0,244.77,False,1.2915616927089457,1
57,L:2756:2961:161,L,2756,2961,161.0,243.52,False,1.4300451164587806,1
58,B:2768:161,B,2768,2768,161.0,0.0,False,0.0,1
59,L:2768:2984:161,L,2984,2768,161.0,267.29,True,2.216327255282892,1
60,L:2769:2961:161,L,2961,2769,161.0,259.46,False,0.9911930888081892,1
