fid,kind,sub_a,sub_b,kv,length_km,n_circuits,public_visible
B:10001:138,B,10001,10001,138.0,0.0,1,True
B:10002:138,B,10002,10002,138.0,0.0,1,True
B:10003:138,B,10003,10003,138.0,0.0,1,True
B:10007:138,B,10007,10007,138.0,0.0,1,True
B:10010:138,B,10010,10010,138.0,0.0,1,True
B:10012:138,B,10012,10012,138.0,0.0,1,True
B:10014:345,B,10014,10014,345.0,0.0,1,True
B:10016:138,B,10016,10016,138.0,0.0,1,True
B:10019:138,B,10019,10019,138.0,0.0,1,True
B:10020:138,B,10020,10020,138.0,0.0,1,True
B:10026:138,B,10026,10026,138.0,0.0,1,True
B:10027:138,B,10027,10027,138.0,0.0,1,True
B:10029:138,B,10029,10029,138.0,0.0,1,True
B:10030:138,B,10030,10030,138.0,0.0,1,True
B:10032:138,B,10032,10032,138.0,0.0,1,True
B:10034:138,B,10034,10034,138.0,0.0,1,True
B:10036:138,B,10036,10036,138.0,0.0,1,True
B:10038:138,B,10038,10038,138.0,0.0,1,True
B:10041:138,B,10041,10041,138.0,0.0,1,True
B:10042:138,B,10042,10042,138.0,0.0,1,True
B:10043:138,B,10043,10043,138.0,0.0,1,True
B:10048:345,B,10048,10048,345.0,0.0,1,True
B:10050:138,B,10050,10050,138.0,0.0,1,True
B:10052:138,B,10052,10052,138.0,0.0,1,True
B:10054:138,B,10054,10054,138.0,0.0,1,True
B:10055:138,B,10055,10055,138.0,0.0,1,True
B:10056:138,B,10056,10056,138.0,0.0,1,True
B:10062:138,B,10062,10062,138.0,0.0,1,True
B:10065:138,B,10065,10065,138.0,0.0,1,True
B:10070:345,B,10070,10070,345.0,0.0,1,True
B:10074:138,B,10074,10074,138.0,0.0,1,True
B:10075:138,B,10075,10075,138.0,0.0,1,True
B:10078:138,B,10078,10078,138.0,0.0,2,True
B:10082:138,B,10082,10082,138.0,0.0,1,True
B:10093:138,B,10093,10093,138.0,0.0,1,True
B:10095:138,B,10095,10095,138.0,0.0,1,True
B:10098:138,B,10098,10098,138.0,0.0,1,True
B:10101:138,B,10101,10101,138.0,0.0,1,True
B:10102:138,B,10102,10102,138.0,0.0,2,True
B:10104:138,B,10104,10104,138.0,0.0,1,True
B:10109:138,B,10109,10109,138.0,0.0,1,True
B:10115:138,B,10115,10115,138.0,0.0,2,True
B:10119:138,B,10119,10119,138.0,0.0,1,True
B:10122:138,B,10122,10122,138.0,0.0,2,True
B:10127:138,B,10127,10127,138.0,0.0,1,True
B:10128:345,B,10128,10128,345.0,0.0,1,True
B:10130:138,B,10130,10130,138.0,0.0,1,True
B:10139:138,B,10139,10139,138.0,0.0,1,True
B:10142:138,B,10142,10142,138.0,0.0,1,True
B:10145:138,B,10145,10145,138.0,0.0,1,True
B:10146:138,B,10146,10146,138.0,0.0,1,True
B:10155:345,B,10155,10155,345.0,0.0,1,True
B:10156:138,B,10156,10156,138.0,0.0,1,True
B:10157:138,B,10157,10157,138.0,0.0,1,True
B:10165:138,B,10165,10165,138.0,0.0,1,True
B:10168:138,B,10168,10168,138.0,0.0,1,True
B:10169:138,B,10169,10169,138.0,0.0,1,True
B:10181:138,B,10181,10181,138.0,0.0,1,True
B:10183:138,B,10183,10183,138.0,0.0,1,True
B:10184:138,B,10184,10184,138.0,0.0,1,True
B:10190:138,B,10190,10190,138.0,0.0,1,True
B:10191:138,B,10191,10191,138.0,0.0,1,True
B:10193:138,B,10193,10193,138.0,0.0,1,True
B:10194:138,B,10194,10194,138.0,0.0,1,True
B:10195:138,B,10195,10195,138.0,0.0,1,True
B:10196:138,B,10196,10196,138.0,0.0,1,True
B:10200:138,B,10200,10200,138.0,0.0,1,True
B:10205:345,B,10205,10205,345.0,0.0,1,True
B:10207:138,B,10207,10207,138.0,0.0,1,True
B:10209:138,B,10209,10209,138.0,0.0,1,True
B:10216:138,B,10216,10216,138.0,0.0,1,True
B:10218:138,B,10218,10218,138.0,0.0,1,True
B:10219:138,B,10219,10219,138.0,0.0,1,True
B:10220:138,B,10220,10220,138.0,0.0,1,True
B:10222:138,B,10222,10222,138.0,0.0,1,True
B:10225:138,B,10225,10225,138.0,0.0,1,True
B:10228:345,B,10228,10228,345.0,0.0,1,True
B:10233:138,B,10233,10233,138.0,0.0,1,True
B:10234:138,B,10234,10234,138.0,0.0,1,True
B:10235:138,B,10235,10235,138.0,0.0,1,True
B:10239:138,B,10239,10239,138.0,0.0,1,True
B:10242:138,B,10242,10242,138.0,0.0,1,True
B:10244:138,B,10244,10244,138.0,0.0,1,True
B:10245:345,B,10245,10245,345.0,0.0,1,True
B:10247:138,B,10247,10247,138.0,0.0,1,True
B:10251:138,B,10251,10251,138.0,0.0,1,True
B:10258:138,B,10258,10258,138.0,0.0,2,True
B:10259:138,B,10259,10259,138.0,0.0,1,True
B:10260:138,B,10260,10260,138.0,0.0,1,True
B:10261:138,B,10261,10261,138.0,0.0,1,True
B:10262:138,B,10262,10262,138.0,0.0,2,True
B:10263:138,B,10263,10263,138.0,0.0,2,True
B:10264:345,B,10264,10264,345.0,0.0,2,True
B:10265:345,B,10265,10265,345.0,0.0,2,True
B:10266:138,B,10266,10266,138.0,0.0,1,True
B:10267:138,B,10267,10267,138.0,0.0,2,True
B:10268:138,B,10268,10268,138.0,0.0,1,True
B:10269:138,B,10269,10269,138.0,0.0,2,True
B:10270:138,B,10270,10270,138.0,0.0,2,True
B:10271:138,B,10271,10271,138.0,0.0,1,True
B:10272:138,B,10272,10272,138.0,0.0,1,True
B:10273:138,B,10273,10273,138.0,0.0,1,True
B:10274:138,B,10274,10274,138.0,0.0,1,True
B:10275:138,B,10275,10275,138.0,0.0,2,True
B:10276:138,B,10276,10276,138.0,0.0,2,True
B:10277:345,B,10277,10277,345.0,0.0,2,True
B:10278:345,B,10278,10278,345.0,0.0,2,True
B:10279:345,B,10279,10279,345.0,0.0,2,True
B:10280:138,B,10280,10280,138.0,0.0,1,True
B:10281:345,B,10281,10281,345.0,0.0,2,True
B:10282:138,B,10282,10282,138.0,0.0,2,True
B:10283:345,B,10283,10283,345.0,0.0,2,True
B:10284:138,B,10284,10284,138.0,0.0,1,True
B:10285:138,B,10285,10285,138.0,0.0,2,True
B:10286:138,B,10286,10286,138.0,0.0,2,True
B:10287:138,B,10287,10287,138.0,0.0,2,True
B:10288:138,B,10288,10288,138.0,0.0,1,True
B:10289:138,B,10289,10289,138.0,0.0,2,True
B:10290:345,B,10290,10290,345.0,0.0,2,True
B:10291:345,B,10291,10291,345.0,0.0,2,True
