datetime,branch,fid,shadow_price,flow_mw,constraint_name
2016-01-19 08:00:00,830,L:5373:5777:138,2.03,262.5,SNE - SANSUM N ELEC - MULTITRADE OF PITTSYLVANIA LP SUBSTATION 138 KV
2016-01-19 08:00:00,1982,L:5917:6922:138,2.83,193.9,GUILBEAU ELECTRIC - OAK HALL 138 KV
2016-01-19 08:00:00,2420,L:6014:7931:138,57.32,241.1,OTSEGO - CARL BAILEY 138 KV
2016-01-19 08:00:00,3379,L:6457:7119:138,5.75,237.3,BRIDGEPORT - LAKE CATHERINE 138 KV
2016-01-19 08:00:00,3666,L:6605:6625:138,139.39,164.7,NEWCOMERSTOWN - VLY HOME TAP 2 SUBSTATION 138 KV
2016-01-19 08:00:00,5179,L:7286:8269:138,9.76,250.5,SOMERVILLE - LOGANS FERRY 138 KV
2016-01-19 08:00:00,7856,L:8572:8582:138,10.35,238.9,HIGHGROVE - CTR SUBSTATION 138 KV
2016-01-19 08:00:00,9374,L:9276:9669:345,14.13,1432.2,BEAR - CLOVER 345 KV
2016-01-19 08:00:00,11409,X:10277:345:138,2.72,206.3,POSSUM PT 345/138kV Auto
2016-01-19 08:00:00,13849,L:18267:18686:345,19.79,1131.0,PENCE - AMOS 345 KV
2016-01-19 08:00:00,15729,L:19202:19214:100,39.31,148.3,MEMORIAL - HOMELAKE 100 KV
2016-01-19 08:00:00,16394,X:19540:100:1,146.44,191.3,KILLEN 100/1kV XFMR
2016-01-19 08:00:00,16861,L:19681:20177:230,19.36,489.2,ATASCOCITA - N CAMBRIDGE SUBSTATION 230 KV
2016-01-19 08:00:00,17477,L:19951:19952:100,96.62,136.1,FIRSTENERGY EDGEWATER - UNIONVLLE SUBSTATION 100 KV Line
2016-01-19 08:00:00,17593,L:20005:20300:230,2.47,505.0,BAYPORT SW STA - FIRSTENERGY BAY SHORE 230 KV
2016-01-19 08:00:00,18772,L:21987:22401:100,2000.0,123.2,SOUTH HAVEN - ANDERSON SUBSTATION 100 KV
2016-02-13 19:00:00,1982,L:5917:6922:138,25.62,193.9,GUILBEAU ELECTRIC - OAK HALL 138 KV
2016-02-13 19:00:00,2420,L:6014:7931:138,51.79,241.1,OTSEGO - CARL BAILEY 138 KV
