branch,fid,start,end,reason,facility_name
19415,L:22849:22862:100,2016-01-14 08:00:00,2016-01-25 08:00:00,planned,Denton W Interchange - Solemint 100 kV
1905,L:5897:5913:138,2016-01-11 08:00:00,2016-01-23 08:00:00,planned,Mickleton - Morgan Hills-Sonoma Hills 138 kV #1
10580,L:9847:9889:138,2016-01-11 08:00:00,2016-01-18 08:00:00,planned,Gum Springs - Grantline-Siefker 138 kV Cir. 1
1080,L:5504:5506:138,2016-01-16 08:00:00,2016-01-29 08:00:00,planned,Vec Jay - Pacheco 138 kV Cir. 1
16998,L:19741:19794:100,2016-01-12 08:00:00,2016-01-13 08:00:00,planned,Weyerhauser Snoqualmie Mill - Ninemile 100 kV Circuit 1
2782,L:6174:6841:138,2016-01-15 08:00:00,2016-01-23 08:00:00,planned,Sahtlam - Temple Substation 138 kV Circuit 1
13279,L:17952:17960:138,2016-01-15 08:00:00,2016-01-22 08:00:00,planned,Bird Substation - Sanbruno Tap 138 kV Cir. 1
19435,L:22853:22859:100,2016-01-13 08:00:00,2016-01-29 08:00:00,planned,Cmed Devon - Fogarty 100 kV L
19892,L:22989:23133:100,2016-01-13 08:00:00,2016-01-20 08:00:00,planned,Crabb Riv Road - Itsca 100 kV Ckt 1
19427,L:22852:22857:100,2016-01-14 08:00:00,2016-01-22 08:00:00,planned,Gore Pass - Station 204 100 kV Ckt 1
13413,L:18015:18582:138,2016-01-12 08:00:00,2016-01-15 08:00:00,planned,San Juan - Tully Center 138 kV Circuit 1
13398,L:18007:19150:100,2016-01-16 08:00:00,2016-01-31 08:00:00,planned,Lake Juliana - Gable St 100 kV
20236,L:23130:23220:100,2016-01-17 08:00:00,2016-02-05 08:00:00,planned,Fairground - Oil Fields 100 kV Line 1
20710,L:23335:23464:100,2016-01-14 08:00:00,2016-01-29 08:00:00,planned,Canton - Kettle Morraine 100 kV Circuit 1
10950,L:10022:10023:138,2016-01-14 08:00:00,2016-01-28 08:00:00,planned,Upper Lake - 5204 Big K-Mart 138 kV Ckt 1
1694,L:5804:5805:138,2016-01-10 08:00:00,2016-01-24 08:00:00,planned,Stave Falls - Sutherland Springs 138 kV
17082,L:19776:19823:100,2016-01-19 08:00:00,2016-01-20 08:00:00,planned,Greene County Sta Substation - Sno-King 100 kV
17179,L:19815:19880:100,2016-01-11 08:00:00,2016-01-28 08:00:00,planned,Burlington Gt - Norway 100 kV #1
2862,L:6215:6717:138,2016-01-11 08:00:00,2016-01-13 08:00:00,planned,Railhead - South Mtn 138 kV #1
9439,L:9313:9669:138,2016-01-16 08:00:00,2016-01-18 08:00:00,planned,Hutchins - Clover 138 kV #1
19408,L:22849:23491:230,2016-01-14 08:00:00,2016-01-20 08:00:00,planned,Fisk Street - Denton W Interchange 230 kV
6469,L:7965:9025:138,2016-01-15 08:00:00,2016-02-02 08:00:00,planned,Warfordsburg - Dome 138 kV Cir. 1
19286,L:22820:22991:100,2016-01-17 08:00:00,2016-02-04 08:00:00,planned,West Jackson - Kingman Municipal Power And Light Plant 100 kV Circuit 1
19196,L:22780:23366:100,2016-01-16 08:00:00,2016-01-28 08:00:00,planned,Gvrd Sewage - Noti Crk 100 kV Ckt 1
9764,L:9485:9820:138,2016-01-10 08:00:00,2016-01-11 08:00:00,planned,Hogan Rd - Tuckasegee Tie 138 kV #1
14336,L:18602:18604:138,2016-01-17 08:00:00,2016-01-31 08:00:00,planned,Mecca Substation - West Mcallen 138 kV #1
17195,L:19822:19941:230,2016-01-13 08:00:00,2016-01-25 08:00:00,planned,Joso - Onancock Diesel Generation Facility 230 kV
9040,L:9114:9115:138,2016-01-16 08:00:00,2016-01-29 08:00:00,planned,Mcauley Substation - Video Pd 138 kV Line 1
5729,L:7577:8157:138,2016-01-17 08:00:00,2016-02-02 08:00:00,planned,Jct City - Isablle 138 kV
5390,L:7423:7424:138,2016-01-19 08:00:00,2016-01-21 08:00:00,planned,Airway Heights - Riverway 138 kV Cir. 1
12547,L:17271:17273:138,2016-01-15 08:00:00,2016-01-22 08:00:00,planned,Oakdale Power Station - Antelope 138 kV
15386,L:19043:19140:100,2016-01-17 08:00:00,2016-01-23 08:00:00,planned,Smartsville - Stoney Ridge 100 kV Ckt 1
13773,L:18223:18235:138,2016-01-11 08:00:00,2016-01-26 08:00:00,planned,N Brookings - Homart 138 kV Cir. 1
9543,L:9366:9631:138,2016-01-17 08:00:00,2016-01-30 08:00:00,planned,Mahew - Fluvanna P.S 138 kV
6456,L:7958:7959:138,2016-01-10 08:00:00,2016-01-12 08:00:00,planned,Mcconnellsburg - Buffalo Substation 138 kV L
6226,L:7836:7843:138,2016-01-16 08:00:00,2016-01-30 08:00:00,planned,Hutchinson Plant 2 - Lyonsdale Associates 138 kV #1
1400,L:5642:5654:138,2016-01-14 08:00:00,2016-01-21 08:00:00,planned,Coffee Port - Interstate Pape Llc Riceboro Substation 138 kV Circuit 1
16010,L:19344:19554:500,2016-01-19 08:00:00,2016-02-01 08:00:00,planned,Greenly - Dresden 500 kV Line 1
17272,L:19857:19868:100,2016-01-17 08:00:00,2016-02-05 08:00:00,planned,Hesperia - Chub Lake Substation 100 kV Ckt 1
9225,L:9203:9284:138,2016-01-12 08:00:00,2016-01-30 08:00:00,planned,Flowood - S Colton 138 kV
99,L:2941:2958:161,2016-01-11 08:00:00,2016-01-12 08:00:00,planned,Eden Substation - Deepcreek 161 kV Cir. 1
8625,L:8947:8967:138,2016-01-10 08:00:00,2016-01-12 08:00:00,planned,Bluff Crk Substation - Robiedale 138 kV #1
8376,L:8826:8831:138,2016-01-12 08:00:00,2016-01-16 08:00:00,planned,Key Largo Substation - Cady 138 kV Ckt 1
8103,L:8694:8836:138,2016-01-12 08:00:00,2016-01-29 08:00:00,planned,Bethesda - Doucette 138 kV Circuit 1
11195,L:10167:10168:138,2016-01-18 08:00:00,2016-02-06 08:00:00,planned,Odessa Southwest - Chico A 138 kV Ckt 1
19820,L:22972:22973:100,2016-01-14 08:00:00,2016-01-21 08:00:00,planned,Lafayette Springs - W K Sanders 100 kV Ckt 1
5237,L:7324:7331:138,2016-01-12 08:00:00,2016-01-15 08:00:00,planned,Whillock - Boyntonville 138 kV Line 1
10338,L:9736:10264:138,2016-01-13 08:00:00,2016-01-17 08:00:00,planned,Laporte Jct - Bear Island 138 kV
18011,L:20247:20313:100,2016-01-12 08:00:00,2016-01-19 08:00:00,planned,Union Ridge - Bowling Green Generating Sta 100 kV
12558,L:17279:17473:138,2016-01-13 08:00:00,2016-01-15 08:00:00,planned,Texaco Bt - Letterkenny 138 kV Line 1
19038,L:22396:22401:100,2016-01-13 08:00:00,2016-01-19 08:00:00,planned,Castle Hills - Anderson 100 kV Ckt 1
2804,L:6186:6197:138,2016-01-14 08:00:00,2016-01-29 08:00:00,planned,Brazosport - Owens Illinois Tap 138 kV
4035,L:6833:7997:138,2016-01-10 08:00:00,2016-01-15 08:00:00,planned,Southbase - Brent 138 kV
16418,L:19543:19572:500,2016-01-15 08:00:00,2016-01-19 08:00:00,planned,Gavin Powr Llc - Olympus 500 kV Ckt 1
7262,L:8297:8308:138,2016-01-19 08:00:00,2016-01-27 08:00:00,planned,Ringgold - Dover Sun Park 138 kV Circuit 1
10485,L:9798:9802:138,2016-01-18 08:00:00,2016-01-31 08:00:00,planned,Wing Lane - Wolfcamp 138 kV
19040,L:22397:22399:100,2016-01-12 08:00:00,2016-01-18 08:00:00,planned,Roz - Meadowbrook 100 kV #1
2422,L:6015:7164:138,2016-01-19 08:00:00,2016-01-30 08:00:00,planned,Yacht Club D.S Substation - Ortanna Substation 138 kV
18452,L:21384:21390:100,2016-01-11 08:00:00,2016-01-15 08:00:00,planned,Laclede - Monroe 100 kV L
17385,L:19906:20257:100,2016-01-11 08:00:00,2016-01-13 08:00:00,planned,Latin Quarter - Ocoee 100 kV
862,L:5387:5860:138,2016-01-19 08:00:00,2016-02-05 08:00:00,planned,Harrisburg - Doremus Place 138 kV Cir. 1
5266,L:7345:7359:138,2016-01-18 08:00:00,2016-02-05 08:00:00,planned,Us Gypsum - Forbes 138 kV line
5549,L:7499:7500:138,2016-01-19 08:00:00,2016-02-02 08:00:00,planned,Black Mesa - Osborne 138 kV Cir. 1
12388,L:17145:17156:138,2016-01-16 08:00:00,2016-01-20 08:00:00,planned,Schultz - Deschutes 138 kV Ckt 1
1123,L:5519:5808:138,2016-01-19 08:00:00,2016-02-08 08:00:00,planned,Keystone Heights Electrical - Verndale 138 kV Circuit 1
7843,L:8564:8617:138,2016-01-11 08:00:00,2016-01-19 08:00:00,planned,Carmenita - Friendship Manor Substation 138 kV L
8291,L:8780:8788:138,2016-01-14 08:00:00,2016-01-17 08:00:00,planned,Bagley - Ladysmith Tap 138 kV Circuit 1
20563,L:23273:23289:100,2016-01-16 08:00:00,2016-01-17 08:00:00,planned,Basscreek - Walisville 100 kV Circuit 1
8475,L:8869:8872:138,2016-01-12 08:00:00,2016-01-29 08:00:00,planned,Bondurant - Montgomery Village 138 kV Cir. 1
10243,L:9689:9711:138,2016-01-16 08:00:00,2016-01-26 08:00:00,planned,Donaldson Creek Substation - Burnt Church 138 kV Line 1
1052,L:5492:5592:138,2016-02-11 19:00:00,2016-02-17 19:00:00,planned,South Park - Hanes 138 kV line
20214,L:23120:23121:100,2016-02-06 19:00:00,2016-02-13 19:00:00,planned,Mt Gate Jct - Oakmont N 100 kV Circuit 2
7613,L:8462:8495:138,2016-02-13 19:00:00,2016-02-16 19:00:00,planned,Truxel - Eastpoint 138 kV Circuit 1
15991,L:19334:19347:100,2016-02-04 19:00:00,2016-02-05 19:00:00,planned,Seagoville - St Francis Energy Facility 100 kV Circuit 1
9060,L:9125:9363:138,2016-02-06 19:00:00,2016-02-13 19:00:00,planned,Unisource Golden Vly - Kell Butte 138 kV
6703,L:8089:8098:138,2016-02-12 19:00:00,2016-03-03 19:00:00,planned,Gales Crk - Fish Crk Substation 138 kV
16831,L:19665:20296:100,2016-02-06 19:00:00,2016-02-18 19:00:00,planned,Perry - Walteria 100 kV
20153,L:23095:23140:230,2016-02-09 19:00:00,2016-02-27 19:00:00,planned,Woodland - Corona Ave 230 kV Circuit 2
17559,L:19987:19998:100,2016-02-05 19:00:00,2016-02-12 19:00:00,planned,Rouse - Deridder Mill 100 kV Ckt 1
16010,L:19344:19554:500,2016-02-07 19:00:00,2016-02-13 19:00:00,planned,Greenly - Dresden 500 kV #1
9834,L:9529:9626:138,2016-02-04 19:00:00,2016-02-18 19:00:00,planned,No Troy - Oconto 138 kV Circuit 1
13270,L:17948:18085:138,2016-02-11 19:00:00,2016-02-21 19:00:00,planned,Haynes - Sarno 138 kV Circuit 1
4688,L:7132:7155:500,2016-02-06 19:00:00,2016-02-18 19:00:00,planned,Newberry - Teichert 500 kV
1148,L:5529:5534:138,2016-02-07 19:00:00,2016-02-20 19:00:00,planned,Viscount - Modular Power Llc 138 kV Ckt 1
16168,L:19424:19512:100,2016-02-06 19:00:00,2016-02-19 19:00:00,planned,General Motors - Palmer Lake 100 kV Cir. 1
720,L:5320:6891:138,2016-02-04 19:00:00,2016-02-09 19:00:00,planned,Cartanza Substation - Cuthbert 138 kV #1
8338,L:8810:8813:138,2016-02-05 19:00:00,2016-02-16 19:00:00,planned,Jerome - High Ridge 138 kV
8775,L:9036:9046:138,2016-02-06 19:00:00,2016-02-15 19:00:00,planned,Linde - Ripple 138 kV Cir. 1
5578,L:7515:7536:138,2016-02-13 19:00:00,2016-02-15 19:00:00,planned,Raintree - Munising 138 kV Circuit 1
12813,L:17589:19226:138,2016-02-07 19:00:00,2016-02-13 19:00:00,planned,Tyranena Substation - Wagner Lake 138 kV L
3476,L:6509:6510:138,2016-02-10 19:00:00,2016-02-18 19:00:00,planned,Flagstaff Substation - Alliant Sbd 9801 Aegon Martha'S Way 138 kV Line
13368,L:17991:18705:138,2016-02-08 19:00:00,2016-02-20 19:00:00,planned,Contra Costa 3 - Tristate 138 kV Circuit 1
12571,L:17303:17305:138,2016-02-10 19:00:00,2016-02-25 19:00:00,planned,Hambrick - Santa Monica 138 kV #1
12644,L:17350:17352:138,2016-02-12 19:00:00,2016-02-20 19:00:00,planned,Murphys - Mauka Fit One 138 kV Line 1
6782,L:8135:8146:138,2016-02-07 19:00:00,2016-02-10 19:00:00,planned,Duane Substation - Webster Tie 138 kV Line 1
