project_id,branch,fid,circuit,cont_branch,cont_fid,cont_circuit,direction,loading_post,loading_pre,dfax,contrib_mw,rating_mva,flow_post,upgrade,cost_total,cost_share,cost_alloc,contributors
Q11-0006,4893,X:7171:500:345,1,3858,X:6725:500:345,1,injection,110.0,110.0,5.0,0.7,910.0,1001.4,replace transformer,26254000.0,1.0,26254000.0,
Q11-0006,2858,L:6213:6222:138,1,2891,L:6225:6714:345,1,injection,107.3,106.7,9.9,1.4,242.0,259.3,reconductor,3030000.0,1.0,3030000.0,
Q11-0006,3447,L:6492:6500:138,1,2891,L:6225:6714:345,1,injection,106.8,106.4,7.6,1.1,270.0,288.5,reconductor,2196000.0,1.0,2196000.0,
Q11-0017,20314,L:23148:23451:100,1,20296,X:23145:230:1,1,injection,102.7,42.1,45.3,72.6,120.0,123.0,reconductor,482000.0,1.0,482000.0,
Q11-0025,9263,L:9223:9224:138,1,9265,L:9224:9379:138,1,injection,344.7,5.9,100.0,826.3,236.0,812.5,rebuild,3347000.0,1.0,3347000.0,
Q11-0025,9265,L:9224:9379:138,1,9263,L:9223:9224:138,1,injection,336.2,5.7,100.0,826.3,242.0,812.5,rebuild,14471000.0,1.0,14471000.0,
Q11-0025,9584,L:9380:9381:138,1,9263,L:9223:9224:138,1,injection,283.4,34.0,57.2,472.8,190.0,537.3,rebuild,5878000.0,1.0,5878000.0,
Q11-0025,9583,L:9379:9381:138,1,9263,L:9223:9224:138,1,injection,278.7,35.9,57.2,472.8,195.0,542.7,rebuild,8672000.0,1.0,8672000.0,
Q11-0025,9243,L:9214:9223:138,1,9237,L:9210:9223:138,1,injection,223.4,43.5,43.8,361.7,201.0,449.2,rebuild,19744000.0,1.0,19744000.0,
Q11-0025,9586,L:9380:9667:138,1,9263,L:9223:9224:138,1,injection,145.9,5.6,40.4,334.1,221.0,321.7,rebuild,15282000.0,1.0,15282000.0,
Q11-0025,9227,L:9203:9521:138,2,9226,L:9203:9521:138,1,injection,144.5,97.1,16.3,134.6,284.0,409.9,rebuild,8333000.0,1.0,8333000.0,
Q11-0025,9226,L:9203:9521:138,1,9227,L:9203:9521:138,2,injection,141.9,95.3,16.3,134.6,289.0,409.9,rebuild,7072000.0,1.0,7072000.0,
Q11-0025,9218,L:9201:9202:138,1,9255,L:9219:9243:345,1,injection,127.6,79.6,15.8,130.3,271.0,346.3,rebuild,5424000.0,1.0,5424000.0,
Q11-0025,9244,L:9214:9521:138,1,9245,L:9214:9521:138,2,injection,126.7,85.8,15.0,124.3,304.0,385.4,rebuild,7203000.0,1.0,7203000.0,
Q11-0025,9152,L:9162:9163:138,1,9374,L:9276:9669:345,1,injection,124.5,99.9,7.7,63.9,260.0,323.7,rebuild,7738000.0,1.0,7738000.0,
Q11-0025,9245,L:9214:9521:138,2,9244,L:9214:9521:138,1,injection,123.3,83.5,15.0,124.3,313.0,385.4,rebuild,11700000.0,1.0,11700000.0,
Q11-0025,9237,L:9210:9223:138,1,9255,L:9219:9243:345,1,injection,122.0,79.3,15.8,130.3,305.0,372.5,rebuild,9323000.0,1.0,9323000.0,
Q11-0025,9389,L:9285:9522:138,1,9263,L:9223:9224:138,1,injection,120.7,60.4,18.6,153.8,255.0,307.6,rebuild,3399000.0,1.0,3399000.0,
Q11-0025,9224,L:9203:9205:138,1,9212,L:9197:9214:138,1,injection,120.6,94.1,9.3,76.8,289.0,349.1,rebuild,7586000.0,1.0,7586000.0,
Q11-0025,9387,L:9284:9285:138,1,9263,L:9223:9224:138,1,injection,119.2,58.0,18.6,153.8,251.0,299.6,rebuild,10332000.0,1.0,10332000.0,
Q11-0025,9260,L:9220:9222:138,1,9374,L:9276:9669:345,1,injection,118.4,80.9,11.0,91.0,243.0,287.4,rebuild,10917000.0,1.0,10917000.0,
Q11-0025,9221,L:9202:9211:138,1,9255,L:9219:9243:345,1,injection,117.1,74.5,15.8,130.3,306.0,358.2,rebuild,11572000.0,1.0,11572000.0,
Q11-0025,9135,L:9154:9222:138,1,9374,L:9276:9669:345,1,injection,113.9,73.1,11.0,91.0,223.0,254.3,rebuild,16001000.0,1.0,16001000.0,
Q11-0025,9376,L:9276:9944:345,2,9375,L:9276:9944:345,1,injection,112.7,103.6,16.6,137.2,1510.0,1702.0,rebuild,165450000.0,1.0,165450000.0,
Q11-0025,9128,L:9152:9153:138,1,9260,L:9220:9222:138,1,injection,112.4,82.4,8.9,73.9,247.0,277.2,rebuild,1268000.0,1.0,1268000.0,
Q11-0025,18702,L:21796:22493:230,1,18601,L:21759:22035:500,1,injection,112.3,100.7,7.8,64.4,557.0,625.2,rebuild,43934000.0,1.0,43934000.0,
Q11-0025,9236,L:9210:9211:138,1,9255,L:9219:9243:345,1,injection,109.9,71.0,15.8,130.3,334.0,367.7,reconductor,1240000.0,1.0,1240000.0,
Q11-0025,10800,L:9944:10290:345,1,10005,L:9631:9643:345,1,injection,109.8,99.8,16.9,139.4,1384.0,1520.1,reconductor,51397000.0,1.0,51397000.0,
Q11-0025,9219,L:9201:9225:138,1,9255,L:9219:9243:345,1,injection,109.8,88.6,6.6,54.2,255.0,279.8,reconductor,2215000.0,1.0,2215000.0,
