date,project_id,branch,fid,old_rating,new_rating
2011-01-01,BASELINE,77,L:2797:5454:138,254.49,351.77667333998215
2011-01-01,BASELINE,80,L:2797:5939:138,271.19,279.19409027539035
2011-01-01,BASELINE,87,L:2921:5216:138,185.16,206.057795754902
2011-01-01,BASELINE,136,L:3150:3541:161,319.57,369.07850696991744
2011-01-01,BASELINE,137,L:3150:3541:161,319.57,389.11845507653743
2011-01-01,BASELINE,155,X:3350:161:138,84.37,94.47800964035194
2011-01-01,BASELINE,173,L:3442:3448:161,323.77,456.57265229790994
2011-01-01,BASELINE,174,L:3442:3448:161,323.77,425.72587613331467
2011-01-01,BASELINE,401,L:5175:5195:138,265.39,277.58741991659036
2011-01-01,BASELINE,453,L:5200:5961:138,276.01,295.74093238906494
2011-01-01,BASELINE,454,L:5200:5961:138,276.01,320.6847996848663
2011-01-01,BASELINE,540,L:5239:5243:138,263.78,289.14594037653194
2011-01-01,BASELINE,541,L:5239:5243:138,263.78,301.2349781699347
2011-01-01,BASELINE,660,L:5293:6002:138,252.36,263.4997394049215
2011-01-01,BASELINE,715,L:5318:5320:138,263.21,267.5255600174326
2011-01-01,BASELINE,716,L:5318:5320:138,263.21,269.4067295583487
2011-01-01,BASELINE,787,L:5362:5385:138,283.68,372.3229174684632
2011-01-01,BASELINE,788,L:5362:5385:138,283.68,355.5043557823348
2011-01-01,BASELINE,789,L:5362:5444:138,273.47,281.6055188198831
2011-01-01,BASELINE,790,L:5362:5444:138,273.47,295.06932406322545
2011-01-01,BASELINE,791,L:5363:5382:138,257.28,272.76140519594105
2011-01-01,BASELINE,802,L:5367:5865:138,264.54,363.0573480386977
2011-01-01,BASELINE,815,L:5369:5862:138,251.81,307.8275718643507
2011-01-01,BASELINE,825,L:5372:5374:138,273.97,283.34351760251786
2011-01-01,BASELINE,826,L:5372:5374:138,273.97,320.4323289716028
2011-01-01,BASELINE,828,L:5372:5403:138,270.61,274.46811938546784
2011-01-01,BASELINE,834,L:5375:5389:138,274.89,292.9983656583573
2011-01-01,BASELINE,842,L:5379:5775:138,227.38,239.5076960396566
2011-01-01,BASELINE,844,L:5380:5385:138,270.68,312.36799557163295
2011-01-01,BASELINE,845,L:5380:5385:138,270.68,308.3350259263653
2011-01-01,BASELINE,846,L:5380:5402:138,247.85,298.6544016009098
2011-01-01,BASELINE,847,L:5380:5468:138,264.72,358.1044256033857
2011-01-01,BASELINE,850,L:5382:5860:138,263.38,304.3211250155766
2011-01-01,BASELINE,852,L:5383:5446:138,280.46,328.09287252132935
2011-01-01,BASELINE,853,L:5383:5446:138,280.46,322.9911620119087
2011-01-01,BASELINE,855,L:5383:6000:138,283.78,291.99477022411145
2011-01-01,BASELINE,860,L:5386:5404:138,182.76,191.74178088986122
2011-01-01,BASELINE,871,L:5393:5861:138,196.84,198.86780320186355
2011-01-01,BASELINE,872,L:5393:5862:138,234.28,260.09843662086905
2011-01-01,BASELINE,893,L:5402:5934:138,258.51,322.84313265501606
2011-01-01,BASELINE,910,L:5412:5959:138,256.7,267.90137006736137
2011-01-01,BASELINE,912,L:5412:5981:138,263.52,329.64826701316974
2011-01-01,BASELINE,913,L:5412:5981:138,263.52,289.35117063433563
2011-01-01,BASELINE,947,L:5429:5440:138,243.8,258.0500413013689
2011-01-01,BASELINE,948,L:5429:5934:138,229.42,234.57081167076004
2011-01-01,BASELINE,951,L:5430:5452:138,265.14,293.0683513364289
2011-01-01,BASELINE,954,L:5434:5991:138,263.9,266.3866599123341
2011-01-01,BASELINE,957,L:5440:6001:138,280.76,362.28012286149254
2011-01-01,BASELINE,958,L:5440:6001:138,280.76,339.73724276141473
2011-01-01,BASELINE,966,L:5444:5859:138,247.7,273.5689728953985
2011-01-01,BASELINE,971,L:5448:5473:138,260.24,371.3742403400855
2011-01-01,BASELINE,972,L:5448:5910:138,270.13,272.32789794424144
2011-01-01,BASELINE,979,L:5452:5910:138,286.6,365.10952503360573
2011-01-01,BASELINE,980,L:5452:5910:138,286.6,338.80096503250877
2011-01-01,BASELINE,982,L:5454:5939:138,263.44,330.4662346632787
2011-01-01,BASELINE,989,L:5457:5994:138,273.88,277.88334167599527
2011-01-01,BASELINE,994,L:5461:5473:138,253.66,288.4083204580243
2011-01-01,BASELINE,1000,L:5470:5991:138,251.67,264.4454741439612
2011-01-01,BASELINE,1651,L:5778:5961:138,276.68,279.98510476470176
2011-01-01,BASELINE,1652,L:5778:5961:138,276.68,309.48205853400174
2011-01-01,BASELINE,1688,L:5802:5806:138,230.49,284.0089309803624
2011-01-01,BASELINE,1689,L:5802:5912:138,223.55,263.5643591087593
2011-01-01,BASELINE,1694,L:5804:5805:138,237.68,316.0671717665062
2011-01-01,BASELINE,1695,L:5804:5921:138,240.31,339.0577383276363
2011-01-01,BASELINE,1696,L:5805:5806:138,234.36,311.73998244417436
2011-01-01,BASELINE,1761,L:5833:5844:138,229.84,290.2572202188955
2011-01-01,BASELINE,1762,L:5833:5846:138,222.82,309.954642627891
2011-01-01,BASELINE,1768,L:5836:5846:138,208.57,273.1663795617512
2011-01-01,BASELINE,1807,L:5855:5868:138,272.94,332.9840550338595
2011-01-01,BASELINE,1808,L:5855:5868:138,272.94,297.42932348134275
2011-01-01,BASELINE,1815,L:5864:6000:138,244.34,514.0376955999116
2011-01-01,BASELINE,1817,L:5865:5968:138,296.3,432.51454200912957
2011-01-01,BASELINE,1818,L:5865:5968:138,296.3,472.9752401883553
2011-01-01,BASELINE,1820,L:5868:6000:138,275.75,327.79388739785844
2011-01-01,BASELINE,1821,L:5868:6000:138,275.75,355.9836057554927
2011-01-01,BASELINE,1863,X:5891:345:138,579.16,886.1335349273305
2011-01-01,BASELINE,1867,L:5891:5912:138,242.8,260.9852946443753
2011-01-01,BASELINE,1870,L:5891:8337:138,267.24,308.60366801394855
2011-01-01,BASELINE,1871,L:5891:8337:138,267.24,325.8979149361495
2011-01-01,BASELINE,1923,L:5900:6928:138,250.86,305.8158816892599
2011-01-01,BASELINE,1981,L:5917:6911:138,244.17,317.0819147475419
2011-01-01,BASELINE,1982,L:5917:6922:138,193.91,216.2203008287832
2011-01-01,BASELINE,2050,X:5927:161:138,106.48,229.8471424803249
2011-01-01,BASELINE,2215,L:5961:5994:138,307.33,325.48550117789284
2011-01-01,BASELINE,2300,L:5981:5988:138,263.24,282.2979149022253
2011-01-01,BASELINE,2301,L:5981:5988:138,263.24,290.0222329015362
2011-01-01,BASELINE,2390,L:6002:6885:138,194.82,253.45001271224578
2011-01-01,BASELINE,2418,L:6013:6014:138,236.97,279.20656152749035
2011-01-01,BASELINE,2419,L:6013:9066:138,236.16,276.5690855903198
2011-01-01,BASELINE,2420,L:6014:7931:138,241.09,277.0755709544892
2011-01-01,BASELINE,2422,L:6015:7164:138,284.46,291.8511496942431
2011-01-01,BASELINE,2508,L:6046:6282:138,243.81,255.4756688058856
2011-01-01,BASELINE,2511,L:6046:7172:345,970.48,1016.1556450075691
2011-01-01,BASELINE,2512,L:6047:6055:138,258.75,270.50442729729076
2011-01-01,BASELINE,2513,L:6047:6184:138,253.87,263.99397129729033
2011-01-01,BASELINE,2536,L:6057:6979:138,267.33,279.50050551198484
2011-01-01,BASELINE,2543,L:6060:6625:138,208.54,258.3725832116465
2011-01-01,BASELINE,2644,L:6105:6583:138,253.97,279.88943163952956
2011-01-01,BASELINE,2645,L:6105:6987:138,254.71,314.95094775881904
2011-01-01,BASELINE,2788,L:6178:6200:138,213.98,216.62646923471726
2011-01-01,BASELINE,2801,L:6184:6763:138,221.07,230.95943529729269
2011-01-01,BASELINE,2839,L:6200:6206:138,252.07,300.12853777592517
2011-01-01,BASELINE,2850,L:6209:6743:138,239.55,287.25065320137566
2011-01-01,BASELINE,2852,L:6209:6773:138,253.46,260.37481924889204
2011-01-01,BASELINE,2857,L:6213:6215:138,254.5,274.9349889844698
2011-01-01,BASELINE,2885,L:6223:6992:138,224.31,263.4358419716151
2011-01-01,BASELINE,2936,L:6242:6245:138,204.27,222.96635037234572
2011-01-01,BASELINE,2946,L:6249:6282:138,233.88,246.28575601549866
2011-01-01,BASELINE,2947,L:6249:6284:138,226.58,239.66254119630239
2011-01-01,BASELINE,3147,L:6341:7109:138,287.51,442.16173590561374
2011-01-01,BASELINE,3237,L:6386:6421:138,262.11,269.10659067936706
2011-01-01,BASELINE,3302,L:6427:6429:138,248.41,267.2003737966659
2011-01-01,BASELINE,3323,L:6435:6459:138,189.48,193.33248239111222
2011-01-01,BASELINE,3346,L:6445:6454:138,214.77,254.21743431695697
2011-01-01,BASELINE,3347,L:6445:6460:138,233.2,281.87065548137065
2011-01-01,BASELINE,3379,L:6457:7119:138,237.33,284.40879722689715
2011-01-01,BASELINE,3394,L:6463:7119:138,254.43,299.84023263372603
2011-01-01,BASELINE,3447,L:6492:6500:138,190.48,270.1465294391123
2011-01-01,BASELINE,3459,L:6498:6500:138,165.78,222.4991175530039
2011-01-01,BASELINE,3471,L:6506:7096:138,267.12,364.1771151597978
2011-01-01,BASELINE,3474,L:6508:6510:138,236.08,320.2352327846151
2011-01-01,BASELINE,3476,L:6509:6510:138,225.2,274.2111036817112
2011-01-01,BASELINE,3483,L:6511:6959:138,259.87,270.87035217307385
2011-01-01,BASELINE,3487,L:6513:7096:345,1022.8,1452.0999808242059
2011-01-01,BASELINE,3666,L:6605:6625:138,164.68,227.72681273659714
2011-01-01,BASELINE,3888,L:6739:6784:138,224.28,242.8431192506658
2011-01-01,BASELINE,3893,L:6742:6780:138,248.84,252.4740580806267
2011-01-01,BASELINE,3894,L:6742:6937:138,241.52,259.34988549367404
2011-01-01,BASELINE,3895,L:6743:6895:138,231.31,251.05996617073623
2011-01-01,BASELINE,3900,L:6747:6909:138,198.6,202.21499945686043
2011-01-01,BASELINE,3901,L:6747:6926:138,219.87,235.39177941769904
2011-01-01,BASELINE,3919,L:6754:6768:138,200.91,261.59766717214745
2011-01-01,BASELINE,3920,L:6754:6925:138,181.55,230.25277797451392
2011-01-01,BASELINE,3924,L:6758:6772:138,260.36,308.64820452729685
2011-01-01,BASELINE,3925,L:6758:6782:138,255.57,295.4889361671009
2011-01-01,BASELINE,3932,L:6760:6761:138,179.41,180.5708116086618
2011-01-01,BASELINE,3967,L:6779:6937:138,209.92,214.48756725961053
2011-01-01,BASELINE,3968,L:6780:6782:138,252.1,279.45220519330405
2011-01-01,BASELINE,4063,L:6859:6926:138,196.74,197.9616070872555
2011-01-01,BASELINE,4066,L:6862:6885:138,272.73,311.9201413178773
2011-01-01,BASELINE,4067,L:6862:6893:138,258.77,261.10490451701946
2011-01-01,BASELINE,4091,L:6882:6908:138,228.66,235.9966232514893
2011-01-01,BASELINE,4106,L:6887:6895:138,219.16,248.05313150240767
2011-01-01,BASELINE,4107,L:6887:6933:138,209.35,214.61057979427395
2011-01-01,BASELINE,4162,L:6925:6944:138,185.86,211.87326851278343
2011-01-01,BASELINE,4166,L:6928:6930:138,292.22,381.4895920944636
2011-01-01,BASELINE,4167,L:6928:6930:138,292.22,406.11416493781815
2011-01-01,BASELINE,4171,L:6930:6943:138,272.53,320.55258866328757
2011-01-01,BASELINE,4172,L:6930:6943:138,272.53,299.65112684807326
2011-01-01,BASELINE,4205,L:6959:6960:138,233.01,256.97655807808087
2011-01-01,BASELINE,4219,X:6968:161:138,115.27,120.89804592963375
2011-01-01,BASELINE,4230,L:6975:6987:138,258.4,295.30082707862545
2011-01-01,BASELINE,4232,L:6975:7168:138,256.87,390.94965312961943
2011-01-01,BASELINE,4240,L:6980:7138:138,157.52,168.9840558141395
2011-01-01,BASELINE,4294,X:7011:161:138,79.7,95.20888154693873
2011-01-01,BASELINE,4441,X:7096:500:345,746.38,1115.813353386959
2011-01-01,BASELINE,4444,X:7096:345:138,444.46,706.6684422961413
2011-01-01,BASELINE,4454,X:7099:138:20,266.07,295.1116694342921
2011-01-01,BASELINE,4456,X:7099:138:18,266.07,274.2575302212279
2011-01-01,BASELINE,4459,L:7099:7140:138,229.3,322.0874808954044
2011-01-01,BASELINE,4658,L:7127:7155:345,1195.63,1219.9858049850582
2011-01-01,BASELINE,4885,X:7169:500:345,1069.85,1116.8222599890487
2011-01-01,BASELINE,4893,X:7171:500:345,893.84,910.1148254110899
2011-01-01,BASELINE,4958,L:7193:18698:345,1387.15,2367.9017996948633
2011-01-01,BASELINE,5035,L:7222:7295:138,255.3,379.3602322533559
2011-01-01,BASELINE,5036,L:7222:7302:138,247.86,372.53791780256194
2011-01-01,BASELINE,5121,L:7256:7281:138,263.46,266.2509937168061
2011-01-01,BASELINE,5122,L:7256:7286:138,269.78,276.45665413008186
2011-01-01,BASELINE,5167,L:7281:7397:138,257.16,261.5630784012789
2011-01-01,BASELINE,5179,L:7286:8269:138,250.52,525.6216766128481
2011-01-01,BASELINE,5196,L:7295:8269:138,270.2,580.2299061235137
2011-01-01,BASELINE,5202,L:7298:7302:138,199.59,235.95399249786692
2011-01-01,BASELINE,5493,L:7474:19687:138,282.37,316.5201018834229
2011-01-01,BASELINE,5498,L:7476:8244:138,294.51,298.29990361796285
2011-01-01,BASELINE,5511,L:7481:19692:100,142.24,155.34250850143545
2011-01-01,BASELINE,5512,L:7481:20042:100,145.09,170.90772650415852
2011-01-01,BASELINE,6400,L:7931:7933:138,214.22,328.19946894479557
2011-01-01,BASELINE,6402,L:7931:9022:138,196.32,303.7524919600269
2011-01-01,BASELINE,6406,L:7933:7934:138,224.91,318.5425691358423
2011-01-01,BASELINE,6407,L:7934:7936:138,238.42,342.8318028823915
2011-01-01,BASELINE,6413,L:7936:8274:138,247.1,352.34946900708843
2011-01-01,BASELINE,6428,L:7942:7945:138,260.73,382.599923458573
2011-01-01,BASELINE,6431,L:7943:7951:138,221.35,224.84827127192943
2011-01-01,BASELINE,6433,L:7945:7946:138,256.82,409.7066909877042
2011-01-01,BASELINE,6434,L:7946:9016:138,254.09,351.47597399449876
2011-01-01,BASELINE,6441,X:7952:345:138,511.33,555.554532784419
2011-01-01,BASELINE,6443,L:7952:7953:138,262.58,433.4480293915853
2011-01-01,BASELINE,6444,L:7952:9022:138,219.39,266.4830879013187
2011-01-01,BASELINE,6447,L:7953:9024:138,253.49,414.3089110955401
2011-01-01,BASELINE,6449,L:7954:9020:138,237.32,340.7995090700763
2011-01-01,BASELINE,6450,L:7954:9024:138,243.6,335.0832899646425
2011-01-01,BASELINE,6605,L:8045:19687:138,291.05,296.84983894755885
2011-01-01,BASELINE,6606,L:8045:20040:138,244.02,270.240010334882
2011-01-01,BASELINE,6727,L:8094:20217:100,152.75,194.26000737383245
2011-01-01,BASELINE,6874,L:8206:17977:345,1336.34,1579.4761510779504
2011-01-01,BASELINE,7115,L:8268:18390:138,274.94,373.76987043669413
2011-01-01,BASELINE,7152,X:8274:345:138,437.74,465.4107227894845
2011-01-01,BASELINE,7157,X:8275:500:345,461.32,485.3716307071571
2011-01-01,BASELINE,7177,X:8279:500:345,711.43,1962.0029184020996
2011-01-01,BASELINE,7309,L:8321:8322:138,263.23,293.9412005927268
2011-01-01,BASELINE,7310,L:8321:8322:138,263.23,280.35995457808343
2011-01-01,BASELINE,7312,L:8321:8829:138,214.71,222.32715541367835
2011-01-01,BASELINE,7313,L:8322:8337:138,265.31,319.7934354300854
2011-01-01,BASELINE,7314,L:8322:8337:138,265.31,315.9730863618354
2011-01-01,BASELINE,7364,L:8348:8352:138,208.72,216.02711029008975
2011-01-01,BASELINE,7365,L:8348:8390:138,225.63,236.45729766546742
2011-01-01,BASELINE,7374,L:8356:8377:138,205.3,226.56658726993032
2011-01-01,BASELINE,7375,L:8357:8375:138,203.68,345.2823494790458
2011-01-01,BASELINE,7377,L:8357:9039:138,193.23,287.7740722875163
2011-01-01,BASELINE,7395,L:8366:8371:138,194.48,341.34357812928016
2011-01-01,BASELINE,7396,L:8366:8373:138,177.46,384.64241165496446
2011-01-01,BASELINE,7398,L:8367:8369:138,206.24,258.83946022947936
2011-01-01,BASELINE,7400,L:8368:8369:138,156.98,278.57708119534635
2011-01-01,BASELINE,7401,L:8368:9035:138,224.59,298.8066088218152
2011-01-01,BASELINE,7408,L:8375:8730:138,261.19,532.2593379642154
2011-01-01,BASELINE,7411,L:8377:8601:138,185.97,225.60415307247465
2011-01-01,BASELINE,7412,L:8378:9046:138,261.7,268.2243333382971
2011-01-01,BASELINE,7413,L:8378:9047:138,199.21,220.05342087023794
2011-01-01,BASELINE,7438,X:8386:138:14,124.8,133.48926457855492
2011-01-01,BASELINE,7471,L:8398:9069:138,269.65,429.51972298626686
2011-01-01,BASELINE,7472,L:8398:18394:138,262.46,619.6796427519462
2011-01-01,BASELINE,7480,L:8402:9071:138,274.08,588.9632062030546
2011-01-01,BASELINE,7481,L:8402:18392:138,271.15,571.567310630269
2011-01-01,BASELINE,7487,L:8404:18388:138,264.21,302.7042813266392
2011-01-01,BASELINE,7563,L:8436:8866:138,193.94,352.425576495486
2011-01-01,BASELINE,7587,L:8449:8450:138,201.81,269.5570265500457
2011-01-01,BASELINE,7605,L:8456:8817:138,224.43,276.44399796030336
2011-01-01,BASELINE,7612,L:8462:8480:138,246.01,315.1975172418914
2011-01-01,BASELINE,7613,L:8462:8495:138,276.24,318.36946625567344
2011-01-01,BASELINE,7614,L:8462:8495:138,276.24,317.53827206582577
2011-01-01,BASELINE,7616,L:8463:8579:138,205.25,235.98401980489862
2011-01-01,BASELINE,7617,L:8463:9087:138,224.95,231.82685165837032
2011-01-01,BASELINE,7618,L:8463:9088:138,222.06,229.49654349992963
2011-01-01,BASELINE,7625,L:8465:8566:138,260.93,286.291401955009
2011-01-01,BASELINE,7628,L:8466:8557:138,212.44,256.79577939192325
2011-01-01,BASELINE,7629,L:8467:8475:138,259.63,444.6345623137082
2011-01-01,BASELINE,7631,L:8467:8573:138,252.04,533.0109684198445
2011-01-01,BASELINE,7632,L:8468:8476:138,241.86,280.7270237814572
2011-01-01,BASELINE,7633,L:8468:9058:138,188.96,197.22069304936548
2011-01-01,BASELINE,7637,L:8470:8517:138,247.37,281.5633686163055
2011-01-01,BASELINE,7639,L:8471:8573:138,203.08,261.9277098451303
2011-01-01,BASELINE,7648,L:8475:8505:138,222.0,223.01137324519905
2011-01-01,BASELINE,7649,L:8475:8519:138,256.47,294.3684227273214
2011-01-01,BASELINE,7668,L:8484:8578:138,159.84,182.2445161487337
2011-01-01,BASELINE,7673,L:8486:8499:138,267.85,276.60547540656876
2011-01-01,BASELINE,7675,L:8486:8509:138,244.48,248.6186229049514
2011-01-01,BASELINE,7683,L:8488:8547:138,296.3,344.1387163177108
2011-01-01,BASELINE,7684,L:8488:8547:138,296.3,331.3589392222756
2011-01-01,BASELINE,7690,L:8489:8517:138,259.88,300.8553915324968
2011-01-01,BASELINE,7691,L:8489:8560:138,248.68,267.51155844615477
2011-01-01,BASELINE,7703,L:8496:8563:138,192.67,272.20252662947405
2011-01-01,BASELINE,7704,L:8496:8817:138,171.75,245.64011129394345
2011-01-01,BASELINE,7724,L:8504:8560:138,250.22,267.45158978802067
2011-01-01,BASELINE,7725,L:8505:8519:138,281.77,321.2070934206759
2011-01-01,BASELINE,7726,L:8505:8519:138,281.77,353.52373207728044
2011-01-01,BASELINE,7732,L:8507:8572:138,236.95,259.3314696419477
2011-01-01,BASELINE,7734,L:8508:8549:138,224.05,237.36628370320915
2011-01-01,BASELINE,7755,L:8516:8541:138,276.65,311.74029536574966
2011-01-01,BASELINE,7756,L:8516:8541:138,276.65,313.25648012260353
2011-01-01,BASELINE,7762,L:8519:8547:138,291.27,296.5426642591434
2011-01-01,BASELINE,7763,L:8519:8547:138,291.27,296.86332408864484
2011-01-01,BASELINE,7764,L:8519:8547:138,291.27,310.2443245702459
2011-01-01,BASELINE,7772,L:8524:8538:138,241.54,250.43423357609842
2011-01-01,BASELINE,7777,X:8525:138:1,654.55,716.8359937789999
2011-01-01,BASELINE,7778,L:8525:9094:138,285.36,292.2715933202564
2011-01-01,BASELINE,7779,L:8525:9094:138,285.36,296.9394827775719
2011-01-01,BASELINE,7780,L:8525:9094:138,285.36,322.72314609747116
2011-01-01,BASELINE,7783,L:8526:8529:138,264.05,281.05942122218136
2011-01-01,BASELINE,7789,L:8528:8565:138,237.74,285.5968050493933
2011-01-01,BASELINE,7790,L:8528:8567:138,256.01,348.90179980531724
2011-01-01,BASELINE,7804,L:8536:8567:138,253.25,276.2033072390176
2011-01-01,BASELINE,7808,L:8538:8542:138,268.3,286.046096433074
2011-01-01,BASELINE,7809,L:8538:8542:138,268.3,277.841752822284
2011-01-01,BASELINE,7814,L:8541:8542:138,273.7,277.3926196292551
2011-01-01,BASELINE,7815,L:8541:8542:138,273.7,312.6365007677782
2011-01-01,BASELINE,7836,L:8557:8574:138,236.21,280.70756373803613
2011-01-01,BASELINE,7840,L:8563:8812:138,201.44,210.2882252047332
2011-01-01,BASELINE,7846,L:8565:8579:138,228.86,300.8030484184194
2011-01-01,BASELINE,7851,L:8568:9096:138,200.93,205.0678391650766
2011-01-01,BASELINE,7854,L:8571:8577:138,253.34,322.44561035328996
2011-01-01,BASELINE,7855,L:8571:8582:138,226.13,275.4901657863528
2011-01-01,BASELINE,7856,L:8572:8582:138,238.93,417.2097785573601
