dimension,value,model,n_projects,hit@1,hit@3,hit@5,hit@10,recall@5,recall@10,precision@5,mrr
poi_seen,seen_poi,MAIN_all_features,74,0.33783783783783783,0.44594594594594594,0.5405405405405406,0.6621621621621622,0.2247491451576909,0.3516594405605782,0.2189189189189189,0.4319302414807168
poi_seen,seen_poi,B4_geo_size_logit,74,0.1891891891891892,0.40540540540540543,0.4189189189189189,0.5540540540540541,0.1560609937671407,0.26032748500448477,0.17837837837837836,0.3198301193484601
poi_seen,seen_poi,P0_public_topology_dfax,74,0.22972972972972974,0.33783783783783783,0.40540540540540543,0.4594594594594595,0.1782606829745025,0.2347139954204069,0.1810810810810811,0.3153809069433434
poi_seen,unseen_poi,MAIN_all_features,100,0.31,0.45,0.57,0.66,0.2607354149262044,0.387567969798233,0.278,0.4266590430824294
poi_seen,unseen_poi,B4_geo_size_logit,100,0.26,0.5,0.56,0.62,0.23953279347358294,0.3335736405407458,0.248,0.4039463420045635
poi_seen,unseen_poi,P0_public_topology_dfax,100,0.29,0.45,0.52,0.63,0.22800507582086527,0.34228550226576543,0.266,0.4049817229945654
mw_bucket,<50MW,MAIN_all_features,21,0.09523809523809523,0.19047619047619047,0.2857142857142857,0.3333333333333333,0.15873015873015872,0.19126984126984123,0.09523809523809523,0.18877953991936036
mw_bucket,<50MW,B4_geo_size_logit,21,0.0,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.030158730158730156,0.11746031746031746,0.0380952380952381,0.08647208919668882
mw_bucket,<50MW,P0_public_topology_dfax,21,0.0,0.14285714285714285,0.19047619047619047,0.23809523809523808,0.04285714285714285,0.07936507936507936,0.047619047619047616,0.10782889737575496
mw_bucket,50-200MW,MAIN_all_features,108,0.3055555555555556,0.4351851851851852,0.5648148148148148,0.6759259259259259,0.2492117513948612,0.3931535871949346,0.2351851851851852,0.4223668504319346
mw_bucket,50-200MW,B4_geo_size_logit,108,0.21296296296296297,0.49074074074074076,0.5462962962962963,0.6203703703703703,0.23669552415561357,0.3270152704539677,0.2074074074074074,0.37177773355587845
mw_bucket,50-200MW,P0_public_topology_dfax,108,0.25,0.4074074074074074,0.4722222222222222,0.5648148148148148,0.22977247463997144,0.31074750615379604,0.2037037037037037,0.3593904860281267
mw_bucket,>200MW,MAIN_all_features,45,0.4666666666666667,0.6,0.6666666666666666,0.7777777777777778,0.2768172388958049,0.4067186999463663,0.36888888888888893,0.5566389331746773
mw_bucket,>200MW,B4_geo_size_logit,45,0.37777777777777777,0.5555555555555556,0.5555555555555556,0.6888888888888889,0.2067853987552691,0.32971737930469475,0.3288888888888889,0.49098119855726774
mw_bucket,>200MW,P0_public_topology_dfax,45,0.4222222222222222,0.5111111111111111,0.6,0.6888888888888889,0.2283637969129511,0.3637775234757781,0.37777777777777777,0.505728446163009
project_type,battery,MAIN_all_features,48,0.3958333333333333,0.5,0.625,0.6458333333333334,0.2481385990209909,0.3334437731206863,0.30416666666666664,0.49403471994263315
project_type,battery,B4_geo_size_logit,48,0.22916666666666666,0.4791666666666667,0.5208333333333334,0.625,0.15148337080146668,0.26542339486276645,0.225,0.3756158944819095
project_type,battery,P0_public_topology_dfax,48,0.3333333333333333,0.5,0.5416666666666666,0.6041666666666666,0.19891653177629434,0.267245395149679,0.27499999999999997,0.43756140739880234
project_type,gen,MAIN_all_features,107,0.2897196261682243,0.4205607476635514,0.5233644859813084,0.6822429906542056,0.23537568688929922,0.3880867900467776,0.23177570093457944,0.39893489085824224
project_type,gen,B4_geo_size_logit,107,0.22429906542056074,0.4485981308411215,0.48598130841121495,0.5794392523364486,0.23166477355323356,0.3240554553378728,0.21682242990654205,0.3598755275154495
project_type,gen,P0_public_topology_dfax,107,0.24299065420560748,0.35514018691588783,0.42990654205607476,0.5233644859813084,0.20150344008412227,0.2930552196990995,0.205607476635514,0.3361041247775195
project_type,load,MAIN_all_features,19,0.3157894736842105,0.47368421052631576,0.5789473684210527,0.5789473684210527,0.2952172096908939,0.3815267335004177,0.2421052631578947,0.43310748940724614
project_type,load,B4_geo_size_logit,19,0.2631578947368421,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.18118212197159564,0.2740705931495405,0.21052631578947373,0.3960957185767177
project_type,load,P0_public_topology_dfax,19,0.21052631578947367,0.42105263157894735,0.5263157894736842,0.631578947368421,0.2569966583124477,0.3901420217209692,0.2526315789473685,0.36159318457509754
