,gain
apx_dfax_n1,95665.84587192535
apx_contrib_mw,43634.206347584724
apx_dfax,25397.314972043037
fac_kv,24841.95438361168
dist_km,23611.96596610546
fac_cong_vs_poi,12592.93013715744
year,12221.104158520699
queue_mw_all_50km,11720.313642978668
mw,11322.270550012589
poi_cong_mean,10088.465646624565
kv_ratio,10044.12082862854
analog_mean_dist,9540.325635313988
analog_mean_nfac,9195.100163698196
dist_far_km,9125.921785712242
fac_cong_a,8803.480839729309
poi_lmp_p90,8766.378392219543
hops,8764.080132365227
fac_cong_b,8534.153193950653
fac_cong_gap,7873.855934977531
fac_len_km,7654.49960231781
analog_wfrac,7061.481573462486
queue_withdraw_frac_50km,5537.985169649124
same_kv,5339.704353094101
fac_years_since_named,5109.005409479141
poi_degree,4923.81208729744
kind_B,4675.641533374786
fac_mw_named,4590.724865078926
fac_mean_dfax,4489.168412089348
end_degree_max,3600.490111351013
log_mw,3505.193912267685
fac_n_named_near30,3163.0821583271027
poi_kv,2558.9435665607452
fac_baseline_upgraded_3y,2496.2500417232513
analog_n,2425.767333626747
queue_n_same_poi,2397.0088633298874
latent_score,2344.1443223953247
fac_max_loading,2229.1106427907944
fac_gen_mw_ends,2228.0892448425293
type_battery,2125.3924437761307
poi_gen_mw,1617.7518224716187
type_gen,1565.8121666908264
fac_n_named,1564.9921342134476
fac_cost_mean,1475.0546159744263
analog_frac,1302.3954801559448
fac_n_withdrawn,1183.878058552742
fuel_storage,1147.6692848205566
fac_n_inservice,747.4670777320862
fac_n_named_same_poi,722.3143570423126
kind_L,490.1252427101135
type_load,467.78830432891846
fuel_wind,354.9980800151825
fuel_other,341.97367095947266
fuel_solar,324.624418258667
apx_dfax_missing,299.24794602394104
fuel_gas,264.06182169914246
latent_seen_poi,176.39722990989685
touches_poi,156.4020812511444
kind_X,126.0497305393219
fuel_load,94.5076036453247
cong_mean_sp_24m,85.029700756073
fac_outages_24m,54.71554493904114
cong_hours_all,44.62324059009552
cong_max_sp_24m,40.81309986114502
cong_hours_24m,37.312745213508606
cong_years_all,24.59958004951477
fuel_hybrid,20.87954008579254
fac_n_active,0.0
queue_mw_active_50km,0.0
queue_mw_active_25km,0.0
queue_mw_active_same_poi,0.0
fac_queue_mw_active_25km,0.0
