model,subset,hit@1,hit@5,hit@10,recall@5,recall@10,precision@5,mrr,n_projects
B1_nearest_projects,all facilities,0.1206896551724138,0.2471264367816092,0.3218390804597701,0.07404861199970224,0.12536556215867875,0.09999999999999999,0.19999722764729397,174
B1_nearest_projects,non-adjacent facilities only,0.11515151515151516,0.2545454545454545,0.3333333333333333,0.08436425113863653,0.13363772926865966,0.10060606060606062,0.20027614057238727,165
B2_queue_density,all facilities,0.27586206896551724,0.47701149425287354,0.5919540229885057,0.19576602222352948,0.29744702114190313,0.20574712643678159,0.3851495851691765,174
B2_queue_density,non-adjacent facilities only,0.2545454545454545,0.40606060606060607,0.4727272727272727,0.18102266132259157,0.23890650093661023,0.1806060606060606,0.33205383024913165,165
B3_historical_congestion,all facilities,0.017241379310344827,0.16666666666666666,0.25287356321839083,0.03494723624309567,0.08054280653351667,0.040229885057471264,0.10612533287109883,174
B3_historical_congestion,non-adjacent facilities only,0.01818181818181818,0.12727272727272726,0.21818181818181817,0.029583460297829052,0.07862775662857038,0.03151515151515152,0.08880650962075956,165
B4_geo_size_logit,all facilities,0.22988505747126436,0.5,0.5919540229885057,0.20403329244900406,0.3024229766919911,0.21839080459770116,0.36817277604737,174
B4_geo_size_logit,non-adjacent facilities only,0.24848484848484848,0.44242424242424244,0.5454545454545454,0.18187691774988488,0.27563387586120974,0.16484848484848486,0.34837794505433795,165
B5_simple_tabular_gbm,all facilities,0.25862068965517243,0.47126436781609193,0.6091954022988506,0.18413854255362946,0.3129137968087548,0.21149425287356322,0.3745393861655446,174
B5_simple_tabular_gbm,non-adjacent facilities only,0.23030303030303031,0.45454545454545453,0.593939393939394,0.18341088426876923,0.30208260606101994,0.1915151515151515,0.34230889998775893,165
P0_public_topology_dfax,all facilities,0.26436781609195403,0.47126436781609193,0.5574712643678161,0.20684941449540067,0.2965367005039463,0.22988505747126436,0.36687562881186175,174
P0_public_topology_dfax,non-adjacent facilities only,0.26666666666666666,0.40606060606060607,0.4666666666666667,0.1802595958856131,0.23755864991484613,0.18545454545454546,0.33690818885838425,165
L0_latent_only,all facilities,0.022988505747126436,0.07471264367816093,0.13793103448275862,0.014685197171585555,0.0361702276187081,0.03333333333333334,0.062226797523589505,174
L0_latent_only,non-adjacent facilities only,0.03636363636363636,0.07272727272727272,0.1393939393939394,0.019727661659831655,0.039943690702767536,0.037575757575757575,0.07177103921864295,165
MAIN_all_features,all facilities,0.3390804597701149,0.5517241379310345,0.6666666666666666,0.24667535991852846,0.36990064634725844,0.2563218390804598,0.44177944724370233,174
MAIN_all_features,non-adjacent facilities only,0.2727272727272727,0.5212121212121212,0.6363636363636364,0.23486812541500557,0.3508929851254097,0.21696969696969695,0.394709399414171,165
