year,model,n_projects,hit@5,hit@10,recall@10,mrr
2022,MAIN_all_features,80,0.525,0.6375,0.3799087206652996,0.44576586781092925
2022,B4_geo_size_logit,80,0.475,0.6,0.30242903660666814,0.3505002767041684
2022,P0_public_topology_dfax,80,0.4875,0.5625,0.31740488769271663,0.35317015872597546
2023,MAIN_all_features,61,0.5901639344262295,0.7213114754098361,0.4065089553131152,0.48126742435604175
2023,B4_geo_size_logit,61,0.5737704918032787,0.6557377049180327,0.3776705633175723,0.4197102841843231
2023,P0_public_topology_dfax,61,0.5245901639344263,0.639344262295082,0.3468605169940255,0.4305777174329332
2024,MAIN_all_features,33,0.5454545454545454,0.6363636363636364,0.27796874354845363,0.359122469994282
2024,B4_geo_size_logit,33,0.42424242424242425,0.45454545454545453,0.16331426222730572,0.31574889577773324
2024,P0_public_topology_dfax,33,0.3333333333333333,0.3939393939393939,0.15292434350405368,0.2823486652053632
2025,MAIN_all_features,0,,,,
2025,B4_geo_size_logit,0,,,,
2025,P0_public_topology_dfax,0,,,,
