Picked up JAVA_TOOL_OPTIONS: -Djavax.net.ssl.trustStore=/root/.ccr/java-truststore.p12 -Djavax.net.ssl.trustStorePassword=changeit -Djavax.net.ssl.trustStoreType=PKCS12 -Dhttps.proxyHost=127.0.0.1 -Dhttps.proxyPort=38843 -Dhttp.nonProxyHosts=localhost|127.0.0.1|::1|127.*|0.*|::|169.254.*|api.anthropic.com|api-staging.anthropic.com|api-pr-preview.anthropic.com|mcp-proxy.anthropic.com|mcp-proxy-staging.anthropic.com|registry.npmjs.org|jsr.io|npm.jsr.io|pypi.org|files.pythonhosted.org|index.crates.io|proxy.golang.org|host.docker.internal|10.*|172.16.*|172.17.*|172.18.*|172.19.*|172.20.*|172.21.*|172.22.*|172.23.*|172.24.*|172.25.*|172.26.*|172.27.*|172.28.*|172.29.*|172.30.*|172.31.*|192.168.*|100.64.0.0/10|*.svc.cluster.local|*.svc.cluster.local -Djdk.http.auth.tunneling.disabledSchemes= -Djdk.http.auth.proxying.disabledSchemes=
2026-09-17 23:24:21.165 INFO   Freerouting v2.4.2-SNAPSHOT (build-date: 2026-09-17)
2026-09-17 23:24:21.483 INFO   Hardware: 4 CPU cores, 376 CPU score, 3422 MB RAM
2026-09-17 23:24:21.484 WARN   Deprecated settings path '-mp / --router.max_passes'; use '--router.autorouter.max_passes' instead. The old path will be removed in a future release.
2026-09-17 23:24:21.484 WARN   Couldn't get screen resolution. If you are running in a headless environment, disable the GUI by setting gui.enabled to false.
2026-09-17 23:24:21.492 INFO   Configured network proxy: 127.0.0.1:38843
2026-09-17 23:24:22.220 WARN   Analytics tracking: first delivery failure in this window - /v1/analytics/identify - IOException: Unable to tunnel through proxy. Proxy returns "HTTP/1.1 403 Forbidden". Further failures will be aggregated and reported every 60 minutes.
2026-09-17 23:24:22.566 WARN   Deprecated settings path 'router.max_passes'; use 'router.autorouter.max_passes' instead. The old path will be removed in a future release.
2026-09-17 23:24:23.017 INFO   [93096F\75AD62] Loading board file 'board_2L.dsn'...
2026-09-17 23:24:23.291 WARN   Design Error: Component 'J2' pin 'G4' (ID 699) is outside board outline at (-84000,78000).
2026-09-17 23:24:23.296 WARN   Design Error: Component 'J2' pin 'G3' (ID 698) is outside board outline at (-84000,161000).
2026-09-17 23:24:23.300 WARN   Design Error: Component 'J2' pin '8' (ID 695) is outside board outline at (-60200,104000).
2026-09-17 23:24:23.300 WARN   Design Error: Component 'J2' pin '7' (ID 694) is outside board outline at (-49200,104000).
2026-09-17 23:24:23.300 WARN   Design Error: Component 'J2' pin '6' (ID 693) is outside board outline at (-38200,104000).
2026-09-17 23:24:23.300 WARN   Design Error: Component 'J2' pin '5' (ID 692) is outside board outline at (-27200,104000).
2026-09-17 23:24:23.300 WARN   Design Error: Component 'J2' pin '4' (ID 691) is outside board outline at (-16200,104000).
2026-09-17 23:24:23.300 WARN   Design Error: Component 'J2' pin '3' (ID 690) is outside board outline at (-5200,104000).
2026-09-17 23:24:23.301 WARN   Design Error: Component 'J4' pin '2' (ID 533) is outside board outline at (-14000,323200).
2026-09-17 23:24:23.302 WARN   Design Error: Component 'J4' pin '1' (ID 532) is outside board outline at (-14000,297800).
2026-09-17 23:24:23.380 INFO   [93096F\75AD62] Job '93096F\75AD62' started at 2026-09-17T23:24:23.379900636Z.
2026-09-17 23:24:23.551 INFO   [93096F\75AD62] Pipeline thread limits: autorouter.max_threads=3, optimizer.max_threads=3.
2026-09-17 23:24:23.856 WARN   Design Warning: Board has 295 pre-existing clearance violation(s) in the loaded design (before routing). These violations must be fixed in the EDA tool to ensure correct routing.
